"veh_id","Price","Acceleration","OpCost","hev","phev20","phev40","bev","bevRangeRel","noBEVFC","american","chinese","japanese","skorean","icev_nest_indicator","hev_nest_indicator","phev_nest_indicator","bev_nest_indicator","created_alternative"
"BMW_1515_car",36.0710861941622,7.25810016159423,2.93215519119085,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1516_car",28.055674184028,10.5962937538573,2.72535222384668,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1517_car",35.795421309273,7.68544800089358,2.88420809430479,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1518_car",28.1300896348347,10.5896760086251,2.78379793226258,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1519_car",35.9454451557062,6.20301654463901,3.0115303522373,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1520_car",60.9369478277761,5.63828257432018,3.7945382525939,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1521_car",74.0538447921877,3.64062863486261,4.15631717887354,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1522_car",55.751693464012,6.27137705564924,3.24683572118046,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1523_car",60.4965697289891,5.02758264384126,3.45899475197555,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1524_car",364.066536318209,4.18262724836959,4.64843166948777,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1525_car",499.616819405269,4.47308130192558,5.20794426045794,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1526_car",122.401008838832,4.38434642467919,4.17891551225752,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1527_car",91.2509735152253,5.85969952796044,3.69795697440916,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BMW_1528_car",56.5023724129935,4.80691993956583,10.1206439997767,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1529_car",70.1809976986509,5.0173166927548,10.7503463749358,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1530_car",54.4351551964393,4.67378283649088,9.67968794038957,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BMW_1531_car",42.9186690370526,6.48863470933723,10.5227472747186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BMW_1532_car",42.8826878553506,7.57927481765692,9.37720393313545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
