"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2"
1,1,-9336.01250131243,NA,-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,0.5,0
1,2,-11414.7530857866,NA,-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.885853732856922,0.48685960337054,-0.324488586681244,-0.115881448416687,-0.124079952141965,0.0705533162222263,-0.0572618950667804,0.0403850696367383,0.0871434117464914,-0.352193020437886,0.189353326255561,-0.136106336163808,-0.254156691189153,-1.75392696920882,-0.10529053574164,-0.119361199158684,0.48931577314157,0.711718644252978,-0.0541562322046004,-0.372872099166
1,3,-13925.525062303,NA,-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,0.67419874003157,0.215430199909024,-0.0596403474825378,0.00310232703103366,0.0369352642790794,-0.0997056704485612,0.0298076173222089,0.0200028971721214,0.274417541850914,-0.419790875583248,0.580436266014987,-0.330842385598499,-0.0559370523638318,-1.08357066390194,-0.0217265472277205,0.161099016963971,0.49862176975701,0.186397380270064,-0.591028350897768,-0.858990968582657
1,4,-11605.2870245397,NA,-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,0.701687556202523,0.36959819230251,0.0499317621628665,-0.106700096914053,-0.0678045355130346,-0.00692256545252457,-0.000626248171308616,0.0144490791807696,-0.000174407561718964,-0.303747691409517,0.0208213709104464,-0.256828852694116,-0.095144708934054,-0.748841700702518,-0.0290599049790891,-0.37906234400855,0.555736332214437,0.278203713805415,-1.01405050506505,-0.690995339159994
1,5,-15500.8119027562,NA,-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.221902657710016,0.742886021682061,0.542922506748234,-0.119220997487646,-0.0148486573400911,0.0827617743931047,0.0889986062142195,0.0371020291706503,0.116933873040916,-0.500912296690578,0.405772767660023,-0.483714527901435,-0.00244119850673928,-0.793643692928294,-0.0996248117129587,-0.501626658083288,0.114980680178851,0.309009046815336,0.0343736807369984,0.233394618874304
1,6,-13863.1429557151,NA,-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,0.624987461329438,0.140049960147589,0.848245055460688,-0.186693243909521,-0.105631341854801,-0.0687741568965523,-0.0979268807567673,0.019573034945759,0.0665054886769327,-0.220820933338395,0.663543260750919,-0.400354814559059,-0.0540757676676163,-0.774145041343531,0.0547764167576494,-0.793252977698038,0.143358053257689,0.662739232121967,-0.425537802378237,0.399176227458526
1,7,-10251.0531049514,NA,-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,0.479549244437367,0.521739922864363,0.352578827432083,-0.119805778787171,-0.209459696976765,-0.221991340672878,0.0675692551792843,-0.0221429825006121,0.0624249561129677,-0.813583546256553,0.103520946048843,-0.316287981251478,0.0343315198807669,-0.730006705243137,-0.0549452193494613,-0.174526391454883,0.503933576084673,0.962143624671735,0.356678799138128,0.528978094422497
1,8,-11440.5690561308,NA,-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,0.857346800053492,0.610036411811598,0.251978788945443,-0.0453791980948085,0.129257642678339,0.00640756193941518,0.204434281652738,0.0147663984264714,0.073582904690889,-0.0838204471899879,0.14367872597213,-0.436047458774481,0.155465851323194,-0.101294934522618,-0.0294675760605562,-0.219353976692388,0.103796811518259,0.198551927725784,0.236406018564386,0.139160853280761
1,9,-15181.5280984994,NA,0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,0.637746538082138,0.845757617191412,0.229343515010235,-0.0609042909505368,-0.0755486766852365,-0.230943880116877,-0.0434774887929201,0.036777792228402,0.0637396696743968,-0.12601226927154,0.283917764870816,0.286871135055826,-0.0760689946480826,-2.90128381051107,0.0601273177364852,-0.58675071219089,0.377294126786292,0.126583511955105,-0.0883844847101298,0.120660235319021
1,10,-11865.4289755261,NA,-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,0.161469025830738,0.297850301484577,0.667053308916823,-0.152330000157122,-0.0204614300630016,-0.207516647845682,0.0397462180338577,0.00416133205017825,-0.0289330771916121,-0.412363482697409,0.138288755354978,0.434273989521824,-0.239743559149483,-1.57998719329669,0.00993801711888979,-0.282745233207509,0.47998535072431,0.438344059232622,0.153713998886893,-0.0836206950036896
1,11,-10317.7525096214,NA,-0.0417809629912746,-0.125698268753003,-0.269967530623023,0.151437675894396,0.0111494948484412,-0.104761992242752,-0.251729757074729,-0.306753575555337,-0.320560748428287,-0.134548953657592,-2.56519973957376,-0.0240609370063418,-0.848475616178635,0.318303458578885,0.365497044525109,0.209598066618987,-0.105453946444205,-0.167034363231481,-0.0693395197966778,0.158285408391424,0.0112104889654241,-0.0357737998117207,-0.202576790560669,0.600418007882883,0.0568532185395081,-0.111033122297995,-0.726090322547603,-0.0972983250517426,-0.316175687819083,0.427044734284282,0.829392463453114,-0.37415591328665,-0.233793638794281
