"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2","logLike"
-0.0319969770896943,-0.0788747981757165,-0.0936873134045722,-0.00817707799526979,-0.0556436904531638,0.138996083086672,-0.232321597875079,0.261236090219818,-0.336627271973311,-0.158688231372021,-1.20362105656892,0.00750954951447264,-0.37183068845449,0.663499939653666,0.734079610232272,9.71420341047319,0,-0.127093589312299,-0.0644282128233202,-0.120296175180675,0.161312219719618,0.242904276478298,0.133804234578798,-0.280614832865404,0.276579342376369,-0.0275539778043985,0.105965662379213,-0.64976231223399,-0.0592658215544294,-0.139556313865618,0.471899154631662,0.595783175773249,0.686657026428732,-0.455445446475112,-8832.70695582758
-0.0319969770896943,-0.0788747981757165,-0.0936873134045722,-0.00817707799526979,-0.0556436904531638,0.138996083086672,-0.232321597875079,0.261236090219818,-0.336627271973311,-0.158688231372021,-1.20362105656892,0.00750954951447264,-0.37183068845449,0.663499939653666,0.734079610232272,9.71420341047319,0,-0.127093589312299,-0.0644282128233202,-0.120296175180675,0.161312219719618,0.242904276478298,0.133804234578798,-0.280614832865404,0.276579342376369,-0.0275539778043985,0.105965662379213,-0.64976231223399,-0.0592658215544294,-0.139556313865618,0.471899154631662,0.595783175773249,0.686657026428732,-0.455445446475112,-8832.70695582758
-0.0319969770896943,-0.0788747981757165,-0.0936873134045722,-0.00817707799526979,-0.0556436904531638,0.138996083086672,-0.232321597875079,0.261236090219818,-0.336627271973311,-0.158688231372021,-1.20362105656892,0.00750954951447264,-0.37183068845449,0.663499939653666,0.734079610232272,9.71420341047319,0,-0.127093589312299,-0.0644282128233202,-0.120296175180675,0.161312219719618,0.242904276478298,0.133804234578798,-0.280614832865404,0.276579342376369,-0.0275539778043985,0.105965662379213,-0.64976231223399,-0.0592658215544294,-0.139556313865618,0.471899154631662,0.595783175773249,0.686657026428732,-0.455445446475112,-8832.70695582758
-0.0319969770896943,-0.0788747981757165,-0.0936873134045722,-0.00817707799526979,-0.0556436904531638,0.138996083086672,-0.232321597875079,0.261236090219818,-0.336627271973311,-0.158688231372021,-1.20362105656892,0.00750954951447264,-0.37183068845449,0.663499939653666,0.734079610232272,9.71420341047319,0,-0.127093589312299,-0.0644282128233202,-0.120296175180675,0.161312219719618,0.242904276478298,0.133804234578798,-0.280614832865404,0.276579342376369,-0.0275539778043985,0.105965662379213,-0.64976231223399,-0.0592658215544294,-0.139556313865618,0.471899154631662,0.595783175773249,0.686657026428732,-0.455445446475112,-8832.70695582758
-0.0319969032590972,-0.0788748023247585,-0.0936873125058459,-0.00817708618159522,-0.0556436705508004,0.138996105587425,-0.232321625567956,0.261236105260678,-0.336627278595015,-0.158688216200776,-1.20362106706958,0.00750956279047594,-0.371830680822302,0.66349994831031,0.73407959196438,9.71420341405878,0,-0.127093588986336,-0.0644282182994969,-0.120296169527547,0.161312217014126,0.242904267481722,0.133804246443848,-0.280614839701312,0.276579342762867,-0.0275539764958903,0.105965658262767,-0.649762302543579,-0.0592658287954624,-0.139556317926184,0.471899156634005,0.595783177719713,0.686657029921192,-0.455445440239907,-8832.70695582592
-0.031996861999983,-0.07887556871519,-0.0936868982983006,-0.0081788023506931,-0.0556395606097816,0.139000752875445,-0.232327310878724,0.261239084737855,-0.336628612310043,-0.158685109727192,-1.2036231815215,0.00751230454252498,-0.371829104752083,0.663501532321053,0.734075682841813,9.71420415707519,0,-0.127092318961214,-0.0644293706666753,-0.120295003563787,0.161311657473129,0.242902403735338,0.133806719435204,-0.280616281526338,0.27657946130718,-0.027553726766927,0.105964821171835,-0.649760342810198,-0.0592673056815341,-0.139557156621503,0.471899625399353,0.595783662921293,0.686657753089144,-0.455444098723838,-8832.70695570785
-0.0319970996402592,-0.0788755773927954,-0.0936875745810839,-0.00818029083685163,-0.0556362246594934,0.13900450098193,-0.232331689195765,0.261240750931583,-0.336629485579884,-0.158682565657328,-1.20362496431934,0.00751465695261801,-0.371827750914417,0.663502690091194,0.73407277500322,9.71420480060755,0,-0.127094646168607,-0.0644297481318413,-0.120294785450746,0.161311138555392,0.24290077629051,0.133808801905076,-0.28061740252802,0.276579396598161,-0.0275534504936621,0.105964064679253,-0.649758629561599,-0.0592685406894062,-0.139557891637835,0.471899846570368,0.595783872040364,0.686658379286143,-0.45544287604567,-8832.70695567816
-0.0319971054602959,-0.0788749930990175,-0.0936884760744586,-0.00818092921815392,-0.0556349993430671,0.139005849090948,-0.232333004273406,0.261240538207678,-0.336629500182408,-0.158681569622613,-1.20362564157287,0.00751562075000457,-0.37182714306021,0.663503003758699,0.734072120539138,9.71420509127815,0,-0.127094475093121,-0.0644294255481762,-0.120295904486985,0.161310908171968,0.242900058543423,0.133809583325367,-0.280617745929986,0.276579243124968,-0.0275532628820026,0.105963743509526,-0.649757929856144,-0.059269024705976,-0.139558246828974,0.471899936236515,0.595784023482244,0.686658669421673,-0.455442387402249,-8832.70695564667
-0.0319970960705526,-0.0788745369081397,-0.0936877351190191,-0.00818155022391254,-0.0556339359750757,0.139006981658462,-0.232333863269186,0.261239626489691,-0.336629215883079,-0.158680647344139,-1.20362627280784,0.00751656019163292,-0.371826506017906,0.663503259418144,0.734071984601859,9.71420540122688,0,-0.127094480705487,-0.0644289193615416,-0.120296642950446,0.161310672653699,0.24289930578876,0.133810282947331,-0.280617970629557,0.2765789875855,-0.0275530020294734,0.105963411240693,-0.649757237296843,-0.0592694913972835,-0.139558629646131,0.471900017269118,0.595784256487557,0.686658983087686,-0.455441907610797,-8832.7069556116
-0.0319970662833592,-0.0788762274847903,-0.0936883649761391,-0.00818412768563883,-0.0556298928948167,0.139011149072886,-0.232335875661399,0.261233624998911,-0.336626531481767,-0.158676865345276,-1.20362874885191,0.00752077564469357,-0.37182341591765,0.663503454880146,0.734072917296619,9.71420695249402,0,-0.127094032956959,-0.0644282406997583,-0.120295390333887,0.161309540316348,0.242895698343706,0.133813148235229,-0.280618465540218,0.276577754019784,-0.0275514512473341,0.105961797417805,-0.649753964264107,-0.0592716967661918,-0.139560456600923,0.471900424842629,0.595785886437366,0.686660560874869,-0.45543967529744,-8832.70695555969
