"row_num","gen_method","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2","LL1","LL2","LL3","LL4","LL5","LL6","LL7","LL8","LL9","LL10","LL11","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","gradNorm7","gradNorm8","gradNorm9","gradNorm10","gradNorm11","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
27,"logit_random",0.0105434649198022,-0.0577903453934501,-0.0814339722316185,0.0941664457812733,-0.000907872686507015,0.153017424576948,-0.39179244222157,0.12836776123638,-0.323720099820599,-0.108375727589746,-2.00624005776818,0.0059964901443898,0.00481198054458298,0.891290236748755,0.649886972974055,-0.216989400944609,-0.0599061267636216,-0.142275224716495,-0.309238462786144,0.221620324887683,0.00285185796618525,0.0720570135165563,-0.414212093257322,0.689604948102937,-0.107554070491873,-0.273004780624959,-2.01710521650078,-0.176382667657673,-0.0948456710025441,0.303596415175125,0.695481105283834,0.0890046778791978,0.320234969656815,-11024.0932021304,-8928.84200004952,-8846.63080915967,-8835.1145400953,-8833.33158454056,-8832.95860308607,NA,NA,NA,NA,NA,NA,5266.71743896138,2371.39408125791,518.793386813598,325.018451345925,156.228940375096,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",49,1,-8832.9140122055,3,"test0_worse_conv",68
28,"logit_random",-0.0582157285720307,-0.130797855062492,0.0342639380188395,0.0050624891620356,0.0380201742653392,0.0478670469255921,-0.461453644585763,0.565499469753155,-0.25555701080225,-0.285299843487795,-1.06685907292447,-0.148637457242313,-0.0136369334986451,0.876834738329053,0.401165138054639,-0.422045214388287,-0.0751630489107958,-0.110921042514079,0.0162882346335269,0.0632844339466065,0.0204736987394208,0.5375301619018,-0.60998522445888,0.515326028751684,0.0888935310908841,0.101333480418389,-0.667556515116303,-0.0553763702528628,-0.447227612987361,0.149837207053788,0.930292847538367,0.703328419985449,0.328655249273824,-10674.2010680106,-9162.0162588385,-8864.85395720351,-8834.43458791998,-8832.85621632793,-8832.73354492425,-8832.72805393318,NA,NA,NA,NA,NA,2935.94871653102,1273.78313988425,173.613323683237,116.988150172968,52.2274303797907,14.0066579340972,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-8832.72805393318,3,"test0_worse_conv",28
29,"logit_random",-0.0488625218021596,-0.118867165565008,-0.167937818385093,0.131608044211609,0.0408066413134838,0.147593820753496,-0.199677109665978,0.0307352390385724,-0.278054344274375,0.0995260657554874,-1.56613429521995,0.00252861051571992,-0.584276993681493,0.328423199541867,0.672523477170616,0.470995245141017,-0.0149747426613442,-0.120059870231602,-0.0642961130960841,0.196191097254131,-0.0178646134155232,0.14341409860804,-0.103444400720383,0.496486978705775,-0.146040478980925,-0.402814801460806,0.011026619838395,-0.0726074141380419,-0.447299051825195,0.259778370810673,0.586745946467854,-0.592473350598777,-1.19771817708054,-9694.17999233864,-9100.97929889095,-8850.42496231741,-8836.73430372596,-8834.28819746927,-8833.07601050442,-8832.89239043651,NA,NA,NA,NA,NA,3148.36576034121,398.492275846054,66.3532257779077,23.1474613889073,65.8046411652218,61.1793747908858,NA,NA,NA,NA,0,"pruned_test1_too_close",30,1,-8832.88038177849,3,"test0_worse_conv",30
30,"logit_random",-0.0407400330325382,0.0441117166680573,-0.0512726595739479,0.070754312567901,-0.00497573370422317,0.173897905685952,-0.218235231098253,1.06313128916867,-0.253109243140937,-0.225138421335186,-1.92088323986802,0.00844485327724143,-0.904181713506512,0.341455218982883,0.947242575157434,0.437067154018259,-0.00965246110013463,-0.148336425288047,-0.160015650676148,-0.0518786297243621,-0.00800208474596852,0.0571347512153902,-0.34655536966929,0.00844846461227433,-0.0948572644868308,-0.163132762783773,-2.35145336617753,-0.124778439246509,-0.298618151659608,0.668391944142058,0.340947004682384,0.459473676466188,0.571955048251646,-11166.111323551,-8886.43767067497,-8840.98442470208,-8833.18195694304,-8832.93194179857,-8832.88049282291,-8832.88038177849,NA,NA,NA,NA,NA,2249.28644224211,416.585917022067,23.4073032805863,47.3545414457379,8.65467076202712,7.3966720653798,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-8832.88038177849,3,"test0_worse_conv",30
31,"logit_random",-0.112891101508832,-0.0910280877972711,0.0316799301587887,-0.0350021581580139,0.0128790508336882,0.315928662012579,-0.164601614101839,0.382643318846126,0.178930737869829,-0.140982376110231,-0.50897473425789,-0.0351968022011762,-0.369688282608968,0.825676954202354,0.860774386990815,0.902134578188158,-0.112459415373491,0.0154243228282257,-0.204586469636838,0.1766944894127,0.045790967492257,0.023109391923535,-0.402370786968107,0.269902242581293,0.443231209324268,0.0919470995871427,-1.15792992549718,-0.0174560388861058,0.16672624664115,0.301455955435522,0.019935218221508,-0.992378045229456,0.196918365637098,-11378.0159717915,-9042.41331331841,-8859.16289790717,-8838.50944298703,-8833.29916493951,NA,NA,NA,NA,NA,NA,NA,4014.1236428149,645.912683619939,697.300199449016,78.3740911631034,NA,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",87,1,-8832.9140122055,3,"test0_worse_conv",68
32,"logit_random",-0.143634736046879,0.0331075855874772,-0.165994009210147,0.11313103388947,-0.0119074139596556,0.0523370704066813,-0.0669557625279741,0.394497239557636,-0.667629029901515,-0.409222760972012,-0.879242848192543,0.0044647859829029,0.226739813400724,0.401425308245234,0.0368639501789585,0.318998968127756,-0.0744462929755665,-0.109131933964313,-0.184793059896496,0.105451920930662,-0.00635381783501762,0.127601852550785,-0.371928444628289,0.172947189122551,-0.320663624322378,-0.147731176811836,1.4251313059914,-0.0466852370332584,-0.0358167717426934,0.196185758234933,0.357191786579788,-0.294935760962536,0.36648983842854,-19222.739084975,-9322.44495074251,-9286.03475817164,-9286.03329805141,NA,NA,NA,NA,NA,NA,NA,NA,812.854383484493,20.5213004192338,15.1905217409914,NA,NA,NA,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-9286.03329805141,3,"test0_worse_conv",32
33,"logit_random",-0.129294605863711,-0.047790963321511,-0.279296892979448,0.0804873423433059,-0.00909033225705459,0.0607733617942073,0.230040525824407,0.483525005232411,-0.140379528488125,-0.19173478202128,-0.441693387093132,-0.0387075510050695,-0.456565182072894,0.726129382001236,0.798678785897791,-0.364002004384393,-0.0378559694773761,-0.174184014350895,-0.125534757679088,0.0039123143502765,0.0462817934729399,0.248419222884385,0.0249060729056141,0.533565678793376,0.0826894154494731,-0.0616955263723791,-0.772004127306209,-0.100260523652412,-0.209604278919928,0.0600920229312032,0.361916966144927,-0.58547445432897,0.351871001441632,-11054.8352130916,-9415.62595210901,-9086.22370116603,-8992.99714425483,-8975.75698472007,-8965.62521928727,-8962.89500843681,-8962.58458505388,-8962.53863330225,-8962.5348806375,NA,NA,7035.77569072023,482.558146665821,979.262824782845,184.491801758272,538.97478906219,106.443131233691,26.2460647049447,8.27587349390954,4.73588951533678,NA,3,"test0_worse_conv",0,1,-8962.5348806375,3,"test0_worse_conv",33
34,"logit_random",-0.123937628671425,-0.0999333030577616,-0.0386622619922269,0.0533573993025893,-0.00666007780656073,0.276383323408484,-0.0912036644372,0.26263412964184,-0.437293966476413,0.0696461813487758,-1.96563419007391,-0.078086929426934,-0.805567719187758,0.866726754261181,0.876879775319248,-0.646517233082054,-0.0480033062046253,0.0128454410009398,-0.16323698848469,0.161943548857091,-0.00326588540139989,-0.017239814097868,-0.156581608788852,0.608400940588866,-0.296241079818999,-0.18033225620213,-1.45780854780123,-0.0976542262292879,-0.247495792480903,0.712918669208884,0.734713263940066,0.485702240951389,0.530982253652263,-9387.99337291629,-8905.96044019608,-8841.9992210387,-8834.22361241748,-8833.10514158032,NA,NA,NA,NA,NA,NA,NA,7174.66576536568,1132.68993459429,334.109040594223,187.934073946092,NA,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",1,1,-8832.88038177849,3,"test0_worse_conv",30
35,"logit_random",-0.300527464203764,-0.0642372299697145,-0.129373527035116,0.233952581017301,0.041240808743521,0.134940545009954,-0.241321035489195,0.447191605923056,-0.424854086137348,-0.0637136612372308,-1.56555799744586,-0.0683580622463312,-0.527147306074735,0.744026414952241,0.103018557359464,-0.366704025145432,-0.103346488377967,0.0989015566238918,-0.186527632542038,0.0452967910168531,0.00789159541376421,0.227271490509438,-0.144466163166646,0.425631326253685,-0.530194882101341,0.00740834352731802,0.19264333615501,-0.0061374854940846,-0.18941537014449,0.883135284110904,0.168030814905651,-0.673691725132924,-0.452748452474345,-21475.6355652479,-9288.88044108739,-9255.6860861743,-9255.68608203846,NA,NA,NA,NA,NA,NA,NA,NA,439.722695154891,1.78451941153571,1.98895201147927,NA,NA,NA,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-9255.68608203846,3,"test0_worse_conv",35
36,"logit_random",-0.159411313715219,-0.22647204672111,-0.168036563221071,0.0781192792187482,-0.0111383308672378,-0.00047769647941745,-0.112305048912854,0.0668937032671993,-0.185695912574097,-0.0719729828718366,-1.68842188797697,-0.0473170620433407,-0.182539654498934,0.491129684126936,0.960222019422799,0.192422613378906,-0.0306829814815649,-0.0288398157967051,0.218981151011994,0.141817379674911,0.00809389092989006,0.0791737003991734,-0.0595245002367435,0.796450294468671,-0.0650118028144059,-0.106465423547024,-0.672447373486259,-0.0896220598920776,-0.179684246827769,0.352523636603728,0.354046729062684,0.536893156534283,0.438613441869785,-11435.679912728,-9183.89670134319,-8955.30518793016,-8846.77090168064,-8834.35284868397,-8833.22761901147,-8832.94788731458,NA,NA,NA,NA,NA,5009.16656974541,7577.6249281394,2033.3019457034,557.635045871651,330.842678178027,186.288015566881,NA,NA,NA,NA,0,"pruned_test1_too_close",1,1,-8832.88038177849,3,"test0_worse_conv",30
