"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","lambda_ICE_3","lambda_BEV_3","alpha_PHEV_ICE_logistic_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","lambda_ICE_4","lambda_BEV_4","alpha_PHEV_ICE_logistic_4","class_intercept_4","inSample_Class_1","inSample_Class_2","inSample_Class_3","inSample_Class_4","inSample_model","outOfSample_Class_1","outOfSample_Class_2","outOfSample_Class_3","outOfSample_Class_4","outOfSample_model","avgObsLL_est","avgLLObs_val","percentDiffLL","avgObsL_est","avgLObs_val","percentDiffL","timingEst_Class_1","timingEst_Class_2","timingEst_Class_3","timingEst_Class_4","timingEst_model","timingOutOfSample_Class_1","timingOutOfSample_Class_2","timingOutOfSample_Class_3","timingOutOfSample_Class_4","timingOutOfSample_model","timingWallTotalIterStack_Class_1","timingWallTotalIterStack_Class_2","timingWallTotalIterStack_Class_3","timingWallTotalIterStack_Class_4","timingWallTotalIterStack_model","timingCPUTotalIterStack_Class_1","timingCPUTotalIterStack_Class_2","timingCPUTotalIterStack_Class_3","timingCPUTotalIterStack_Class_4","timingCPUTotalIterStack_model","inSampleObs","outOfSampleObs"
-0.131939409831073,-0.0890058602629965,-0.145354286044288,0.0896103432132459,0.264974769865501,0.147575595698554,0.00997570753204143,0.265175133619111,-0.110120925678076,0.0805550011725295,-0.561178578594248,-0.0450374522937003,-0.0265635763375561,0.442446896954932,0.569235982290581,0.142870070582853,0,-0.0678628246584097,-0.098583511475105,-0.187831693321391,0.0357468303325535,0.147908030428995,0.101733954072998,0.242959195831159,0.213694617010009,-0.468406143418341,-0.50912418777563,-4.66292297606528,-0.0675138345379219,-0.705987766247547,0.335555867576546,1.00828663287011,0.214663770032472,-0.191756666186324,-0.0596201321129192,-0.0198251742180689,-0.0698124817300941,-0.129006848029601,-0.343375551545725,-0.182347873928051,-1.63082845699963,0.534391332050008,-0.251734127698256,0.0214518176384852,-1.12739711245601,-0.0803719006774885,-0.205923380002408,0.798213696783724,0.717485175889595,-8.59769367262212,-0.233151759896007,-0.0210121397265168,-0.179472569771128,-0.0619919128097332,0.37052892636314,0.184806857037278,0.559258332735634,0.611991476847558,0.3787117315355,-0.344973468361882,-0.0643252834228528,-0.281738122779323,0.141677463483921,-0.511395118634059,0.735493531860618,0.963965339397685,9.97828548346694,-0.405654093248088,-10359.5643669521,-11009.2741845,-9229.00471126931,-8620.03715372888,-6674.91857550221,-2464.49033744352,-2821.1345724425,-2181.41398975259,-2146.58062225414,-1594.02606930566,-0.758082745656128,-0.722914317145423,-4.63912794641786,0.468563922587302,0.485335770561242,-3.57941513749726,1530.13134288788,1530.13134288788,1530.13134288788,1530.13134288788,1530.13134288788,0.0590000000000259,0.0590000000000259,0.0590000000000259,0.0590000000000259,0.0590000000000259,1537.37643146515,1537.37643146515,1537.37643146515,1537.37643146515,1537.37643146515,111.424,111.424,111.424,111.424,111.424,8805,2205
-0.131573798088312,-0.0769691891435769,-0.140484851250568,0.207280008853073,0.303590085588258,0.118033443621131,-0.049715638806169,0.303014656880119,-0.114294327478793,0.136823703308185,-0.468235196131556,0.0130283126972867,-0.0393521440147089,0.455004862103189,0.610268912466914,0.421416253549919,0,-0.0697006930572329,-0.150638725235252,-0.215976059674905,0.200671555122469,0.174191544362234,0.0880571468577626,0.328275642662152,0.380384823993696,-0.526410351460528,-0.471844057059174,-4.84365538751189,-0.0994196146465684,-0.677874472171868,0.358510881444643,1.08097839267826,0.992650817040435,-0.303155922142006,-0.0509134361990983,-0.0439265698447392,-0.0572105168468063,-0.48302804667926,-0.580426568199112,-0.407595559586652,-2.0660207030867,0.402253200154699,-0.366967455651409,-0.0749706723282141,-1.29240112088283,-0.212759221841526,-0.196238103705346,0.732840631159841,0.70963896552642,-9.20167768359951,-0.379799368556061,-0.0178633590626195,-0.147136552835946,-0.0842475123130136,0.264221511146518,0.107114815676384,0.466766854891912,0.599275163125435,0.365306869423192,-0.377054550176261,-0.106123128928191,-0.415297244923169,0.0828890786596552,-0.449090885013377,0.748540242219916,0.896436267892509,9.97765835072912,-0.524147517456151,-10307.6339467143,-11220.556558911,-9710.54110360681,-8665.00844553255,-6655.57344050543,-2236.32644263809,-2737.70508438851,-2390.03577667307,-2010.00300963528,-1614.83904615524,-0.755885683191986,-0.732353308913943,-3.11321867860617,0.469594518520926,0.480776242743097,-2.38114453665054,1625.30917358398,1625.30917358398,1625.30917358398,1625.30917358398,1625.30917358398,0.0680000000000121,0.0680000000000121,0.0680000000000121,0.0680000000000121,0.0680000000000121,1632.43249225616,1632.43249225616,1632.43249225616,1632.43249225616,1632.43249225616,117.882,117.882,117.882,117.882,117.882,8805,2205
-0.169560621827969,-0.0453385390997409,-0.136264701946809,0.461244682164596,0.467956372713369,0.397749175892467,0.0410368128805023,0.20576659892307,0.115543013737536,0.0598287649415999,-1.00224790706415,-0.0150660818480008,-0.144750144246958,0.546311156732921,0.564834114726322,-0.0876995611239582,0,-0.0664858084000899,-0.113062766776763,-0.20433336781351,0.098435629818488,0.267203805382318,0.094168993342137,0.289159869926682,0.302710851454923,-0.459693581589051,-0.376049028299959,-5.20720133339938,-0.0642237971438188,-0.623485085886709,0.398384905601533,1.11355662015405,0.676742608591311,-0.147559158194567,-0.0549239921046553,-0.0560016069967645,-0.0625293315414777,-0.214670854087429,-0.327353351596301,-0.161390975854889,-1.9151904540218,0.416607250374421,-0.252939749769238,-0.0475464290401343,-1.22048526156732,-0.140733530746255,-0.369066993120023,0.694022064800216,0.667163060807281,2.71984816895443,-0.151685498010862,-0.039669428945533,-0.133045414297271,-0.141081287919825,0.121798951886234,-0.0163660112872152,0.273876551939328,0.485585759957985,0.405143184832663,-0.362290647895803,-0.0732787992704587,-0.124262779361643,0.240518683495094,-0.345291425073108,0.831755131991057,0.995088448388123,9.97498955980263,-0.0578470706424499,-11354.473315012,-11144.3660048102,-9069.73215565991,-8235.45957401392,-6629.12045158667,-3161.03031417453,-3024.06057898322,-2157.82147667599,-2024.54843275533,-1658.35248278815,-0.752881368720803,-0.752087293781476,-0.105471455705787,0.471007449510267,0.471381613259527,-0.0794390300299941,3682.76920223236,3682.76920223236,3682.76920223236,3682.76920223236,3682.76920223236,0.0679999999999836,0.0679999999999836,0.0679999999999836,0.0679999999999836,0.0679999999999836,3689.90125584602,3689.90125584602,3689.90125584602,3689.90125584602,3689.90125584602,262.788,262.788,262.788,262.788,262.788,8805,2205
-0.141200467433715,-0.0576346198648997,-0.133554831230697,0.205724135447255,0.362538400986457,0.240531407939502,0.066202061258781,0.260962023985796,-0.162475681927705,0.114289784569308,-0.482070548825654,-0.0430986534665851,-0.169869471420779,0.515224731255095,0.590546195945337,0.391276678749207,0,-0.0787438022667695,-0.0963293740324449,-0.17318576877195,0.0468471730849571,0.106432051812143,0.188398687230923,0.000306233270311635,0.238580454265698,-0.295681388376521,-0.430969571052854,-4.81708381911645,-0.0308719227909365,-0.624067833216276,0.352506923377807,1.09978311575735,0.0685835918125005,-0.219955215954169,-0.0478736154878191,-0.0485214347488041,-0.0618783159744765,-0.291590745317789,-0.515781943120202,-0.199110369397156,-2.13832571610891,0.418363789012619,-0.311822301601431,-0.0377187120410141,-1.18670226435236,-0.11122671716502,-0.182224277978915,0.678712172308652,0.501517606864738,3.07790656484072,-0.468860284189818,-0.0198165662499967,-0.138957662950633,-0.0902748208751202,0.295724272271357,0.0661534523522145,0.484166086304423,0.464366638440019,0.246342425582658,-0.373009827169735,-0.00194332498696911,-0.221268496691684,0.0691922528081393,-0.489709403090137,0.680505904924329,0.812217229813429,9.98454539891566,-0.360208283124638,-9944.17530174669,-10379.1198395116,-9213.28335545255,-8110.09894676556,-6312.03453924243,-3059.40978009098,-3156.76435206643,-2791.05245564388,-2504.92392355094,-1962.92978660874,-0.716869340061605,-0.89021759029875,24.1812894693262,0.488278499575938,0.410566407765074,15.9155260529299,4659.28368759155,4659.28368759155,4659.28368759155,4659.28368759155,4659.28368759155,0.0590000000002249,0.0590000000002249,0.0590000000002249,0.0590000000002249,0.0590000000002249,4666.92587208748,4666.92587208748,4666.92587208748,4666.92587208748,4666.92587208748,330.815,330.815,330.815,330.815,330.815,8805,2205
-0.147655297069019,-0.078778913765263,-0.151681765874314,0.222368332078584,0.348186515232171,0.175696031771229,0.0536834982112808,0.257506848178357,-0.134530260414178,0.00981793999557448,-0.470029312015292,-0.0966879974878304,-0.149032599192568,0.501650321642108,0.563244763561304,0.402950112532972,0,-0.0772800476415803,-0.128552978823301,-0.195032964827096,0.0155631025535599,-0.0121654482293463,0.0536774630388682,-0.0626848316671509,0.334578935543219,-0.425697107825974,-0.49386952199717,-4.64051845949272,-0.287562496858106,-0.733288315901066,0.382198114990377,1.20093503637388,0.379114607792842,-0.140878874693182,-0.0661592735502172,-0.039367886227265,-0.0819678674367899,-0.445937136987338,-0.706525048813556,-0.445190258043924,-2.15966947853053,0.526586586966057,-0.222981232144953,0.105092917432445,-1.14731212768854,-0.0103852999779534,-0.0758839068249017,0.91768917722621,0.812285132993367,-9.26584580483818,-0.206753641178703,-0.0168771175707415,-0.170127923410574,-0.0883944678842942,0.332314963866138,0.115848130028135,0.621816299157185,0.593093672951139,0.28267845227456,-0.357402379239632,-0.0103756212846408,-0.25582641975569,0.189786422491023,-0.54784121613341,0.702689026973945,0.830325251177799,9.98222710634241,-0.413893826548213,-10877.0320155605,-10457.2679341611,-9247.66097784146,-8810.16935190214,-6637.96925320242,-2766.64575919392,-2323.33037816603,-2398.80229966711,-2113.4511450001,-1634.63379788117,-0.753886343350643,-0.741330520581029,-1.66547953552393,0.470534336746025,0.47647952776351,-1.263497805197,1523.91262221336,1523.91262221336,1523.91262221336,1523.91262221336,1523.91262221336,0.0590000000000259,0.0590000000000259,0.0590000000000259,0.0590000000000259,0.0590000000000259,1531.71351671219,1531.71351671219,1531.71351671219,1531.71351671219,1531.71351671219,110.546,110.546,110.546,110.546,110.546,8805,2205
