"row_num","gen_method","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","class_intercept_4","LL1","LL2","LL3","LL4","LL5","LL6","LL7","LL8","LL9","LL10","LL11","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","gradNorm7","gradNorm8","gradNorm9","gradNorm10","gradNorm11","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
1,"beta_var_val",-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06464181136,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-0.06398220104,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0,-9336.00944952447,-8706.35158707318,-8483.47641620094,-8352.29682928337,-8313.59364513905,-8307.33922249501,NA,NA,NA,NA,NA,NA,4495.84880947117,1444.18640526175,455.083494426333,266.064244019621,292.050110904562,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",2,1,-8306.06344169288,3,"test0_worse_conv",2
2,"logit_random",-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.0161034727754064,-0.14300643230027,-0.219085681403495,0.0448505584388168,0.0445819028584534,-0.0968963278223813,0.0742113348941331,0.199852991309441,-0.40901879834951,-0.156459617862327,-0.626120200083052,-0.129548362074685,-0.572308082491704,-0.411438444428943,-0.0196457736782911,-0.0890946180257684,-0.136831136352058,0.0200321693121971,0.0544944997585236,0.330652953853276,-0.322585943420515,0.214078785505214,-0.0396036880109882,-0.316569393454969,-1.61314539394528,-0.204656895953924,-0.697784520600304,0.139229014289268,-0.0526088314602818,-0.0960081874916762,-0.246500480405638,-0.0845106628817289,0.0218992828088209,0.255184674165027,-0.239681840984654,0.436556277581906,-0.402222601911189,-0.120666940170637,-3.13068767468159,-0.0999620465589008,-0.538257981930754,-0.0976132249175668,-9151.24953841518,-8481.60044681571,-8321.85974465197,-8308.66959204099,-8306.13924669809,-8306.07155620883,-8306.06344169288,NA,NA,NA,NA,NA,2036.25089976785,666.000312515318,500.114977482317,111.012665578938,47.1100350947545,10.5947762262255,NA,NA,NA,NA,3,"test0_worse_conv",0,1,-8306.06344169288,3,"test0_worse_conv",2
3,"logit_random",-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,-0.0299624723483824,-0.0970688627563771,0.00586526524147778,0.191129935593897,0.020672750306152,0.0504392782720251,-0.190651426552813,0.629343808184064,-0.487523458800146,-0.0115171395524975,-1.5219504580417,-0.0285121492537339,-0.353570165570644,0.31192601720029,0.0265154409420917,-0.0743185963098606,-0.269394514344351,-0.0565679745910986,0.0270619961115947,0.344170917598753,-0.104241009782473,0.534682752402336,-0.360180486387169,-0.111667617459065,-0.291359176390534,-0.0113835880951204,-0.84608720865681,0.491229407608098,-0.0991807166885581,-0.123379420452316,-0.286658182455408,0.0661195569369584,0.014443729508012,0.115983218444175,-0.352813796019,-0.171457840876389,-0.374950511897821,-0.0325468420881179,-0.964828422581982,0.0143323631626942,0.0912146084586811,0.558196947315878,-9367.72993420709,-8667.20657809604,-8457.86114814566,-8435.00759431458,-8432.5464862291,-8432.26664315273,-8432.22759137318,-8432.22423561798,NA,NA,NA,NA,2163.18904562119,641.05670011458,529.598468739836,138.803252377375,47.3858332931108,21.5278444286921,3.17494547713824,NA,NA,NA,3,"test0_worse_conv",0,1,-8432.22423561798,3,"test0_worse_conv",3
4,"logit_random",-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,-0.0440562393955509,-0.0780637282607297,-0.201727401215915,0.0959757444715244,0.0337021090202143,-0.00105971253718584,-0.262822318655547,-0.000399982881298278,-0.352756893328809,-0.21892063776043,-1.18147131991273,-0.0484970163280335,-0.244347778067525,0.248445438112449,-0.0623902329470914,-0.181956612063617,-0.373846289300542,-0.0300960760524903,0.0288644606666618,0.0548348742843603,-0.17127301068739,0.790963620640238,-0.0573514926763387,-0.0315283502193515,-2.03814420352341,-0.122001478046403,-0.508740933839743,-0.341308546532507,-0.115573263680281,-0.0363649502466579,-0.262615588501092,0.0282784386171011,0.0206602463863979,0.186479042353183,-0.0987603462052051,0.614219755372189,-0.162594306962155,-0.140444804268703,-3.3478738748279,-0.126873583548877,-0.51249033987477,0.150175255794828,-9323.99425684836,-8577.62277839041,-8423.29054236465,-8324.70696633562,-8307.09144274344,-8306.19364904311,NA,NA,NA,NA,NA,NA,994.113041378497,1392.46420117408,984.553631165094,75.0070470784285,24.0399075611074,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",2,1,-8306.06344169288,3,"test0_worse_conv",2
5,"logit_random",-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.00662183290845868,0.00744485085009712,-0.225399439073841,0.144085190572459,0.0462963139127159,0.150599942831282,0.0315487990285536,0.268173850945952,-0.581733690849808,-0.0762506212467041,-2.22519719161509,-0.00124432398992742,-0.258966711873023,-0.362393592877076,-0.0825632103662118,-0.200019579884493,-0.114971509256003,0.115564601331127,0.0185604878427682,0.135394399629331,0.0245924647187162,0.351612170468734,-0.482718974258275,-0.184026053577353,-1.62713644822541,-0.0584541936064589,-0.169069801152463,-0.726973100524766,-0.0801688045440305,-0.0867252369681413,-0.134874900641084,0.0113105666503654,0.0300558226118017,0.139765660489014,-0.351030695533356,0.0474737898644145,0.0397179544477456,-0.0749511899609353,-0.723428258722688,-0.087188721205378,-0.239244892203772,-0.797360660865478,-9346.58667522213,-8480.44846416033,-8341.07234912188,-8309.37469432599,-8306.37092019906,NA,NA,NA,NA,NA,NA,NA,1657.87654926521,1122.69774899708,295.918471344156,66.8167405517298,NA,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",42,1,-8306.06130344826,1,"best",42
6,"logit_random",-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,-0.131717494616134,0.0604026347388314,-0.352962593358962,0.0616107832310273,0.0250164051736542,-0.165708018034767,-0.196237410898384,0.152522383324248,-0.256450036097228,0.0192838301582185,-1.84172349106688,-0.0275634180492898,-0.252604282823492,0.974167328804263,-0.130562264616393,-0.0911659571809324,-0.228531922725798,0.141687625704384,0.0499563218851381,-0.252947835034684,-0.521840180807604,-0.0317089813251346,-0.11235889400138,-0.153561645664942,-0.401451320364618,-0.075230398227338,0.179059795006035,0.308893991209994,0.00181781436525325,-0.197313120376628,-0.213907576034476,0.0474457392582495,0.0166647635770063,-0.0347872053741393,-0.22084721190106,-0.163220429771919,-0.535625723980482,-0.245977446629703,-2.50793563573693,-0.0442777828853846,-0.769766031583518,-0.227476710474727,-9660.81709273519,-8574.42219667295,-8502.98658368854,-8491.34103974581,-8437.32658251508,-8329.84578322689,-8308.7920091258,-8306.43615446343,NA,NA,NA,NA,1174.32133400424,640.899650518652,486.313791857261,585.466486705821,797.640888540609,201.64481625007,93.4650459705556,NA,NA,NA,0,"pruned_test1_too_close",23,1,-8306.06161350863,3,"test0_worse_conv",29
7,"logit_random",-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,-0.111699396472288,-0.0255700033633223,-0.226505027683829,-0.0327153770901309,0.00350040127762792,0.114338037414419,-0.738329751476687,0.1431641699757,-0.944853944104429,-0.188270665191689,-1.45499687734375,0.0174994100972843,-0.238201900659664,0.0243714461139861,-0.0287254653235611,0.0691861273335014,-0.0353885811213454,0.16214114502629,0.00114822328531979,-0.0939082950461254,-0.149104879371832,-0.60565855785109,-0.054388273787719,-0.202346558456827,-1.64525130967202,-0.159227439928688,0.335936163888847,0.70079396813078,-0.000460658165068364,0.00141581788910847,-0.0260694642081804,0.236752482861974,0.00496678456894115,0.194456427619509,-0.335034455085763,0.110744444401808,-0.0191921893908999,-0.15281473134889,-1.10241008811716,-0.101160977067535,-0.583741588312017,-0.323456130342135,-9416.30670938458,-8530.11376366099,-8341.21804861611,-8314.11629524256,-8307.08760416362,-8306.1747961866,NA,NA,NA,NA,NA,NA,4430.69605896375,1637.21970870298,727.082644913306,393.129422426027,27.3038418310286,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",2,1,-8306.06344169288,3,"test0_worse_conv",2
8,"logit_random",-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,-0.122737494794386,-0.0430189442287779,-0.0857939961226245,0.275003126649363,0.0355740339951453,0.345935654942174,-0.258698810632898,0.16875359039754,-0.0973447416537145,-0.173387458705918,-2.00591779801492,0.0792438172815093,-0.033052636033593,0.244916468545395,-0.036103680357657,-0.0443372358032059,-0.0650860929090515,0.100715722879491,0.017911976445016,0.121213695156744,-0.559319795849802,0.128318573370872,-0.253124899028917,-0.0507641328378153,-2.69269847388656,0.00307361857473858,-0.221444911365542,0.0338548370253471,-0.010273648688548,-0.133292732209211,-0.0537179824703735,0.0476264809437963,0.00570820227976454,0.207731419907731,-0.612718118814596,0.251646757100664,-0.197688199687305,-0.109650720374277,-0.468785126363084,-0.103274160234389,-0.302488593915729,0.206343825520777,-9169.29267809199,-8570.14470593091,-8426.21972622791,-8320.20482965692,-8307.45478992129,-8306.33590269054,NA,NA,NA,NA,NA,NA,2242.84952784641,2533.68688478919,989.866085816362,400.917710797383,222.796011475238,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",10,1,-8306.06130344826,1,"best",42
9,"logit_random",0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,-0.139698040242505,-0.0469450019352201,-0.115145765483664,0.0889403339528782,0.00224321282912058,-0.0735708974014849,0.0273353967508481,0.146179308271307,-0.146344146430437,-0.121412310246954,1.31967267315926,-0.038773772255293,-0.94669174002542,1.02048694176939,-0.0965738596673578,-0.161867370731724,-0.145282707251197,0.0978004894102168,0.018991529550612,0.199495770550096,0.0775796542613049,0.299694084186507,-0.0027317259600429,-0.155366221531745,-0.806506773922836,-0.125851083604101,-0.151783375812882,-0.22374354478722,-0.0491401461931754,-0.276957144640474,-0.130469090415037,0.120147352282133,0.0277961486651231,0.0646363239464775,-0.067940364615419,0.619930628561018,-0.168916486154514,-0.0204772299056494,-0.127504433695524,-0.0379451179062356,-0.348594762575969,-0.511993379568201,-10057.2623840824,-8633.06743131209,-8374.32918999371,-8316.82514197147,-8306.8765209374,NA,NA,NA,NA,NA,NA,NA,1634.39047079783,967.647492669738,350.273203578034,142.429819845826,NA,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",60,1,-8306.06130344826,1,"best",42
10,"logit_random",-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,-0.0191963149437918,0.0289751709096559,-0.287995380957043,0.138986089280855,0.00553305544596435,0.0672569877021545,-0.39650979082303,-0.0663545517514517,-0.478897668007193,-0.175385080232819,1.99775943482175,-0.122201722333,-0.515551363786241,0.586027588327361,-0.0465373077630161,-0.0887008451728812,-0.0855042392045542,0.0656109373399664,-0.00452933195213843,0.114292108263167,-0.0409996856041146,0.166707906101669,0.0419637916144767,-0.140414618501091,-1.51910585787082,-0.122861888595844,0.0815311473459432,0.0279155911789551,0.00801308032416084,-0.128544227276631,0.0884764690057466,0.0509885014225686,0.0279292614202427,-0.052849884454101,-0.519463168406304,0.423182660421318,-0.174680106293451,-0.0980342857025782,-1.8029204944313,-0.118341830118522,-0.28650998022987,0.187129053136205,-9849.94539283708,-8579.47715291164,-8389.77635443688,-8316.28539193719,-8307.16487072974,-8306.1825190562,NA,NA,NA,NA,NA,NA,3410.31421218866,2411.17746241031,616.072759809536,131.45148123907,60.3728521696658,NA,NA,NA,NA,NA,0,"pruned_test1_too_close",17,1,-8306.06130344826,1,"best",42
