"Class_1","Class_2","Class_3","Class_4","Class_5","Class_6","model"
-7.60975923606806,-4.82162358587405,-2.51681329633647,-6.52349828872751,-6.69890519709488,-14.3712111142834,-3.17259687586927
-123.581108909974,-34.6114928036409,-37.4759828976486,-39.8408022549214,-12.5528904572451,-73.5147146546216,-17.1155893541681
-169.776983668798,-33.9660162788392,-39.7315207568953,-20.6904919798421,-38.0846401882398,-52.7470889859891,-23.2575702621262
-74.8797742996806,-6.3118096378159,-6.77834548454399,-5.28206408749584,-10.8068742602046,-4.32464129500302,-5.28409106221368
-45.9142507942978,-10.3095870325853,-25.9174411773273,-14.4637881540181,-13.2842746044223,-41.6010353611322,-11.3231065239772
-231.802821832321,-73.592097198222,-34.7539476513463,-48.6567384139644,-91.0453866761593,-64.9563440003793,-40.9284799372679
-100.383692760778,-6.60913669750156,-5.70208289210868,-3.92136026147023,-8.6954854254186,-10.1461560614632,-4.27424184819925
-6.74938527283073,-3.21970320207783,-5.86080967246008,-4.23700443327198,-6.02832799061829,-5.07285342128243,-3.50675939070732
-0.509861152073677,-1.32593888126616,-4.56374561983812,-2.6187246521898,-3.45434047812265,-5.56393041386742,-0.973344055013722
-120.931848088655,-45.5732414232632,-27.5707469924342,-44.3593745198721,-39.1512105196624,-90.7922628243432,-32.540027062413
-13.0834437249324,-4.94720337276221,-11.8070247986461,-7.57189459416662,-5.90658667712738,-13.4888059315479,-5.39415083771298
-83.4481524251754,-4.96107549781573,-3.41728697063708,-4.65638489987532,-4.85191094592582,-10.6153263876835,-4.02887369960412
-26.2086024533327,-11.4858053813295,-9.13401037580855,-15.6267698160332,-14.4275576439257,-34.4034882781434,-10.634115972136
-8.08047646216514,-11.1802995748181,-10.6789422568824,-9.55161126223096,-20.0777690741677,-27.576008221164,-9.45153689218603
-13.3779044128556,-2.93015058584792,-9.72513479493382,-5.34908949441564,-4.82490406431252,-9.01746192569271,-3.42865674100906
-5.3233874066819,-2.38612441292906,-11.5469002230051,-5.03335942738656,-3.35130931832619,-6.50352579543595,-2.65907145971798
-1.60121282195365,-1.30648059842552,-5.04243686000816,-3.77321607528793,-6.06987088688667,-7.39968692822125,-1.56011464758066
-41.6418237346509,-16.3288426965436,-29.7231019385922,-14.7516855494145,-23.2854850418704,-39.178361255484,-16.2513538119868
-2.02684592646032,-4.16864624279051,-8.8215071398123,-5.52887661506056,-11.0649022684679,-19.3396687577947,-3.05066929139977
-17.7736959564341,-6.12522202171417,-6.61429289337301,-3.50880890281965,-9.38205216510887,-5.79414999156712,-4.08794945752678
-4.67188193219432,-1.83623936139307,-1.52923136498662,-2.13287641125032,-4.02403754351194,-3.61048763192513,-1.79103931355775
-142.730030020772,-14.1505140697905,-18.7273340139634,-10.2248415597858,-12.935208759357,-15.6143024005333,-11.0901207164319
-32.5986342893874,-10.2829483279751,-15.6611588584873,-8.18553561504244,-15.0854585237266,-17.0360403946372,-9.16827642952941
