"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_BEV_1","alpha_PHEV_ICE_logistic_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_BEV_2","alpha_PHEV_ICE_logistic_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","lambda_ICE_3","lambda_BEV_3","alpha_PHEV_ICE_logistic_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","lambda_ICE_4","lambda_BEV_4","alpha_PHEV_ICE_logistic_4","class_intercept_4","b_Price_5","b_Acceleration_5","b_OpCost_5","b_hev_5","b_phev20_5","b_phev40_5","b_bev_5","b_bevRangeRel_5","b_noBEVFC_5","b_american_5","b_chinese_5","b_japanese_5","b_skorean_5","lambda_ICE_5","lambda_BEV_5","alpha_PHEV_ICE_logistic_5","class_intercept_5","b_Price_6","b_Acceleration_6","b_OpCost_6","b_hev_6","b_phev20_6","b_phev40_6","b_bev_6","b_bevRangeRel_6","b_noBEVFC_6","b_american_6","b_chinese_6","b_japanese_6","b_skorean_6","lambda_ICE_6","lambda_BEV_6","alpha_PHEV_ICE_logistic_6","class_intercept_6"
2,79,-8360.28809475105,3642.49341751494,-0.0444277210231652,-0.0306120051323711,-0.142668108312752,0.0124167008453872,0.228187277895015,-0.067741425681267,0.198364963978727,0.137754554671625,-0.619055820549689,-0.178023856921161,-3.8670841532294,0.22350458440382,-0.138073307140722,0.0100045778389639,0.499332404673924,0.141325339689345,-0.0243935307450484,-0.0245957000416214,-0.0238563773997451,-0.221098478856271,-0.0306036744841665,0.0881433885144781,-0.910551767701663,0.38983532490722,-0.241854642628258,0.116833777147987,-0.435900894643572,0.0410803886807049,-0.0721461372800109,0.368789389965456,0.453071713421446,0.238003834362015,0.970099852614672,-0.168943390590223,-0.0962222786220481,-0.107802114549171,0.348967061749647,0.10462468650394,0.108700802814185,-0.382631559436485,0.331455341575022,-0.03428756207353,0.0474470607290766,-1.21908038033016,-0.191598159390601,-0.300908908118022,0.510996637483863,0.415191553518687,0.587123654039929,0.493925181385717,-0.0136471704840476,0.0434333669889943,-0.0414465965828862,0.0351534288553442,0.0204228249623675,-0.0595471760316256,0.580857286478455,0.280207824558353,-0.365615948675476,-0.392079710709316,-1.45157749882344,0.424227548209172,-0.764649004466055,0.69270811832141,1.41168039227049,0.31297654160236,0.246330690771268,-0.10822226969462,-0.360369696697971,-0.501422668095611,-0.0669652368152447,0.0940973752599473,0.171077387421033,0.176853838108007,0.577946944222025,-0.320148592063805,-0.26966573535349,-0.44208653939147,-0.631917901530414,-0.546797926901102,1.03577002781279,1.23052212179759,0.19096823899343,-0.26536234451089,-0.969488806152153,0.134106374659708,-0.48146949905099,-0.0946008591859513,-0.0419537817820629,-0.423060369489365,0.309929279477428,-0.229094047543425,0.319444998498872,0.0513910049289403,-1.36153804223569,0.0960819616324658,-1.01268889776574,0.160680501289322,0.231059567189961,0.639455721064097,-0.564567322534347
2,80,-8253.18027090281,1279.21791410055,-0.0761863573546131,-0.0636990976991982,-0.142317347927915,0.137866062750576,0.328163908491607,0.389474782667207,-0.354074239626374,0.474663214243841,-0.0822843341594013,-0.139375196838142,-0.49237941286211,-0.168723195620841,-0.0917603078494987,0.213740056733167,0.401508041996373,-0.198651813800164,-0.0676289461712509,-0.105064523535787,-0.181876811077261,0.207952202222722,0.221750829162689,0.338275487390258,0.171443591019664,0.252842869375185,-0.443110415897642,-0.256321462261652,-3.92127305899027,-0.0170450541250381,-0.701666922767635,0.348085614944235,0.796976642172403,-0.240482689732041,0.626336691368003,-0.0733618619187573,-0.312111235569205,0.00531115482004849,-0.0936012899852265,-0.259336372197054,0.0728492062270336,-2.50797334240827,0.693012361465018,-0.484056887059505,0.172497657188465,-1.38434670306963,-0.248033635513536,-0.285454732079423,1.36054419639953,1.29317168413003,0.358982770413281,0.569668526439491,-0.0508344884398587,-0.158377672677174,-0.0335371056329668,0.181533250322271,-0.310598998817925,0.470462856719577,0.802153719340937,0.878702002969509,-0.22849846377316,-0.604297152814336,-0.344067026627665,0.48394452043626,-0.979905943282968,1.1817290015013,1.84636118817187,-0.198737025528044,0.1077610913523,-0.0558814963959114,-0.283588453978421,-0.360484837216832,-0.00146531942147719,-0.186722009585486,-0.104631830924306,0.00384552041793395,-0.216968291922878,-0.302130365849812,-0.425623295386421,-0.90579028759816,-0.342023458528645,0.140095107867469,1.20406455613094,1.18550717657677,0.0236918854807679,0.0383048650721337,-0.304165332799674,-0.179330412434945,-0.196382336828937,0.210496525429207,0.269216798304807,-0.326148572076025,0.0618521161864979,0.0352297766354805,0.176599791826057,0.144815507525451,-1.44404053789097,0.0116600026157878,-0.41182322378497,1.15202678339181,1.45886371157147,-0.62684944237019,-0.00113995161618579
2,81,-8248.27774891881,2451.3213309986,-1.04038645853116,-0.235477372253346,-0.490057381964289,-0.406687385916141,0.254343190297224,-0.0644807057035987,0.199457999425637,0.0340131408848571,-0.292239701102331,0.383603243537936,-0.500420212884585,0.405963795927962,-0.0286447481604044,1.51846575158315,2.29984506337687,0.28141502897061,-0.088971615209903,-0.0633475940558397,-0.178328562443543,-0.254304310071267,-0.0814732965363737,0.00437414793033458,-1.01452832048397,0.752079885988179,-0.308407522891307,0.00537223974549777,-0.865959636011989,-0.0653313850710201,-0.148915721116809,0.616858320951496,0.933639328183946,0.384099918847516,1.09164039928008,-0.0689010457119797,-0.072479465290052,-0.14385273316444,0.33038869021543,0.285844051332197,0.251429331452925,0.362374268219602,0.280170428621481,-0.349468343623007,-0.242011387726893,-3.12887632994384,0.161761216489174,-0.391296916693959,0.412329828647468,0.696617646616985,0.712843640215144,0.535913763763503,-0.00820100431148072,-0.107211987958928,-0.0645163639933177,0.0100342060756342,-0.452809615662811,0.186321030320757,-1.37288066787998,0.326940857967246,-0.886962470324019,-0.13798392213278,-2.80350327352842,-0.316085915190418,-1.23817029433505,0.924408430583388,1.51650603895232,-0.23222476429534,0.00710258274246497,-0.0342826123891601,-0.178546153121426,-0.194534733353283,-0.633044656229731,-0.0955202374965763,0.202806174029979,1.33394969275527,1.33820463846735,0.0840352781212835,-0.477023885538485,-1.47491861285342,-0.21224138171908,-0.464908518098883,0.841670152983036,0.978320459995768,1.1330787646017,-0.0416234994216145,-0.00842852681440344,-0.176769062996078,-0.194437606434348,0.403451784849769,0.0857073093085741,-0.0381516998699751,-0.0491283970098117,-0.0892133510980211,-0.291824132350847,-0.192868181049939,0.0177222860754967,-0.0449827467843845,-0.254359941955485,0.90319687242931,1.13416594205721,-0.262962066380111,-0.0938576805267396
2,82,-8192.1153147209,1539.38890645309,-0.0166821833150975,-0.240083769771135,-0.0642479256207855,0.0788523241066786,-0.250677674999137,0.0640387256711367,0.222226341300573,0.417597712671987,-0.268596411076751,-0.322739577717056,-1.03987550481142,-0.240901991815524,-1.09909330137361,1.17433583849202,1.45348941765726,-1.03487529671751,-0.0496109661521525,-0.0227323326328576,-0.0478271281953863,-0.30235975301866,-0.269110049105483,-0.10384678692313,-1.96514359822751,0.501910657788863,-0.163625335863638,-0.150307178169342,-0.867028082152604,-0.108111985230252,-0.164115742121008,0.588683352869234,0.778481412753703,-0.281473617384187,0.0564284814999056,-0.121058647182524,-0.00153464413488334,-0.0268192335646966,0.265910190544023,0.041645754720423,0.287733878266678,-0.0431650972556874,0.429862658814364,-0.100561279696514,0.326363671704212,-2.16540702396726,0.0581915857976654,-0.258700391355782,0.401575757565052,0.861339318390542,1.23876138717963,-0.171571153108472,-0.0764518373583397,-0.150681559376745,-0.463688295775962,0.199605794003443,0.128153792155003,-0.000573329925268685,0.896186439818819,0.198118271415725,-1.09015609082111,-0.531936566085683,-5.38231549051915,0.506667931988915,-0.130034793523038,0.6220874701346,1.42426384354251,0.924298854976118,-0.334576305934483,-0.161439129742826,-0.158506439860779,-0.237777436533506,0.131402930288753,0.18558454488605,0.00402892808234345,0.111040089151187,0.596145046531306,-0.297270593650236,0.0357326332559311,0.0862204406031812,-0.106717322778526,0.00120878954500025,0.7570966735375,0.885432301120848,0.722321239595898,-0.451558271510199,-1.20969395296516,0.0312798885866408,-0.0858363982395503,-0.428268246281668,0.372596927713851,-0.766798990226053,0.522600436003884,0.139580891616723,0.242718045395419,0.422736994407424,-0.430832968827087,0.638948555430233,-0.400228967609089,0.190656270068781,0.699845417825861,0.209021892872455,-1.50994294029793
2,83,-8295.56862926946,1182.33841298154,0.52676185365296,-0.40666146740047,-0.0169782099530883,0.0760014804768041,-0.0423609739408604,0.222495333901117,-0.179403320540089,-0.408639653968217,-0.112068300887458,0.00241425153458032,1.11580532450987,-0.197283120350767,-0.230788819158593,1.00955281931041,0.496972914284525,0.522368039409848,-0.0786345904935108,-0.056465698232894,-0.185460643362972,0.208163525399343,0.186801140312333,0.209920548690553,0.402659059235562,0.302524034282143,-0.658817352544693,-0.374338341641928,-4.49963135445813,0.077180278740237,-0.551839992790252,0.430814874115898,1.02531179458427,-0.34816750604701,1.63570252140534,-0.0347427503923981,-0.103829846187093,-0.132247376757352,0.25745432601325,0.286336536923397,0.453972089417219,0.603145325518071,0.219446468884647,-0.287193800788674,0.0174935084828842,-0.208252284044771,0.274447904879759,-0.421116479691335,0.637494029547825,0.764581906453338,-0.0820050162416347,1.48304228001888,-0.140342868021736,-0.144212016143318,-0.122013427126747,0.539869148109317,0.355140159884576,0.548761505938687,-0.871803415937931,1.23500734968236,-0.115608478278385,0.159579751692576,-0.714439405457989,-0.32136768768283,-0.33605353106613,0.983711189194471,1.06018279873971,-0.369378369852106,1.30162951640291,-0.0309455050025305,-0.111077458127764,0.0118709158159924,-0.511514859042792,-0.610790016388113,-0.417726181808405,-2.36955209785378,0.3224924501757,-0.54900993081886,-0.0971254328179293,-1.01844477089651,-0.122166531025361,-0.141420380935333,0.532544485582906,0.622503913319783,0.482464776896159,1.23943876575024,-0.471556208991873,-0.165107666467222,-0.309814382687914,-0.280595822385945,0.438424416074537,-0.446539045066384,0.176081064041215,-0.390979568275057,0.0914686129096492,-0.158387425547618,-0.698495530096339,-0.137338837571045,-0.221932217778717,0.0495972007029963,1.2278479275754,-0.684426480611033,0.253879733156065
2,84,-8238.04735302115,1414.40464338081,-0.119902884632775,-0.0997423519257761,-0.167186020616916,0.304743296852954,0.229965224576242,0.18398377093633,-0.0392434403122513,0.697828233947014,-0.353675663343333,0.231253481257955,-0.603216244835171,-0.046817181050509,0.0519053706569184,0.707996852799738,0.606302008059526,-0.62979600414479,-0.0290422995367128,-0.0866398028985232,-0.0817968690650308,-0.0628063852253655,-0.0228046748647532,0.220697719916224,0.210753820968998,0.318682060726513,-0.415372875860472,-0.128873446937433,-0.694220762991186,-0.0885728346394275,-0.800940276567231,0.80792918017849,0.891744567919244,0.365444149295183,0.597176091939392,-0.0707258437243553,-0.160885047050117,-0.323544435346955,0.0604094303181118,0.198254031904081,0.187596322922439,0.658724216180542,0.411297725398763,-0.740276822101527,-0.478474612403989,-3.91263265333188,0.0707791407490332,0.108863347219396,0.35655798422231,1.1755476810421,0.776559444614508,0.012330055910836,-0.1363367112381,0.00341343608893311,-0.0867861056643073,0.377399245806347,-0.0333940128347122,0.263102173852157,-3.7697884800193,0.212033835682313,0.175352744811614,0.460667770894311,-2.229578316224,0.419160549575334,-0.14839612227639,2.01030561410405,1.87292341835819,1.58049894803854,-0.0216479187242826,-0.590814890415511,-0.161293725279878,-0.301943100938503,0.0304639924396608,0.659782682262446,-0.47023241973932,0.0134575394568813,-0.214210831139475,0.0786520417775105,0.150711584179042,-0.815432530565157,0.167992939203856,-0.391350308921328,0.809417157514008,2.00386027484712,0.433593827785788,-0.17296736592559,-0.0580682804601239,-0.0872413133515162,-0.0339000578894038,0.181005170695804,0.0173067948956606,0.294555274217796,-0.276721500902558,0.239315505234497,-0.271806383913781,0.00732116420770846,-4.3392498452807,0.339086317156406,-0.152901223028716,0.24739440662059,0.210028667650415,-0.907417935336921,-0.432037303503807
