"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2"
1,1,-9336.01250131243,NA,-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,1,1,1,0
1,2,-13008.5864528049,NA,-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.885853732856922,0.48685960337054,0.263013034095056,-0.153288952210693,-0.262732749706913,0.0624114716169582,0.180360913829444,0.0102572647514674,0.18505701864468,0.0701262341858362,0.226107601993933,0.0309525841729235,-0.259420771589974,-0.57327827984236,-0.124590335704268,-0.68586048238304,0.366887455838732,0.48931577314157,0.711718644252978,-0.0541562322046004
1,3,-18447.1784051557,NA,-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,0.67419874003157,0.215430199909024,0.0294260086491704,-0.0995620842160974,-0.324001447775707,-0.0871055685752962,0.13924824565847,0.0317746082773882,0.461849923913537,0.019502921642158,-0.360310732072751,-0.654596066545398,-0.13091965799495,-1.76435900884613,-0.0902369795494534,0.0547128191874626,0.626596752232872,0.49862176975701,0.186397380270064,-0.591028350897768
1,4,-10650.3650608346,NA,-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,0.701687556202523,0.36959819230251,0.453475964735262,-0.121803389186635,-0.132039821982425,0.0198397129465968,0.106398663293584,0.0184115784255287,0.270268151881422,0.0578359891299991,0.352972884329999,0.266094690597116,-0.136537212056499,-2.54307676201489,-0.000741579185137294,-0.634215704806354,0.877638045768254,0.555736332214437,0.278203713805415,-1.01405050506505
1,5,-13732.4338552585,NA,-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.221902657710016,0.742886021682061,0.185152029683813,-0.0220177578487729,-0.278063340662074,-0.39888513615997,0.120801099105044,0.00379379170623747,0.255761957740984,-0.16999337879178,0.484693362470269,-0.159778191908834,0.113604428067786,-1.44105906609083,-0.0650974308281752,0.272948119403218,0.847979026003741,0.114980680178851,0.309009046815336,0.0343736807369984
1,6,-10924.5105833587,NA,-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,0.624987461329438,0.140049960147589,0.538978191604838,-0.127797129576185,-0.0417268056202652,-0.199214694213328,-0.00706532347317078,-0.0059396231409086,0.345605435586042,-0.136098545334769,0.461822330467948,-0.29657288397072,0.0854838880900569,-1.80523755544779,-0.169880642556855,-0.434240748078829,0.395211762483232,0.143358053257689,0.662739232121967,-0.425537802378237
1,7,-9718.38788684259,NA,-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,0.479549244437367,0.521739922864363,0.618075629789382,-0.0944597915719685,-0.109716941928321,-0.150731716646354,0.0126207013401148,0.0225201359749669,0.242597842012939,-0.198880056514125,0.411556867611465,-0.32408436579496,-0.105012416595026,0.221383436432888,0.0108678477227839,0.528667497612538,0.637784777767956,0.503933576084673,0.962143624671735,0.356678799138128
1,8,-13101.977248682,NA,-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,0.857346800053492,0.610036411811598,0.854001691639423,0.0805812147935416,-0.209019276034564,-0.153061360083236,0.0711360735133695,0.00710348011694325,0.223092869330531,-0.129536973655257,0.561619697948647,-0.148277187385065,-0.0603304651300501,-0.0291513800863321,-0.0289580296184768,-0.13032472326757,0.152790120132267,0.103796811518259,0.198551927725784,0.236406018564386
1,9,-18339.6287274094,NA,0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,0.637746538082138,0.845757617191412,0.0434029314341024,0.0102542187774594,0.00975193477216532,-0.141229555825082,0.115339182595738,0.0374972997439749,0.105061617960644,0.126283136240146,0.160061376569333,-0.401567756847293,0.00489486150228816,-0.512581296315098,-0.0780596234085508,-0.464429931529186,0.738812468587421,0.377294126786292,0.126583511955105,-0.0883844847101298
1,10,-10531.6040839878,NA,-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,0.161469025830738,0.297850301484577,0.946001373231411,0.00519579669496309,-0.22868384127805,-0.260162219758618,0.0540226212429555,0.0116230272992851,0.266976184736921,0.0765154027209539,0.287083182515483,-0.42461999033645,-0.322956351046122,-2.73643821114547,-0.00456242783128318,-0.442814549385382,0.94660987184383,0.47998535072431,0.438344059232622,0.153713998886893
1,11,-10989.3894575828,NA,-0.0417809629912746,-0.125698268753003,-0.269967530623023,0.151437675894396,0.0111494948484412,-0.104761992242752,-0.251729757074729,-0.306753575555337,-0.320560748428287,-0.134548953657592,-2.56519973957376,-0.0240609370063418,-0.848475616178635,0.318303458578885,0.365497044525109,0.961050546937622,-0.00709535941299289,-0.146033719054139,-0.209100656029328,0.118464389555628,0.0362060217778837,0.271768371681973,-0.187668553623863,0.272584501511232,-0.0962547474192473,-0.0370133589532108,-1.4779457630991,-0.0434108902126375,-0.0719759283342035,0.925065884073265,0.427044734284282,0.829392463453114,-0.37415591328665
1,12,-12280.5662757996,NA,0.0119250445977048,-0.0829240458664507,-0.277316080229864,0.0929837391404516,0.0236499043084351,-0.135861591463261,0.0366566405786292,0.0853094305974864,-0.194906881377083,-0.229529270218293,-0.274713988960326,-0.14104192225175,-0.186457331519967,0.243917012554593,0.941509981234558,0.754451060537249,-0.141455499114171,-0.110089712727099,-0.289536225397176,-0.0855266612460695,0.0206802117506856,0.270469673988607,-0.101506206299708,0.285689628100591,-0.264032661971062,-0.153507304667482,-2.25221577224796,-0.0557328813764934,0.144490480532037,0.755664592939429,0.95461546335835,0.127150491108187,0.989752231341293
1,13,-17168.2241303319,NA,-0.0235354193568555,-0.135983011900542,-0.251308872131483,0.257138373878214,0.032457458464313,-0.121480950701091,-0.461702631617235,0.276988687423819,-0.0209034544781351,-0.101937335493971,-2.58602590134598,-0.0847227389438767,0.064957293745821,0.284573643887416,0.508084192220122,0.044885666067712,0.0280677208734308,0.0283144423683504,-0.330183381474524,-0.0802699508185625,0.0343171094170992,0.0320295507827722,0.0388869000663458,0.314064228077329,-0.0751806414055995,-0.157094287582924,-0.0249480842095549,0.0207330732000831,-0.145722780389362,0.878586019878276,0.196495968131349,0.565116453673691,-0.0184107857346101
1,14,-13288.2976308434,NA,0.0194797351503173,0.0715354533960555,-0.2968212068271,0.103190993128058,0.0709388398020382,-0.103052472464117,-0.197661050658359,-0.0123392839733669,-0.25200939347501,-0.193267364649529,-1.2223900238944,-0.13127896121978,-0.388212283879798,0.195759694571607,0.723266109372489,0.688997317044996,-0.0212544948063933,-0.139413175209812,0.0069508175547167,0.0906847118179564,-0.0138864961051177,0.270584737852652,-0.162706299082029,-0.164052824261358,0.175053909415225,-0.1658458049354,-2.51334402673054,-0.0777162806396132,-0.282890498421801,0.92581033995375,0.683743140632287,0.242130786608905,-0.371238038969409
1,15,-13449.2029989799,NA,-0.053565761945061,-0.0491724694359778,-0.191989496214545,0.155568154022611,-0.00461400094506979,0.156720615508058,0.17919470473392,0.173249624011332,-0.0824773513039554,-0.00567485429403736,2.02374284350926,-0.0492039367138917,-1.19414652691998,0.0999999004974961,0.908854909809306,0.208089049803093,-0.113062372278177,-0.295345245599363,-0.00520339441590331,0.12212975281448,0.013587729435494,0.249619175993177,-0.300443243351759,0.532012417979892,-0.162313521462798,-0.246664418044856,0.306838451223552,-0.0566305254281398,-0.444177511337721,0.773365118764341,0.2770375268301,0.860269992551766,-0.574823191706138
1,16,-11245.2430609322,NA,0.0389964983824896,-0.204146136436769,-0.166861724173665,0.0564605405806175,0.0339303522555182,0.255327910044233,-0.141836629235888,0.646036299993212,0.0673618536460235,-0.130911279809532,-1.28035601800897,-0.0370064029949582,-1.03083835888006,0.13474728374742,0.544604192203842,0.67323512299452,-0.0436482395257762,-0.0269951060573893,-0.143816409068071,0.0330555940886602,0.0298017054132374,0.183328310337581,-0.0581663926527791,0.577942921202782,0.0542056002829907,-0.261411035447415,-0.481417856048801,-0.0588505183033816,-0.38000732469984,0.573804374299943,0.19925694714766,0.31160878916271,0.890133924369634
