"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2","inSample_Class_1","inSample_Class_2","inSample_model","outOfSample_Class_1","outOfSample_Class_2","outOfSample_model","avgObsLL_est","avgLLObs_val","percentDiffLL","avgObsL_est","avgLObs_val","percentDiffL","timingEst_Class_1","timingEst_Class_2","timingEst_model","timingOutOfSample_Class_1","timingOutOfSample_Class_2","timingOutOfSample_model","timingWallTotalIterStack_Class_1","timingWallTotalIterStack_Class_2","timingWallTotalIterStack_model","timingCPUTotalIterStack_Class_1","timingCPUTotalIterStack_Class_2","timingCPUTotalIterStack_model","inSampleObs","outOfSampleObs"
-0.0290856871269979,-0.0771082128466512,-0.0835206407409795,0.169753611259368,0.0763006330966004,0.212187990687114,0.119212859397967,0.24546055992368,-0.371871107933047,-0.246834890182357,-1.45389119469485,-0.0170231317351409,-0.526477614631372,0.762619357069308,0.638179662360079,0.783238225624651,0,-0.122064829479243,-0.0899232030208938,-0.136191650075304,0.0472036008512484,0.0547790545187746,0.0904046896646377,-0.511454764110455,0.391486415707425,-0.0902725547735024,0.123799688782174,-0.826334423218845,-0.0671414052814373,-0.0689473197416879,0.661097205786685,0.409459488915444,0.724362712156961,-0.0205300495944624,-7895.0319811904,-8755.53283643811,-7133.13026661324,-1958.28320853757,-2097.56710386694,-1732.5355023269,-0.810122687860675,-0.785730386542814,-3.01093916802586,0.444803490886426,0.455786679725763,-2.4692227161816,318.066861391068,318.066861391068,318.066861391068,0.0470000000000148,0.0470000000000148,0.0470000000000148,325.329325675964,325.329325675964,325.329325675964,29.054,29.054,29.054,8805,2205
-0.031222355101073,-0.0712261973784891,-0.0958570253069516,-0.0357544815387585,-0.0820523677277204,0.0434422089279596,-0.278118915631448,0.280365457730768,-0.329886625863729,-0.217875996773709,-1.35163719170739,-0.0712602199044256,-0.413265781102913,0.732731358880017,0.501888530117723,0.691654602091555,0,-0.146743612856198,-0.10224076672561,-0.147207700681996,0.313463168379714,0.22830028811104,0.137854730834469,-0.196094277934494,0.357225563276619,-0.116456641368607,0.15401178946537,-0.773463192535458,-0.0485608408937667,-0.0993885170230072,0.622877504671242,0.467375164596777,0.743523519540515,-0.397221588597566,-7817.55419463187,-9540.90473853916,-7146.99621493375,-1881.23946669088,-2158.0576064948,-1710.67342016719,-0.811697469044151,-0.775815610053145,-4.42059515514568,0.444103573971274,0.460328179556639,-3.6533382157412,361.844146490097,361.844146490097,361.844146490097,0.0389999999999873,0.0389999999999873,0.0389999999999873,369.942706346512,369.942706346512,369.942706346512,30.815,30.815,30.815,8805,2205
-0.0369855697399866,-0.0797108166557073,-0.111512340472774,-0.0196307772214311,-0.0495966697127447,0.111609732750908,-0.159111766532895,0.275499919877219,-0.314802242083083,-0.173267558624401,-1.38394737805237,0.0382790688424905,-0.394851058513907,0.773351900616473,0.623618751451029,0.779559297703382,0,-0.147065579337331,-0.0614299271522866,-0.138079939785958,0.277530007554939,0.216580452976049,0.218186327880458,-0.299025231405004,0.342997431600498,0.0168090061885502,0.119567921524436,-0.884118474925043,-0.100813433387605,-0.261238531040644,0.618240827867753,0.48812125151885,0.731754259550698,-0.354632132121301,-7683.9805364382,-9245.71134013422,-7079.29191588503,-1901.70065666945,-2467.24456063332,-1778.11585514056,-0.804008167618969,-0.806401748363066,0.297706023458047,0.44753158282204,0.446461660826184,0.239071841390203,293.172123193741,293.172123193741,293.172123193741,0.0459999999999923,0.0459999999999923,0.0459999999999923,300.817318677902,300.817318677902,300.817318677902,27.753,27.753,27.753,8805,2205
-0.0319523259204518,-0.072957329260798,-0.0893933393460627,-0.0471089802108955,-0.190729132262945,0.0774099545132051,-0.3796173898934,0.221156396288002,-0.313775230198381,-0.12331969904532,-1.17630811575985,0.00186874517516602,-0.408102044645713,0.558879530721205,0.555370722300822,0.739842123535496,0,-0.153659252408784,-0.0879093701235455,-0.152203523495941,0.394728729820103,0.415909431700337,0.332931888416312,0.0360791944019045,0.303084630577976,-0.112961296936179,0.125999126316188,-0.945037160259672,-0.102532430532505,-0.264607484627407,0.673001107844794,0.554904657871317,0.716663238264815,-0.376977419799049,-7382.85156150329,-9078.31871117996,-6770.03631926889,-2257.73193472393,-2796.40342140668,-2091.75613468316,-0.76888544227926,-0.948642237951547,23.3788788014273,0.463529410794617,0.387266482382098,16.4526622554074,339.029458522797,339.029458522797,339.029458522797,0.0390000000000441,0.0390000000000441,0.0390000000000441,347.040930271149,347.040930271149,347.040930271149,29.669,29.669,29.669,8805,2205
-0.0338303241567609,-0.0856320469037793,-0.094500234809079,-0.0482171000044271,-0.192239512446964,0.0941596316297363,-0.392834172673121,0.265469121429524,-0.320367605253456,-0.195600026241339,-1.2428986046069,-0.0696810581395104,-0.45183191950128,0.721475871209715,0.581138187252878,0.767594077772135,0,-0.157710739232907,-0.102072667780901,-0.153028004608722,0.304974958701794,0.283268112946365,0.191362281547387,-0.163022181402176,0.312918881910793,-0.0865074976627125,0.0763672495213714,-0.904474876478631,-0.12231866169361,-0.217761721287447,0.685763294147018,0.53862241910808,0.725963010047861,-0.399099170864337,-7751.9498884955,-9606.83572750513,-7114.46337184184,-1870.36668012914,-2405.64899032753,-1742.55514526616,-0.808002654382946,-0.790274442297576,-2.19407844630271,0.445747489478856,0.453720258163904,-1.78862895994533,306.606380462646,306.606380462646,306.606380462646,0.0390000000000228,0.0390000000000228,0.0390000000000228,314.123383522034,314.123383522034,314.123383522034,28.714,28.714,28.714,8805,2205
