"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2","logLike"
-0.0331622861472567,-0.0767449033120332,-0.101205998331929,-0.0167606122096437,-0.0538283893058321,0.121173432346397,-0.218204405394138,0.261874144774268,-0.343672490642983,-0.169402567381522,-1.28339086783956,0.000221422849216157,-0.405206281151694,0.731461718950041,0.571546064962325,0.752986115079274,0,-0.150750169267994,-0.0883628871325005,-0.144604488704007,0.196418976523268,0.22327427569596,0.151928099797861,-0.27028179013289,0.343636106679222,-0.0381535474670035,0.12216517102442,-0.83717861354711,-0.0714905276639158,-0.183794741097454,0.665964656091124,0.484180754556388,0.738550718223733,-0.389738284635707,-8844.92122635432
-0.0331622861472567,-0.0767449033120332,-0.101205998331929,-0.0167606122096437,-0.0538283893058321,0.121173432346397,-0.218204405394138,0.261874144774268,-0.343672490642983,-0.169402567381522,-1.28339086783956,0.000221422849216157,-0.405206281151694,0.731461718950041,0.571546064962325,0.752986115079274,0,-0.150750169267994,-0.0883628871325005,-0.144604488704007,0.196418976523268,0.22327427569596,0.151928099797861,-0.27028179013289,0.343636106679222,-0.0381535474670035,0.12216517102442,-0.83717861354711,-0.0714905276639158,-0.183794741097454,0.665964656091124,0.484180754556388,0.738550718223733,-0.389738284635707,-8844.92122635432
-0.0331547149790128,-0.0767415853542892,-0.101208477424147,-0.0167607920620027,-0.0538281856721512,0.121173478977719,-0.21820463344244,0.261875127831812,-0.34367233657429,-0.169402555320895,-1.28339083193707,0.000221352604210967,-0.405206284714003,0.731461700640239,0.57154606776095,0.7529862014641,0,-0.150745051585254,-0.0883644553958971,-0.144603220475491,0.196419011494431,0.223274295435342,0.151928161330344,-0.270281710826116,0.343636320292025,-0.0381539601453496,0.122165046422773,-0.837178581011355,-0.0714904794819424,-0.183794616607565,0.665964590954423,0.484181090996668,0.738550939524603,-0.389738451598561,-8844.92120080623
-0.033154072694822,-0.0767107360804977,-0.101229322312098,-0.0167625921435676,-0.0538263283917869,0.121173842556244,-0.218206481261555,0.261883581610673,-0.343670702658603,-0.169402616045327,-1.28339029457743,0.000220727449024639,-0.4052063510542,0.731461351814593,0.571545769682733,0.752986325342062,0,-0.150694616572677,-0.0883791419906492,-0.14459088315061,0.19641934341169,0.223274454793521,0.151928830831742,-0.270281121736888,0.343638488406846,-0.038157955038021,0.122163891069312,-0.837178396077953,-0.0714899483055798,-0.183793441012307,0.665963990953858,0.484184280665961,0.738553097594314,-0.389739670786926,-8844.92108284466
-0.0331549217092574,-0.0766440956092035,-0.101233338981213,-0.0167691067430289,-0.0538206882726979,0.121173506469075,-0.218209074224987,0.261901511255761,-0.343664972023105,-0.169404240960062,-1.28339128191987,0.000220823375403747,-0.405206899875475,0.731460685655529,0.5715446493118,0.752988021230426,0,-0.150708012430822,-0.0884168683541266,-0.144534641200506,0.196419802608936,0.223273484857408,0.151932184529858,-0.270279154808495,0.343642924362803,-0.0381708431277837,0.122158188071157,-0.837174970467285,-0.0714885182617597,-0.183789520530021,0.665959443973661,0.484190279628893,0.73855355782327,-0.38973863769965,-8844.9210087616
-0.0331551449127083,-0.0766881573081477,-0.101237574009125,-0.0167980135122978,-0.0537974294271819,0.121173576719557,-0.218215939453582,0.261957409445839,-0.343635117879504,-0.169414521941199,-1.28338983493171,0.000219024996832369,-0.405208044259401,0.731457392779649,0.571532615294407,0.752986797365591,0,-0.150708527674277,-0.0885430716671633,-0.144501055303752,0.196422257926906,0.223269996890291,0.151943790688295,-0.270269581430056,0.343658156290353,-0.0382311167614488,0.12213166406506,-0.837162200776715,-0.0714754607626655,-0.183774499912794,0.665940412590219,0.484210052777696,0.738543188991689,-0.38973487603663,-8844.92099525066
-0.0331566642023868,-0.0766664893070229,-0.101247583120694,-0.0168354983278617,-0.0537690182198449,0.121173541780038,-0.218222272450146,0.261999409506072,-0.343597484765793,-0.169425533138429,-1.28338851062855,0.000215449648945415,-0.405210324498588,0.731453526251781,0.571519601420874,0.752993853691796,0,-0.150724516782464,-0.0885796589809701,-0.14455290232055,0.19642575523698,0.223265458603273,0.151957175505981,-0.270255313758587,0.343673862463826,-0.03831078230084,0.122097793967851,-0.837147434988862,-0.0714550681156531,-0.183756709846898,0.665916611567104,0.484233147313741,0.738523855569306,-0.389729862177423,-8844.92098029163
-0.0331560235914157,-0.0766612496593673,-0.10122950795928,-0.0168522196543783,-0.0537563823882254,0.121174030213361,-0.218225898227307,0.262012364977962,-0.343580737627678,-0.169429902099516,-1.28338821491117,0.000213382041654198,-0.405211438174484,0.731452126974924,0.571513854735862,0.752998676670972,0,-0.150720324106456,-0.0885820486641177,-0.144561087296898,0.196427413190109,0.223263451516897,0.151962933237198,-0.27024752660701,0.343679332455972,-0.0383479438208909,0.122082452970134,-0.837141139425835,-0.0714455690249197,-0.183748373478443,0.665905866797818,0.484244683969197,0.7385165914336,-0.389728344983071,-8844.92097077971
-0.0331558377915947,-0.0766743513035071,-0.101241185179096,-0.0169367256591313,-0.0536955509389177,0.121178177564847,-0.218245263643577,0.26203252643564,-0.34349523346568,-0.169450982571091,-1.28338810143142,0.000202677923628655,-0.405217353486223,0.731444008124928,0.571479676320143,0.753023950552585,0,-0.150716696210602,-0.0885380059003253,-0.144534752823194,0.196434828984355,0.223252384278508,0.151991642371233,-0.270197466934334,0.343694200906248,-0.0385439615463359,0.122003059575815,-0.837107866243721,-0.0713971374614232,-0.183703776999118,0.66584837632979,0.484308368524867,0.738483505591619,-0.389720973764606,-8844.92092937217
-0.0331551270553031,-0.0766698012966287,-0.101238383580887,-0.0169577863854123,-0.0536820203604228,0.121182454566182,-0.218258370778479,0.261980033645819,-0.343477600363631,-0.169451499785037,-1.28339269971019,0.00019795830395287,-0.405224782129912,0.731442801339387,0.571467662860178,0.753030776921397,0,-0.150713851074851,-0.0885531807151505,-0.144537835948965,0.196437805364603,0.223245436150427,0.151999698956251,-0.27016017792379,0.343672447172139,-0.0386210659887469,0.12197961907952,-0.837092579849733,-0.0713810507371807,-0.183688955927825,0.665823207793393,0.484327630802043,0.73847163752069,-0.389716471248114,-8844.92091606768
-0.0331550137197261,-0.0766662181077095,-0.10123568346683,-0.0169287372836867,-0.0536948870198193,0.121208451453992,-0.218358117328741,0.261982832624135,-0.343517521416106,-0.169423453921488,-1.28341326228164,0.000184052000460607,-0.405259619340591,0.73144947374587,0.571451290030723,0.752943261070802,0,-0.150712019862921,-0.0885487868810677,-0.144539344767952,0.196445332578362,0.223223413816513,0.152006500551152,-0.269998088855039,0.343608115154672,-0.0387934160624758,0.121967384237355,-0.837040217183978,-0.0713652254243603,-0.183668307575566,0.665752441435102,0.484339420041429,0.738439334966166,-0.389687757368768,-8844.92090299786
-0.0331553438410933,-0.0766651117755348,-0.101234216825537,-0.0168970977084656,-0.053751121001048,0.121192082117849,-0.218358222884241,0.261993128343777,-0.343495704304675,-0.169430897202799,-1.2834120919156,0.000171359102187914,-0.405257391013218,0.731453622486877,0.571450545264011,0.752955382924017,0,-0.150709154501821,-0.088548352704901,-0.144539839077084,0.196448895615906,0.223207984218555,0.151996675824074,-0.269797893641996,0.34361173880443,-0.038880067979123,0.121991233011312,-0.836987399032367,-0.0713686787918552,-0.183664266998638,0.66569390574327,0.484318754569854,0.738427191432294,-0.389664894730056,-8844.9208902311
-0.0331555959668206,-0.0766658160309282,-0.101234643385078,-0.01689741447428,-0.0537373896635255,0.121178025576148,-0.218398713453423,0.261978432994383,-0.343513446705371,-0.169447413615664,-1.28341229015687,0.000183600330201125,-0.405245239493347,0.73145180282007,0.571470779070964,0.75296488981515,0,-0.150708833956306,-0.0885499037377714,-0.144539938598621,0.196464541874944,0.223233123817788,0.152008344387862,-0.269726292311627,0.343661566635823,-0.0389022862126175,0.122012704637258,-0.836966185675843,-0.0713672822181227,-0.183660953938176,0.665675723676415,0.484302154272897,0.738420058793469,-0.389667407332264,-8844.92088747449
-0.0331574817540129,-0.076669649950714,-0.101236664063236,-0.0169940737136526,-0.0537000862885973,0.12112107035441,-0.218478224424735,0.261995528583937,-0.343499533136534,-0.169392355757539,-1.28347045635885,0.000226182971730472,-0.405243498023705,0.731425298035092,0.571516820291348,0.75299457122499,0,-0.150712968548474,-0.0885476842951531,-0.144546987033814,0.196560134640782,0.223407239490805,0.152130512785122,-0.269520415808075,0.343634013322519,-0.0388894926942852,0.122089993892738,-0.836913824495324,-0.071327291489499,-0.1836312261892,0.66565202364838,0.484265281254118,0.738490022002275,-0.389717083611621,-8844.92088724442
-0.0331592841130633,-0.0766690170326732,-0.101236369087668,-0.0170738145440057,-0.0538405692204667,0.121116422603313,-0.218608584592543,0.261998627455232,-0.34348657109425,-0.169369937721716,-1.28347655830432,0.000174795138774238,-0.405207311345622,0.73142733346435,0.571497236797501,0.753023835536742,0,-0.150722987464935,-0.0885507638007925,-0.144557275147322,0.196802027111714,0.223720865765052,0.15242854085008,-0.269273836963434,0.343647499613077,-0.0388717659891012,0.122160127845041,-0.836843122134743,-0.0712416187136134,-0.183544589571642,0.665655929231486,0.484277980426331,0.738535070679959,-0.389843413064703,-8844.92088222391
-0.0331593495415947,-0.0766674819795948,-0.101235092005779,-0.0170827840133095,-0.0538791224703495,0.121071652053375,-0.218632381280585,0.261998082666196,-0.343479097229543,-0.169397084019236,-1.28346105562142,0.000191416212897434,-0.405230645054075,0.731430379051827,0.571494366549302,0.75300773462935,0,-0.150724720375017,-0.0885505359034063,-0.14455894285969,0.196898564928283,0.223826769625589,0.152531518521809,-0.269184424739152,0.343640165746252,-0.0388620917048953,0.122169459507133,-0.836830052864743,-0.0712093007633706,-0.183516886654461,0.665668674764885,0.484295232336338,0.73852991480868,-0.389894539218672,-8844.92087859609
-0.0331594284262129,-0.0766673442565065,-0.10123509701162,-0.0170846047293579,-0.0538749571199793,0.121046534443525,-0.218631898440868,0.261998129651352,-0.343484540786269,-0.169387593511527,-1.28345069352843,0.000168357193887257,-0.405232307728685,0.731423759477771,0.571496673315587,0.753003745736514,0,-0.150725494213495,-0.0885507312914975,-0.14455853177788,0.196935792174666,0.223853798276893,0.152557542708901,-0.26915270505605,0.343639197419998,-0.0388610675032661,0.122164878047398,-0.836838368162637,-0.0712117459013431,-0.183514264805287,0.66568169152894,0.48430208607542,0.738517399918761,-0.389908594585302,-8844.92087753727
-0.0331598120627188,-0.0766663163525221,-0.101235114921802,-0.0171023814048962,-0.0538725081707123,0.121067664211464,-0.218634929079227,0.262007471296543,-0.343506165290213,-0.169390924012242,-1.28343131408591,0.000182724980810692,-0.405216976715544,0.731372344127864,0.571482556931467,0.753018380970442,0,-0.150727908929587,-0.0885510326509208,-0.144558623286921,0.197044343722754,0.223898777191167,0.15259561269171,-0.269060143332692,0.343624679299273,-0.038871651293411,0.122109509768546,-0.836907377695448,-0.071254837858932,-0.183552157582228,0.665744783190303,0.484299810561068,0.738501060418295,-0.389937134189301,-8844.92087569409
-0.0331598017700492,-0.0766658548361598,-0.101234993380965,-0.0170996657959931,-0.053873662356778,0.121072444930593,-0.218638595736241,0.262005215591745,-0.343495502582096,-0.169380450115668,-1.28342303456874,0.000187468233381433,-0.405220639252302,0.731371793895541,0.571485051064747,0.753013940985447,0,-0.150729216243527,-0.0885515540031257,-0.144559474914102,0.197063800263883,0.223911931100237,0.152602451456809,-0.269043745765848,0.343631869236063,-0.0388793952629813,0.122095932637784,-0.836925423839339,-0.0712712364863266,-0.183569222208196,0.665756916202184,0.484302228882028,0.738510125089761,-0.389944858999528,-8844.92087497864
