"mu_scalingFactor","sigma_scalingFactor","mu_wtp_Acceleration","sigma_wtp_Acceleration","mu_wtp_OpCost","sigma_wtp_OpCost","mu_wtp_hev","sigma_wtp_hev","mu_wtp_phev20","sigma_wtp_phev20","mu_wtp_phev40","sigma_wtp_phev40","mu_wtp_bev","sigma_wtp_bev","mu_wtp_bevRangeRel","sigma_wtp_bevRangeRel","mu_wtp_noBEVFC","sigma_wtp_noBEVFC","mu_wtp_american","sigma_wtp_american","mu_wtp_chinese","sigma_wtp_chinese","mu_wtp_japanese","sigma_wtp_japanese","mu_wtp_skorean","sigma_wtp_skorean","logLike"
0.123180987455236,0.0576503030808361,-1.35775607541818,1.37404319929758,-1.75522262968413,-1.34506988030135,1.3792176446245,-3.89698292253593,0.295776458884828,2.56881221212943,1.30280534319888,2.43874463804393,-3.86111751377275,14.2611626532161,4.84350627355917,5.61994114208436,-2.73859968952185,-1.22651551222698,-1.09346177510823,3.73668011308788,-20.900615903756,-19.3014426957614,-0.0687996120551712,-4.68281607328594,-3.67260712601232,4.52291647831439,-8327.34928254383
0.123180987455236,0.0576503030808361,-1.35775607541818,1.37404319929758,-1.75522262968413,-1.34506988030135,1.3792176446245,-3.89698292253593,0.295776458884828,2.56881221212943,1.30280534319888,2.43874463804393,-3.86111751377275,14.2611626532161,4.84350627355917,5.61994114208436,-2.73859968952185,-1.22651551222698,-1.09346177510823,3.73668011308788,-20.900615903756,-19.3014426957614,-0.0687996120551712,-4.68281607328594,-3.67260712601232,4.52291647831439,-8327.34928254383
0.124335108024353,0.0567657439682351,-1.35772903388981,1.37406040263696,-1.75524280196812,-1.34510618672914,1.37921381326587,-3.89698160448166,0.295777890402131,2.56880954663766,1.30280453184928,2.43874321380956,-3.86111810392392,14.261165106208,4.84349940949293,5.61994933427247,-2.73860450799393,-1.22651641389624,-1.09345839355978,3.73669073871477,-20.9006112521863,-19.3014415795713,-0.0687988789040706,-4.68281749805116,-3.67261754549096,4.52291778190523,-8326.72458387236
0.125469581213654,0.0577541420784143,-1.3575887909822,1.37416455030862,-1.75533666914379,-1.34531109807269,1.37919411011335,-3.89697441320025,0.295785892851018,2.56879671855297,1.30280041034023,2.43873665882778,-3.86112153160463,14.2611781638252,4.84346166213609,5.6199946816304,-2.73863121030299,-1.22652250770891,-1.09344026594092,3.73674673867114,-20.9005859146598,-19.3014361949718,-0.0687955727663346,-4.68282640582197,-3.67267292806757,4.52292592379858,-8326.60390402287
0.125348525403355,0.057196589020855,-1.26664525812852,1.4382896002178,-1.80840771472561,-1.4698321575686,1.36665094464566,-3.89242924336444,0.301035153574323,2.56086541221597,1.29950630536672,2.43470856928347,-3.86255014462444,14.2688834413906,4.8188131150992,5.64757841682373,-2.75469529679498,-1.23044371997779,-1.08202838667445,3.77181750535781,-20.8845952985841,-19.2979498004911,-0.0668664821299553,-4.68786241521903,-3.70676984539175,4.52780641183792,-8323.7087908316
0.126395109920034,0.0569371541629841,-1.20131748250081,1.72554090594987,-1.71668015118865,-1.43959024379275,1.30337623299085,-3.8565157725801,0.3303279286537,2.51685681424502,1.28172005373909,2.41819568397121,-3.87887269895151,14.3232541668681,4.683681794213,5.80413470973014,-2.84797232512756,-1.26362349562262,-1.02324655721155,3.98787774763902,-20.7906881995221,-19.2849652289415,-0.0476643074561058,-4.71567389798994,-3.90850784935233,4.55985648134379,-8320.85106580352
0.12614414940853,0.0565740569555101,-1.23159112636992,1.78605755076874,-1.77117416096141,-1.42215677240855,1.27578321409242,-3.83674494976731,0.341549809079822,2.49677284119726,1.27341070160023,2.41017494714851,-3.8863295640035,14.3480013404775,4.63288635486852,5.86232161059344,-2.88791252922617,-1.28014029019117,-1.00185620976693,4.09313190885909,-20.7457518133848,-19.2791942120873,-0.0376173760127633,-4.72791682918282,-3.99693327585522,4.57560947652099,-8319.51361369854
0.125980025078796,0.0553556148754294,-1.41777335754327,1.7355820878448,-1.71842764412946,-1.57809685413589,1.14340213654302,-3.72638929558837,0.389095338390471,2.39285168448923,1.22980752921838,2.3694573134456,-3.92534339695948,14.4815370264353,4.46224327109809,6.06616658290843,-3.07497543242519,-1.37523926061273,-0.921662502270587,4.66345530514573,-20.5135243042086,-19.2520259452763,0.0047509750558688,-4.79341070231378,-4.40713517898715,4.66424637135585,-8316.82888614256
0.126630471870789,0.0559797045765007,-1.25453419895061,1.51220154945022,-1.71994660186638,-1.51980876182207,0.982225563958275,-3.56676073930687,0.43836814433461,2.25238732907036,1.171735307081,2.31017939127468,-3.98388925926756,14.6631358528607,4.38436647019034,6.21954148996337,-3.29841703519649,-1.50803829355171,-0.859297507154887,5.45698062215595,-20.205924463566,-19.2180149287483,0.0254757233946455,-4.87591369753267,-4.86867490105048,4.79681635412488,-8313.29758003844
0.126756676555173,0.054384279117217,-1.29291242816958,1.79079431757882,-1.74499028817275,-1.57085165723356,0.70891215463547,-3.14792005227905,0.413581104570032,1.84230429206344,1.05607835332628,2.06280042181761,-4.18415746823203,15.0151113132156,5.03925540817526,5.76909937854385,-3.65807176920464,-1.85986219444608,-0.991751034006769,7.59389287508926,-19.4684605740694,-19.1087243354517,-0.196230537764711,-5.0444984470154,-5.35470880884108,5.17375260318968,-8308.5718707871
