"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2"
1,1,-9336.01250131243,NA,-0.065961032,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,-0.06530142168,-0.086724325,-0.123458989,0.078787462,0.017337116,0.133321046,-0.225292786,0.305755872,-0.261643415,-0.113318709,-1.203619405,-0.05776064,-0.392742187,0
1,2,-10041.83384346,NA,-0.132912054426738,-0.0317514846597768,-0.296309833138667,0.132786088475688,0.0422129712608777,0.298561928959281,-0.403804848689593,0.582043518948123,-0.0697289753289601,-0.0357137987946508,-0.19267666316203,-0.088615234118855,-0.879291385688933,0.0161034727754064,-0.14300643230027,-0.219085681403495,0.0448505584388168,0.0445819028584534,-0.0968963278223813,0.0742113348941331,0.199852991309441,-0.40901879834951,-0.156459617862327,-0.626120200083052,-0.129548362074685,-0.572308082491704,-0.411438444428943
1,3,-9514.9849992871,NA,-0.0712139533661922,-0.234805109101998,-0.273897049079491,0.114851146604367,0.0381744072562988,0.378571213963414,-0.370823364526657,0.227134972848306,-0.373269956840957,0.0891524688009366,-1.16545357121991,-0.108728817826955,-0.542250373874088,-0.0299624723483824,-0.0970688627563771,0.00586526524147778,0.191129935593897,0.020672750306152,0.0504392782720251,-0.190651426552813,0.629343808184064,-0.487523458800146,-0.0115171395524975,-1.5219504580417,-0.0285121492537339,-0.353570165570644,0.31192601720029
1,4,-9545.67770016178,NA,-0.0813290964109317,-0.0850170225917828,-0.271688291044229,0.224291546742349,0.0277198951181197,0.431341707455648,-0.369073102379234,0.173860428772547,-0.228024405738469,-0.149035340552226,-0.931048438553067,-0.0276163435266425,-0.590285913209914,-0.0440562393955509,-0.0780637282607297,-0.201727401215915,0.0959757444715244,0.0337021090202143,-0.00105971253718584,-0.262822318655547,-0.000399982881298278,-0.352756893328809,-0.21892063776043,-1.18147131991273,-0.0484970163280335,-0.244347778067525,0.248445438112449
1,5,-10067.8909089195,NA,-0.119868868325778,-0.112637238243265,0.172004990918167,-0.189186355726188,0.0313139797071506,-0.071663683817945,-0.249324755441883,0.420117241747908,-0.197547071821742,-0.170530928177282,-0.864594689040799,0.000910093078184897,-0.290098474826986,0.00662183290845868,0.00744485085009712,-0.225399439073841,0.144085190572459,0.0462963139127159,0.150599942831282,0.0315487990285536,0.268173850945952,-0.581733690849808,-0.0762506212467041,-2.22519719161509,-0.00124432398992742,-0.258966711873023,-0.362393592877076
1,6,-10142.4844831454,NA,-0.0150331234486085,-0.125035907847423,-0.356581028866325,0.0808707887999832,0.0309006254005847,-0.0532538010989543,-0.269500461194808,-0.137209704362502,-0.430794888604484,-0.0443790838185552,-1.93844873713301,-0.0209083487276567,-0.711581961994509,-0.131717494616134,0.0604026347388314,-0.352962593358962,0.0616107832310273,0.0250164051736542,-0.165708018034767,-0.196237410898384,0.152522383324248,-0.256450036097228,0.0192838301582185,-1.84172349106688,-0.0275634180492898,-0.252604282823492,0.974167328804263
1,7,-9546.27335693518,NA,-0.0768849661652772,-0.0354723896420691,-0.0562927682073148,0.10796401963052,0.0185786177913368,0.231726483651997,-0.0574577462969998,0.154006055417125,-0.0344897094090248,0.0681299810604298,-1.6982422303855,-0.130301785656572,-1.3695024135264,-0.111699396472288,-0.0255700033633223,-0.226505027683829,-0.0327153770901309,0.00350040127762792,0.114338037414419,-0.738329751476687,0.1431641699757,-0.944853944104429,-0.188270665191689,-1.45499687734375,0.0174994100972843,-0.238201900659664,0.0243714461139861
1,8,-9544.59892548381,NA,-0.00178923084774839,-0.185097531433486,-0.220358442049782,0.0156518250567884,-0.000126554478172395,0.20343364969201,-0.0384464571662388,0.776440620180598,-0.303334158763296,-0.276792064469876,-1.87471503022261,-0.0321885877326055,-0.02328686331162,-0.122737494794386,-0.0430189442287779,-0.0857939961226245,0.275003126649363,0.0355740339951453,0.345935654942174,-0.258698810632898,0.16875359039754,-0.0973447416537145,-0.173387458705918,-2.00591779801492,0.0792438172815093,-0.033052636033593,0.244916468545395
1,9,-12728.6537727531,NA,0.0472633207333241,-0.124774153224788,0.0491830334351064,0.0789696282619649,0.00768180766790008,0.156342663689968,-0.0480607777235375,0.837521445185013,-0.0774713260657001,-0.1836797675187,0.644691656313983,-0.0890116111213439,-0.309425480854696,-0.139698040242505,-0.0469450019352201,-0.115145765483664,0.0889403339528782,0.00224321282912058,-0.0735708974014849,0.0273353967508481,0.146179308271307,-0.146344146430437,-0.121412310246954,1.31967267315926,-0.038773772255293,-0.94669174002542,1.02048694176939
1,10,-10256.0181075998,NA,-0.0491253357788771,-0.0568129866068393,-0.0202182725856738,-0.00593229816861381,-0.0309705889812255,0.254414500826644,-0.362349033772183,0.383907160590111,-0.151277340273099,0.104522641184453,-1.61636152243747,-0.0211079770420123,-0.70606135101813,-0.0191963149437918,0.0289751709096559,-0.287995380957043,0.138986089280855,0.00553305544596435,0.0672569877021545,-0.39650979082303,-0.0663545517514517,-0.478897668007193,-0.175385080232819,1.99775943482175,-0.122201722333,-0.515551363786241,0.586027588327361
