"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2","logLike"
-0.19516153385721,-0.0981747900452565,-0.180179186427077,0.373706719153524,0.353662194202902,0.197894188650154,-0.062188612780049,0.37412008442133,-0.0599158250545419,0.0824175740257375,-1.05603949837714,-0.15623082296117,-0.314920395762044,0,-0.0413032616398812,-0.0966700322187608,-0.118046112153496,-0.0335358830965658,-0.0961839653764651,0.120795453090877,-0.323196881849939,0.317201665535604,-0.371754466112918,-0.172439979842097,-1.41670382856546,-0.0184416818584399,-0.455561357508567,0.593587153046205,-8907.05057532203
-0.19516153385721,-0.0981747900452565,-0.180179186427077,0.373706719153524,0.353662194202902,0.197894188650154,-0.062188612780049,0.37412008442133,-0.0599158250545419,0.0824175740257375,-1.05603949837714,-0.15623082296117,-0.314920395762044,0,-0.0413032616398812,-0.0966700322187608,-0.118046112153496,-0.0335358830965658,-0.0961839653764651,0.120795453090877,-0.323196881849939,0.317201665535604,-0.371754466112918,-0.172439979842097,-1.41670382856546,-0.0184416818584399,-0.455561357508567,0.593587153046205,-8907.05057532203
-0.195163892478197,-0.0981757108904522,-0.180179444300984,0.373706694552638,0.353662176233033,0.197894216408223,-0.0621878961040448,0.374118957916827,-0.0599154447769082,0.0824175022906161,-1.05603969105847,-0.156230943604696,-0.314920352180804,0,-0.0412846780385405,-0.0966743467661655,-0.118050293936211,-0.0335361772268613,-0.0961842958842204,0.120794928430305,-0.323195524833785,0.317199814038386,-0.371753718484408,-0.172440785254517,-1.41670421830999,-0.0184409105696799,-0.455560847222958,0.593586993664316,-8907.05049987292
-0.195192089551256,-0.0982015092840372,-0.18018504524591,0.373706317942195,0.353661887059206,0.197895545714069,-0.0621693783743937,0.374089478084606,-0.059905865620455,0.0824159649324704,-1.05604619310079,-0.156234054878092,-0.314919170996646,0,-0.0412902250433019,-0.0967903123457626,-0.118152988326628,-0.0335452309705195,-0.0961940201037158,0.120780169672759,-0.323156142309758,0.317144079584791,-0.371731698993939,-0.172464294965499,-1.416713431267,-0.0184193027837011,-0.455546848800886,0.593580501538306,-8907.05022701969
-0.195203437292766,-0.0982192479070575,-0.180168648926854,0.373707436781992,0.353661950236978,0.197897298465098,-0.0621493760768613,0.374057613612174,-0.0598955718072331,0.0824149563014517,-1.05605520934058,-0.156237669793679,-0.314918130307856,0,-0.0412900458778587,-0.096845424238543,-0.118112439535319,-0.0335544932520355,-0.0962026858238425,0.120764647976334,-0.323116983368522,0.317096264131076,-0.371710509814925,-0.172489463258426,-1.41672498083748,-0.0183957121727385,-0.455531244235005,0.593574561740452,-8907.05012158385
-0.195043851405283,-0.0982710088376433,-0.180152168392191,0.373719170362724,0.353666519504114,0.197912137128642,-0.0620299195086187,0.373877033917573,-0.0598355107271414,0.0824116896575002,-1.05611631463291,-0.156262681687776,-0.314913563768148,0,-0.0412761658221033,-0.0967957851685625,-0.118101855169929,-0.0336070000850613,-0.0962497447263505,0.120673423795047,-0.322899082216248,0.316878057128994,-0.371593967000879,-0.172639077719729,-1.41679191627165,-0.0182540028752307,-0.455436200915691,0.593540975542107,-8907.05004573997
-0.195074543726008,-0.0982719265300571,-0.180147442067217,0.373722875671912,0.353668938438624,0.197918444856617,-0.0620000867710321,0.373835038752001,-0.0598208640073077,0.0824100139648129,-1.05613109781968,-0.156270944690287,-0.314912596819132,0,-0.0412779052241949,-0.0967567192617845,-0.118107327822489,-0.0336180011811231,-0.0962602438503516,0.120652373527367,-0.32285309300834,0.31684439433126,-0.371570872724192,-0.172677412848829,-1.41680919927546,-0.0182167741959262,-0.455412065684476,0.593526915834659,-8907.04998791451
-0.195075787744963,-0.0982460921761802,-0.180180812101727,0.373739519604847,0.353682828827536,0.19794144555805,-0.06194583223191,0.373778519272191,-0.0597978363709162,0.0824066925332628,-1.05616634475501,-0.15629535053896,-0.314911980854056,0,-0.0412786287026402,-0.0967640908409209,-0.118102077994496,-0.0336233711295811,-0.0962681792304952,0.120628243901569,-0.322823793575125,0.316918478946376,-0.371562674528742,-0.172746061923111,-1.41683227195837,-0.0181509476814558,-0.455365568634084,0.593490108307936,-8907.04993437026
-0.195068040918942,-0.0982598951226235,-0.180121273756602,0.373762507059189,0.353703735102022,0.197973338291676,-0.0618984145954485,0.373745582239711,-0.0597824064585256,0.0824034148396327,-1.05620304738993,-0.156325550358445,-0.314913216006697,0,-0.0412786108368285,-0.0967644742092533,-0.118113292978963,-0.0336198863841551,-0.096269866746345,0.120622221113989,-0.322835522849659,0.316957565692934,-0.371584752219372,-0.172774130076977,-1.41684176865852,-0.0181183764797318,-0.455338165584869,0.593453786527033,-8907.04991346968
-0.195065741966903,-0.0982982312829171,-0.180159416350874,0.373910632656316,0.353831181985391,0.198160727600092,-0.0616878751091594,0.373666385343736,-0.0597432021796177,0.0823903410265332,-1.05640182694663,-0.156483345387604,-0.314939536266137,0,-0.04127822310787,-0.096758855036329,-0.118107253395199,-0.0336079933133839,-0.096272386990723,0.120633088943016,-0.322945660358619,0.316906989817251,-0.371739754406756,-0.172779302668874,-1.41683261837598,-0.0180679814954785,-0.455276344649579,0.593265146116409,-8907.04985647367
