"model_name","cores","inter_draws","intra_draws","batch_number","sys_elapsed_seconds","proc_user_seconds","proc_system_seconds","proc_elapsed_seconds","proc_total_cpu_seconds","timestamp"
"LCL4_CNL_pref",1,0,0,1,0.214959001541138,0.202999999999975,0.0120000000000005,0.214000000001397,0.214999999999975,"2025-11-14 13:53:27.269"
"LCL4_CNL_pref",1,0,0,2,0.230128502845764,0.215000000000009,0.0129999999999995,0.230999999999767,0.228000000000009,"2025-11-14 13:53:29.419"
"LCL4_CNL_pref",1,0,0,3,0.208184218406677,0.198000000000002,0.00900000000000034,0.207999999998719,0.207000000000002,"2025-11-14 13:53:31.721"
"LCL4_CNL_pref",1,0,0,4,0.22243971824646,0.209000000000015,0.0110000000000014,0.222000000000116,0.220000000000016,"2025-11-14 13:53:33.804"
"LCL4_CNL_pref",1,0,0,5,0.217835712432861,0.205999999999995,0.0109999999999985,0.219000000000233,0.216999999999993,"2025-11-14 13:53:36.029"
"LCL4_CNL_pref",1,0,0,6,0.238725805282593,0.232999999999993,0.00600000000000023,0.239000000001397,0.238999999999993,"2025-11-14 13:53:38.208"
"LCL4_CNL_pref",1,0,0,7,0.264520597457886,0.257999999999993,0.00699999999999932,0.263999999998487,0.264999999999992,"2025-11-14 13:53:40.596"
"LCL4_CNL_pref",1,0,0,8,0.234057116508484,0.220000000000027,0.0140000000000015,0.233999999999651,0.234000000000029,"2025-11-14 13:53:43.242"
"LCL4_CNL_pref",1,0,0,9,0.211774492263794,0.207999999999993,0.0039999999999992,0.213000000000466,0.211999999999992,"2025-11-14 13:53:45.584"
"LCL4_CNL_pref",1,0,0,10,0.202371501922607,0.194000000000005,0.00999999999999943,0.201000000000931,0.204000000000005,"2025-11-14 13:53:47.702"
"LCL4_CNL_pref",1,0,0,11,0.24587709903717,0.233999999999969,0.0110000000000014,0.247000000000116,0.24499999999997,"2025-11-14 13:53:49.726"
"LCL4_CNL_pref",1,0,0,12,0.218080806732178,0.2,0.0180000000000007,0.217999999999302,0.218000000000001,"2025-11-14 13:53:52.186"
"LCL4_CNL_pref",1,0,0,13,0.211101603507996,0.197000000000025,0.0129999999999995,0.210000000000582,0.210000000000025,"2025-11-14 13:53:54.367"
"LCL4_CNL_pref",1,0,0,14,0.213299894332886,0.202999999999975,0.0109999999999985,0.213000000000466,0.213999999999973,"2025-11-14 13:53:56.479"
"LCL4_CNL_pref",1,0,0,15,0.225997710227966,0.213000000000011,0.0140000000000015,0.226000000000931,0.227000000000012,"2025-11-14 13:53:58.613"
"LCL4_CNL_pref",1,0,0,16,0.246168112754822,0.234999999999991,0.0109999999999985,0.244999999998254,0.245999999999989,"2025-11-14 13:54:00.873"
"LCL4_CNL_pref",1,0,0,17,0.205040717124939,0.196000000000004,0.00900000000000034,0.207000000000698,0.205000000000004,"2025-11-14 13:54:03.336"
"LCL4_CNL_pref",1,0,0,18,0.211344504356384,0.201000000000022,0.00999999999999943,0.211000000001513,0.211000000000021,"2025-11-14 13:54:05.387"
"LCL4_CNL_pref",1,0,0,19,0.229575395584106,0.215999999999985,0.0140000000000015,0.228999999997905,0.229999999999987,"2025-11-14 13:54:07.501"
"LCL4_CNL_pref",1,0,0,20,0.251163911819458,0.232999999999993,0.0169999999999987,0.252000000001863,0.249999999999991,"2025-11-14 13:54:09.798"
"LCL4_CNL_pref",1,0,0,21,0.265370011329651,0.255999999999995,0.00800000000000125,0.263999999998487,0.263999999999996,"2025-11-14 13:54:12.311"
"LCL4_CNL_pref",1,0,0,22,0.212979006767273,0.188000000000011,0.025,0.211999999999534,0.213000000000011,"2025-11-14 13:54:14.966"
"LCL4_CNL_pref",1,0,0,23,0.208693695068359,0.20300000000002,0.00600000000000023,0.210000000000582,0.20900000000002,"2025-11-14 13:54:17.096"
"LCL4_CNL_pref",1,0,0,24,0.213036322593689,0.2,0.0109999999999985,0.211999999999534,0.210999999999999,"2025-11-14 13:54:19.184"
"LCL4_CNL_pref",1,0,0,25,0.224631309509277,0.216999999999962,0.00800000000000125,0.225,0.224999999999963,"2025-11-14 13:54:21.315"
"LCL4_CNL_pref",1,0,0,26,0.210240793228149,0.197000000000025,0.0150000000000006,0.211000000001513,0.212000000000026,"2025-11-14 13:54:23.562"
"LCL4_CNL_pref",1,0,0,27,0.211358714103699,0.203999999999996,0.00699999999999932,0.210999999998603,0.210999999999996,"2025-11-14 13:54:25.665"
"LCL4_CNL_pref",1,0,0,28,0.216471290588379,0.201999999999998,0.0139999999999986,0.217000000001281,0.215999999999997,"2025-11-14 13:54:27.779"
"LCL4_CNL_pref",1,0,0,29,0.209661722183228,0.205000000000018,0.00600000000000023,0.210000000000582,0.211000000000018,"2025-11-14 13:54:29.944"
"LCL4_CNL_pref",1,0,0,30,0.246684312820435,0.238999999999987,0.00800000000000125,0.247000000000116,0.246999999999989,"2025-11-14 13:54:32.041"
"LCL4_CNL_pref",1,0,0,31,0.205686497688293,0.19699999999998,0.00699999999999932,0.205999999999767,0.203999999999979,"2025-11-14 13:54:34.509"
"LCL4_CNL_pref",1,0,0,32,0.221235013008118,0.2,0.0210000000000008,0.222000000000116,0.221000000000001,"2025-11-14 13:54:36.566"
"LCL4_CNL_pref",1,0,0,33,0.242618894577026,0.239000000000033,0.00300000000000011,0.24199999999837,0.242000000000033,"2025-11-14 13:54:38.779"
"LCL4_CNL_pref",1,0,0,34,0.260029888153076,0.248000000000002,0.0109999999999985,0.258999999999651,0.259,"2025-11-14 13:54:41.206"
