"model_name","model_label","param_class","b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean"
"MXL100_none_pref","MXL (Pref, 100 dr.)","mu","-0.124***","-0.137***","-0.191***","0.09","0.04","0.199*","-0.24","0.485***","-0.4***","-0.143","-2.114***","-0.072","-0.525***"
"MXL100_none_pref","MXL (Pref, 100 dr.)","sigma","0.086***","-0.18***","-0.153***","0.46***","-0.186","0.147","-1.491***","-0.537***","0.227","0.855***","-2.12***","0.741***","-0.107"
"MXL500_none_pref","MXL (Pref, 500 dr.)","mu","-0.122***","-0.16***","-0.211***","0.107","0.007","0.2","-0.444***","0.558***","-0.439***","-0.107","-2.246***","-0.056","-0.647***"
"MXL500_none_pref","MXL (Pref, 500 dr.)","sigma","0.099***","-0.253***","-0.187***","0.46","0.124","0.253","-1.677***","-0.67***","-0.522***","0.764***","-2.171***","0.834***","-0.846***"
"MXL1k_none_pref","MXL (Pref, 1k dr.)","mu","-0.137***","-0.171***","-0.225***","0.075","0.026","0.198","-0.427**","0.587***","-0.515***","-0.127","-2.331***","-0.036","-0.643***"
"MXL1k_none_pref","MXL (Pref, 1k dr.)","sigma","0.111***","-0.248***","-0.201***","0.713***","0.342","-0.014","-1.704***","-0.757***","0.643***","0.955***","-2.237***","0.891***","-0.891***"
