"model_name","model_label","param_class","scalingFactor","wtp_Acceleration","wtp_OpCost","wtp_hev","wtp_phev20","wtp_phev40","wtp_bev","wtp_bevRangeRel","wtp_noBEVFC","wtp_american","wtp_chinese","wtp_japanese","wtp_skorean"
"MXL100_none_wtp","MXL (WTP, 100 dr.)","mu","0.123***","-1.358***","-1.755***","1.377","0.295","1.302","-3.858***","4.844***","-2.738***","-1.096","-20.898***","-0.071","-3.673***"
"MXL100_none_wtp","MXL (WTP, 100 dr.)","sigma","0.058***","1.374***","-1.345***","-3.897*","2.569*","2.441**","14.263***","5.621***","-1.226","3.734**","-19.302***","-4.682***","4.522***"
"MXL500_none_wtp","MXL (WTP, 500 dr.)","mu","0.132***","-1.184***","-1.703***","0.345","0.129","0.702","-5.324***","5.021***","-3.474***","-1.299","-18.925***","-0.053","-4.779***"
"MXL500_none_wtp","MXL (WTP, 500 dr.)","sigma","0.059***","1.727***","-1.547***","5.85***","-1.765","-0.956","14.923***","6.038***","-4.127*","7.023***","-19.071***","-4.458**","5.344*"
"MXL1k_none_wtp","MXL (WTP, 1k dr.)","mu","0.136***","-1.148***","-1.795***","1.056","0.075","0.77","-4.22***","5.015***","-3.218***","-1.113","-19.408***","-0.272","-4.832***"
"MXL1k_none_wtp","MXL (WTP, 1k dr.)","sigma","0.064***","2.012***","-1.561***","-6.278***","3.98*","3.946***","14.968***","6.261***","3.384","7.239***","-19.058***","-6.32***","7.01***"
