"stage","candidate","LL","gradNorm","mu_b_Price","sigma_b_Price","mu_b_Acceleration","sigma_b_Acceleration","mu_b_OpCost","sigma_b_OpCost","mu_b_hev","sigma_b_hev","mu_b_phev20","sigma_b_phev20","mu_b_phev40","sigma_b_phev40","mu_b_bev","sigma_b_bev","mu_b_bevRangeRel","sigma_b_bevRangeRel","mu_b_noBEVFC","sigma_b_noBEVFC","mu_b_american","sigma_b_american","mu_b_chinese","sigma_b_chinese","mu_b_japanese","sigma_b_japanese","mu_b_skorean","sigma_b_skorean"
3,89,-8155.49609880624,408.734658334256,-0.124576554350737,0.0838869108363635,-0.148803184006678,-0.178867267349712,-0.182143567425261,-0.166900941236561,0.153747184287616,-0.240348276040999,-0.0287951153702821,0.382576221572323,0.227847012702657,0.248384746558818,-0.587041232388909,1.48390350928837,0.486372029466186,-0.557354693781575,-0.36167064643701,-0.269361033952905,-0.208142744371052,0.583311549203356,-2.06816538351554,2.03388461370383,-0.0477651285181552,0.648130471394356,-0.567605678946639,-0.407032986286852
3,90,-8162.40801406049,76.9246084610784,-0.112147309618636,-0.0860344465060547,-0.144315257716944,0.135125520217723,-0.19888305587161,0.159336312520801,0.135475478618477,-0.477933305297346,0.0318375754156233,0.085302137361704,0.14607123322681,0.180839954532868,-0.487360085040982,-1.31599347759631,0.504394361392642,0.547681909829246,-0.369752981405455,0.187814021354978,-0.153666101048587,-0.464795367918136,-2.02773497678167,1.79333986791617,0.0355419242314879,-0.435187507008931,-0.544676431940331,0.723936949002116
3,91,-8217.8313202478,330.919590072397,-0.111501730518201,-0.0732044259613606,-0.125585529027837,-0.205099724600739,-0.179244141001869,-0.127154309457101,0.166264116029953,0.477044667523222,0.0265830353787614,-0.0622041857421574,0.19014752088597,0.0159312240227127,-0.389601009102922,-1.34163515618416,0.48647868743147,0.545357008132047,-0.394034768671981,-0.301268214028559,-0.115752331362091,0.531266249354823,-1.73534365086597,1.78944565545372,0.0363077069551692,-0.686763272563489,-0.440611981536023,-0.387341832353276
3,92,-8189.27080465904,59.3657403640577,-0.116705783913801,-0.0855386096386518,-0.133181178498857,0.161718145127215,-0.191583108434495,0.151234759194592,0.0783820364419855,-0.276430015433404,0.0022429555582182,0.258516592788103,0.190705406450543,0.109856961386387,-0.424140963855606,-1.50643315512701,0.476867073645168,-0.457495118079121,-0.39534525748218,0.384548330812734,-0.122405529083174,0.138449816419928,-1.92388065616514,1.8698724491105,-0.0755975137250728,-0.755136890262553,-0.51020777907015,0.679971717372365
3,93,-8164.92620645528,204.366742970004,-0.121211644885775,-0.0780832268522221,-0.153715238112241,-0.162440338434769,-0.178178507297459,0.142252059193275,-0.00961532493233865,-0.492063468123788,0.0384728574402373,0.216044922723357,0.0852607067331425,-0.170473007048177,-0.394097155750882,1.53607424179,0.523042078885386,-0.486530576600207,-0.4394861084256,-0.28066960604378,-0.107264805658955,-0.73215258689015,-1.94302400793361,-1.74499901086935,-0.0647497345542119,0.613756148222368,-0.534000194107342,0.494588100237141
3,94,-8165.5949801815,329.77941042474,-0.115560052573364,-0.0752207357807841,-0.152901578425385,0.133973493842428,-0.184194170693859,-0.141170055647714,0.0557354493941603,-0.210506619822299,0.0185686291403933,0.0170630801437794,0.174813796037405,-0.0993721896158754,-0.468122766351764,-1.38749444985311,0.532413900024657,-0.482897112136581,-0.375111715132,-0.0918840558477794,-0.118453503387666,-0.638581687576062,-2.01212999674487,-1.93967537788755,-0.131304753222997,0.677549003054455,-0.548657450388213,0.635006797035313
3,95,-8151.84374047084,200.917966663459,-0.121271828369796,0.0818034175016953,-0.142371219330005,0.143947092123524,-0.186955795339513,-0.173554909227894,0.1611356829606,0.298231601291505,0.0295491955031278,-0.0113394688106464,0.0820985163397378,0.150739348692151,-0.400401159155372,1.5178981678574,0.509807180018603,-0.510929335061144,-0.369434345314769,-0.282095449235365,-0.156704424763086,-0.498513471383754,-1.94675127372131,1.8693401677298,-0.0254427095717044,0.65753730109023,-0.557405417204922,-0.600538374904911
3,96,-8108.59488603411,654.088232636219,-0.130311108516652,0.0928054108434135,-0.121980946961217,-0.164384065192568,-0.192710191642529,-0.153361294491317,0.127553039259115,0.427395659374776,0.00255428551102943,-0.211518742205164,0.150372773948064,0.0825133746271133,-0.262351947755353,-1.459146508436,0.451196670418956,-0.549614445837939,-0.38745779428616,0.187190169230115,-0.0796133034509991,0.860900084915047,-2.08254309350252,-2.16512155414652,-0.0346923653434661,0.790925162695495,-0.459788494540435,-0.0684316991286987
3,97,-8159.4012218534,243.362836978022,-0.11790675246261,0.0782291458901596,-0.138057755060989,0.109341600691049,-0.177020556774651,-0.167371524112541,0.171587973991814,-0.254577318813921,0.0159279300339504,-0.25097044724233,0.197681226910519,0.00396272947759693,-0.371260887021155,-1.46679427439205,0.505108503949638,-0.505776364767392,-0.30268625514791,-0.262375849189742,-0.250158956745821,0.565647666621118,-2.13054779670328,1.75509058273984,-0.113508616584136,0.707146832002893,-0.587026336478086,-0.61206377757651
3,98,-8301.80319527821,2648.03145793116,-0.094418872345539,0.0646936477118516,-0.10418104715461,0.206775700671777,-0.179487203946505,-0.145349410225529,0.428768655753782,-0.179650446615454,0.346886790699207,-0.0556605604164346,0.392582124889865,0.349138637977707,-0.600187648280121,1.84746297040453,0.453392873493529,0.673037612662107,-0.302600169878671,-0.333139285860033,-0.289141308924567,-0.333709252362608,-2.06301425248548,-1.72873812673657,-0.303799822647346,-0.534414883680413,-0.499235347317657,-0.617579035966381
3,99,-8214.42745083196,1998.10243288709,-0.100216060759433,0.0673120274874518,-0.185240990217381,-0.14604611979462,-0.153290508592867,-0.121572747931303,0.018166356927771,0.357421333917151,-0.0693083704195315,-0.156858545378783,0.175904060401762,-0.21839419724441,-0.600674976977507,-1.25583772644305,0.347639799197548,-0.505783252219654,-0.504339921795242,-0.420748794398229,-0.275886982023149,-0.667820210328909,-2.36911134442304,-2.29189062818666,-0.022224235744785,0.746712491037789,-0.595949305275312,-0.513038794664939
