"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.116340337050449,NA,NA,NA,NA
"sigma_b_Price",0.0787706931724744,NA,NA,NA,NA
"mu_b_Acceleration",-0.13696647725519,NA,NA,NA,NA
"sigma_b_Acceleration",-0.101906430886081,NA,NA,NA,NA
"mu_b_OpCost",-0.191825395406608,NA,NA,NA,NA
"sigma_b_OpCost",-0.144220281495267,NA,NA,NA,NA
"mu_b_hev",0.141084431190558,NA,NA,NA,NA
"sigma_b_hev",-0.445814709565531,NA,NA,NA,NA
"mu_b_phev20",0.00651290324965908,NA,NA,NA,NA
"sigma_b_phev20",-0.234782999374549,NA,NA,NA,NA
"mu_b_phev40",0.19594772997624,NA,NA,NA,NA
"sigma_b_phev40",-0.234912225977327,NA,NA,NA,NA
"mu_b_bev",-0.30215620397198,NA,NA,NA,NA
"sigma_b_bev",-1.55094312437789,NA,NA,NA,NA
"mu_b_bevRangeRel",0.498248243539288,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.552692554133537,NA,NA,NA,NA
"mu_b_noBEVFC",-0.359039554221069,NA,NA,NA,NA
"sigma_b_noBEVFC",-0.133977561654976,NA,NA,NA,NA
"mu_b_american",-0.137321477635397,NA,NA,NA,NA
"sigma_b_american",0.507873228804786,NA,NA,NA,NA
"mu_b_chinese",-2.12810987990226,NA,NA,NA,NA
"sigma_b_chinese",-1.82298248101891,NA,NA,NA,NA
"mu_b_japanese",-0.0199817393778386,NA,NA,NA,NA
"sigma_b_japanese",0.705204163577372,NA,NA,NA,NA
"mu_b_skorean",-0.578235904497236,NA,NA,NA,NA
"sigma_b_skorean",0.350888946920335,NA,NA,NA,NA
