"mu_b_Price","sigma_b_Price","mu_b_Acceleration","sigma_b_Acceleration","mu_b_OpCost","sigma_b_OpCost","mu_b_hev","sigma_b_hev","mu_b_phev20","sigma_b_phev20","mu_b_phev40","sigma_b_phev40","mu_b_bev","sigma_b_bev","mu_b_bevRangeRel","sigma_b_bevRangeRel","mu_b_noBEVFC","sigma_b_noBEVFC","mu_b_american","sigma_b_american","mu_b_chinese","sigma_b_chinese","mu_b_japanese","sigma_b_japanese","mu_b_skorean","sigma_b_skorean","logLike"
-0.12427203355465,0.0857380103548801,-0.137363874037632,-0.179990401508865,-0.19080810677142,-0.15260723189658,0.0910032022911457,0.460282498009767,0.0403546415674783,-0.183409001965614,0.198607078290197,0.14653938089788,-0.239919993365051,-1.49083729347871,0.485778169984174,-0.53705204867381,-0.399058697348865,0.225661965842964,-0.143756119160637,0.853651717217179,-2.11516162083351,-2.12043368372298,-0.0722488731315235,0.743088204604626,-0.524247853069548,-0.111068853089259,-8100.44618407003
-0.12427203355465,0.0857380103548801,-0.137363874037632,-0.179990401508865,-0.19080810677142,-0.15260723189658,0.0910032022911457,0.460282498009767,0.0403546415674783,-0.183409001965614,0.198607078290197,0.14653938089788,-0.239919993365051,-1.49083729347871,0.485778169984174,-0.53705204867381,-0.399058697348865,0.225661965842964,-0.143756119160637,0.853651717217179,-2.11516162083351,-2.12043368372298,-0.0722488731315235,0.743088204604626,-0.524247853069548,-0.111068853089259,-8100.44618407003
-0.124250821809898,0.085751817281898,-0.137366543103357,-0.179993787087613,-0.190822346460756,-0.15260042401005,0.0909982624514361,0.460282598743945,0.0403549751672245,-0.183412614088578,0.198612215104632,0.146540249612295,-0.239922031832261,-1.49083824359072,0.485773863420533,-0.537055553974074,-0.399065334198004,0.225664050003187,-0.143754811548817,0.853654932235838,-2.11515937493748,-2.12043373557436,-0.0722473491851116,0.743081566928938,-0.524251274574065,-0.111066252918122,-8100.44617186768
-0.124225497004431,0.0857177644842245,-0.137388187982875,-0.180022380228274,-0.190940546625452,-0.152545801463274,0.0909550930139919,0.460283521057166,0.0403577364299487,-0.18344406099284,0.198657138400636,0.146548113685089,-0.239939884028605,-1.49084630595456,0.485736700496897,-0.53708587616485,-0.399123418042507,0.225682230108076,-0.143743133594845,0.853682156370444,-2.11513973814714,-2.12043379211009,-0.0722344225885043,0.743023050631535,-0.524280902827226,-0.111043415866379,-8100.44602274373
-0.124290433082285,0.0857766031299586,-0.137416053810677,-0.180067379202093,-0.191045393629239,-0.15247318895508,0.0908795213512003,0.460285346822239,0.0403623210316337,-0.18349945020706,0.198735581406824,0.146562078417794,-0.239970711993673,-1.49086090489378,0.485671773452028,-0.537136581479655,-0.399225046011915,0.225714431966551,-0.143722588308,0.853729911901034,-2.11510465339347,-2.12043327855421,-0.0722120807292624,0.742920740419473,-0.524333003635032,-0.111002397309891,-8100.44594079235
-0.124287559950216,0.0857668567787815,-0.137497447796869,-0.180276364257807,-0.190943696667995,-0.15234265754115,0.0905147256258414,0.460297222223466,0.0403847896639962,-0.183768183544339,0.199114942861558,0.146633404879035,-0.240122202336151,-1.49094572056674,0.485386079202997,-0.537381294434854,-0.399720725106608,0.225882746980097,-0.143619151530786,0.853970829033188,-2.11493672506386,-2.12043495421959,-0.072103250791921,0.742426360133898,-0.524588113727234,-0.110796690443158,-8100.44508623101
-0.124292538163899,0.0857766012596726,-0.137281705215795,-0.180159700415033,-0.191012647160104,-0.152594156533029,0.090145273221769,0.460310819544762,0.0403981565362823,-0.184067786430801,0.199482920077441,0.146730403701569,-0.240265551110311,-1.49103591126925,0.485222344042909,-0.537536143213401,-0.400205225816499,0.226082354711263,-0.143525315894751,0.8542475416703,-2.11476105924476,-2.12043112853016,-0.0719888759647233,0.741911062547531,-0.524825826615728,-0.110558829220221,-8100.44457300857
-0.124292022898633,0.0857757892026317,-0.137392803694922,-0.179964177866488,-0.191002931402801,-0.152589162803102,0.0900079288781061,0.46032182765032,0.0403920552620225,-0.184217457427462,0.199585832378073,0.146794059768965,-0.240288844330581,-1.49107076696615,0.485319880555811,-0.537485947955936,-0.400337811212442,0.226177085475289,-0.143509370997971,0.854383099420822,-2.11468898790312,-2.12042410390806,-0.0719344998530527,0.741700015998551,-0.524881288560598,-0.110427682662945,-8100.44436829354
-0.124291735159771,0.0857746607770695,-0.137336861043914,-0.17998144947201,-0.190992919926751,-0.152532943150219,0.0899126432380251,0.460334308994361,0.0403785789066747,-0.184355184706695,0.199612154277956,0.146857810810193,-0.240262662387568,-1.49109246825867,0.485471685848218,-0.537389820599933,-0.400372570564698,0.226257143939315,-0.143519051869045,0.854494215353802,-2.1146335324539,-2.12041516209219,-0.0718916396542593,0.741551670722862,-0.524880342341695,-0.110298138015566,-8100.44422592825
-0.124297165725612,0.0857806042655858,-0.13739801728625,-0.180076694729156,-0.191014728481074,-0.152618500453867,0.0898227661266066,0.46035180825189,0.0403511551212901,-0.184519291188235,0.199593695507302,0.146938053536865,-0.240187256931353,-1.49110858167023,0.485563891302266,-0.537317433734296,-0.400350281940162,0.226349479913675,-0.143542675582338,0.854620238713124,-2.11457322552016,-2.12039924191082,-0.0718466817785662,0.741417292266648,-0.524844414818239,-0.110132032342446,-8100.4441228429
-0.124293783087257,0.0857740824328241,-0.137367775390648,-0.180022066801652,-0.191000655516664,-0.152577902531183,0.0895955731095093,0.460437496236652,0.0402061110731615,-0.185160319487158,0.199323590267346,0.147265753649847,-0.239756372503208,-1.49116483997177,0.485384831617919,-0.537363172135599,-0.4000608778873,0.2266800676043,-0.143629586583893,0.8550747539066,-2.11437951500562,-2.12031287101976,-0.0716861844080689,0.741101057227079,-0.524627990341155,-0.109442540400326,-8100.44389288304
