"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.112022285423269,NA,NA,NA,NA
"sigma_b_Price",0.0845992805532661,NA,NA,NA,NA
"mu_b_Acceleration",-0.151825777677196,NA,NA,NA,NA
"sigma_b_Acceleration",-0.155286428394421,NA,NA,NA,NA
"mu_b_OpCost",-0.185345670835496,NA,NA,NA,NA
"sigma_b_OpCost",-0.154479462367686,NA,NA,NA,NA
"mu_b_hev",0.209409058044513,NA,NA,NA,NA
"sigma_b_hev",0.534794924606829,NA,NA,NA,NA
"mu_b_phev20",-0.0104875208458864,NA,NA,NA,NA
"sigma_b_phev20",0.00849024290227292,NA,NA,NA,NA
"mu_b_phev40",0.175504025393413,NA,NA,NA,NA
"sigma_b_phev40",-0.630985078785194,NA,NA,NA,NA
"mu_b_bev",-0.425788013453743,NA,NA,NA,NA
"sigma_b_bev",-1.29760585723568,NA,NA,NA,NA
"mu_b_bevRangeRel",0.473487704163504,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.491365704912237,NA,NA,NA,NA
"mu_b_noBEVFC",-0.359105224106403,NA,NA,NA,NA
"sigma_b_noBEVFC",0.417869246426058,NA,NA,NA,NA
"mu_b_american",-0.153824011388419,NA,NA,NA,NA
"sigma_b_american",0.780421535005592,NA,NA,NA,NA
"mu_b_chinese",-2.09179954442872,NA,NA,NA,NA
"sigma_b_chinese",-1.90630246626661,NA,NA,NA,NA
"mu_b_japanese",-0.105918874334778,NA,NA,NA,NA
"sigma_b_japanese",0.626560249215526,NA,NA,NA,NA
"mu_b_skorean",-0.632329410893145,NA,NA,NA,NA
"sigma_b_skorean",0.653117550292243,NA,NA,NA,NA
