"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.117299277681127,NA,NA,NA,NA
"sigma_b_Price",0.0757009206015597,NA,NA,NA,NA
"mu_b_Acceleration",-0.150637517442503,NA,NA,NA,NA
"sigma_b_Acceleration",-0.171419587286062,NA,NA,NA,NA
"mu_b_OpCost",-0.172434209116915,NA,NA,NA,NA
"sigma_b_OpCost",-0.122961890846048,NA,NA,NA,NA
"mu_b_hev",0.172541664045574,NA,NA,NA,NA
"sigma_b_hev",-0.576643167189979,NA,NA,NA,NA
"mu_b_phev20",0.0498862428925274,NA,NA,NA,NA
"sigma_b_phev20",0.0513647373884233,NA,NA,NA,NA
"mu_b_phev40",0.210561468029586,NA,NA,NA,NA
"sigma_b_phev40",-0.281333463660722,NA,NA,NA,NA
"mu_b_bev",-0.222856796689808,NA,NA,NA,NA
"sigma_b_bev",-1.4571830491856,NA,NA,NA,NA
"mu_b_bevRangeRel",0.480167983769914,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.611151857465138,NA,NA,NA,NA
"mu_b_noBEVFC",-0.385726663830623,NA,NA,NA,NA
"sigma_b_noBEVFC",-0.0261656172450386,NA,NA,NA,NA
"mu_b_american",-0.229168493762198,NA,NA,NA,NA
"sigma_b_american",0.75262694611466,NA,NA,NA,NA
"mu_b_chinese",-1.93463906271081,NA,NA,NA,NA
"sigma_b_chinese",-1.81186160258558,NA,NA,NA,NA
"mu_b_japanese",-0.0907753284462664,NA,NA,NA,NA
"sigma_b_japanese",-0.492731282647513,NA,NA,NA,NA
"mu_b_skorean",-0.629146671411298,NA,NA,NA,NA
"sigma_b_skorean",-0.591281433846206,NA,NA,NA,NA
