"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.105134090883534,NA,NA,NA,NA
"sigma_b_Price",0.0903743823722784,NA,NA,NA,NA
"mu_b_Acceleration",-0.163545476718949,NA,NA,NA,NA
"sigma_b_Acceleration",-0.203406871596528,NA,NA,NA,NA
"mu_b_OpCost",-0.198329172786903,NA,NA,NA,NA
"sigma_b_OpCost",-0.159889063507398,NA,NA,NA,NA
"mu_b_hev",0.159673419953624,NA,NA,NA,NA
"sigma_b_hev",-0.26596906035295,NA,NA,NA,NA
"mu_b_phev20",0.0162676965088223,NA,NA,NA,NA
"sigma_b_phev20",-0.0526601123364029,NA,NA,NA,NA
"mu_b_phev40",0.134821176363076,NA,NA,NA,NA
"sigma_b_phev40",0.0175698102125467,NA,NA,NA,NA
"mu_b_bev",-0.400252333757392,NA,NA,NA,NA
"sigma_b_bev",-1.62353703579741,NA,NA,NA,NA
"mu_b_bevRangeRel",0.536247608239855,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.497590125338381,NA,NA,NA,NA
"mu_b_noBEVFC",-0.54037249687567,NA,NA,NA,NA
"sigma_b_noBEVFC",-0.514441216945698,NA,NA,NA,NA
"mu_b_american",-0.202866496882586,NA,NA,NA,NA
"sigma_b_american",0.539265056754033,NA,NA,NA,NA
"mu_b_chinese",-2.12052854372421,NA,NA,NA,NA
"sigma_b_chinese",-1.94307765150817,NA,NA,NA,NA
"mu_b_japanese",-0.0820461352987691,NA,NA,NA,NA
"sigma_b_japanese",-0.615022866776393,NA,NA,NA,NA
"mu_b_skorean",-0.530412183749226,NA,NA,NA,NA
"sigma_b_skorean",-0.486781867540835,NA,NA,NA,NA
