"b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","class_intercept_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","class_intercept_4","b_Price_5","b_Acceleration_5","b_OpCost_5","b_hev_5","b_phev20_5","b_phev40_5","b_bev_5","b_bevRangeRel_5","b_noBEVFC_5","b_american_5","b_chinese_5","b_japanese_5","b_skorean_5","class_intercept_5","b_Price_6","b_Acceleration_6","b_OpCost_6","b_hev_6","b_phev20_6","b_phev40_6","b_bev_6","b_bevRangeRel_6","b_noBEVFC_6","b_american_6","b_chinese_6","b_japanese_6","b_skorean_6","class_intercept_6","logLike"
-0.0226529084630447,-0.208920734204513,-0.107275779046593,0.575439405739763,0.256970523338947,0.487777407394785,0.589196204633578,0.0450637087926472,-0.517882698100069,0.163550446530193,-0.0621950725729054,0.293431003326511,-0.515435404842019,0,-0.130469045919018,-0.0679074804814519,-0.195553119322343,0.390391046743438,0.262474849651998,0.478544013708668,-0.566263853349226,0.823902276125038,-0.0804366075086883,0.128673937934795,-0.824110920600118,-0.06451489395914,-0.111210870526144,0.565263012644124,-0.0767796525305346,-0.0928565419176679,-0.212602845007155,0.265707559722401,0.247433833019581,0.294726737630084,0.374605656870257,0.177996170888941,-0.509772967702262,-0.495115607977693,-4.84332375142166,0.0250596496283175,-0.668564560932631,0.467787490743895,-0.0535916887266637,-0.0996523874868038,-0.0595190647020568,-0.786958566910675,-0.923613555500146,-0.706832408021743,-2.97376594785675,0.392990152769335,-0.658214659852721,-0.365507922788523,-2.00784715861941,-0.399461293909445,-0.628702247153392,-0.0344148391223667,-0.399868279583788,-0.149807201050872,-0.266368719881438,-0.551158073670732,0.0634756146074532,-0.532346293198672,0.159799742025407,-0.125439570629119,-0.314630940281335,0.0448775400372511,-0.518826017996184,-0.0286464690388142,-0.307798019476139,-0.136207991901594,-0.050272271092359,-0.387528686021399,-0.140223503618066,-1.3828812820461,-0.879223556052318,-0.294569076234526,1.24124087505232,2.19276541506037,-0.416895423115963,-1.26934613792717,-2.58282084147293,-0.877214332357982,-1.13085678702305,-1.08550419195173,-8056.60552184229
-0.0226529084630447,-0.208920734204513,-0.107275779046593,0.575439405739763,0.256970523338947,0.487777407394785,0.589196204633578,0.0450637087926472,-0.517882698100069,0.163550446530193,-0.0621950725729054,0.293431003326511,-0.515435404842019,0,-0.130469045919018,-0.0679074804814519,-0.195553119322343,0.390391046743438,0.262474849651998,0.478544013708668,-0.566263853349226,0.823902276125038,-0.0804366075086883,0.128673937934795,-0.824110920600118,-0.06451489395914,-0.111210870526144,0.565263012644124,-0.0767796525305346,-0.0928565419176679,-0.212602845007155,0.265707559722401,0.247433833019581,0.294726737630084,0.374605656870257,0.177996170888941,-0.509772967702262,-0.495115607977693,-4.84332375142166,0.0250596496283175,-0.668564560932631,0.467787490743895,-0.0535916887266637,-0.0996523874868038,-0.0595190647020568,-0.786958566910675,-0.923613555500146,-0.706832408021743,-2.97376594785675,0.392990152769335,-0.658214659852721,-0.365507922788523,-2.00784715861941,-0.399461293909445,-0.628702247153392,-0.0344148391223667,-0.399868279583788,-0.149807201050872,-0.266368719881438,-0.551158073670732,0.0634756146074532,-0.532346293198672,0.159799742025407,-0.125439570629119,-0.314630940281335,0.0448775400372511,-0.518826017996184,-0.0286464690388142,-0.307798019476139,-0.136207991901594,-0.050272271092359,-0.387528686021399,-0.140223503618066,-1.3828812820461,-0.879223556052318,-0.294569076234526,1.24124087505232,2.19276541506037,-0.416895423115963,-1.26934613792717,-2.58282084147293,-0.877214332357982,-1.13085678702305,-1.08550419195173,-8056.60552184229
-0.0226153641725096,-0.208920412304506,-0.107266669454528,0.575439227764019,0.256970792654153,0.487777759283379,0.589196707093749,0.0450662088931742,-0.517882342393053,0.16354885168685,-0.0621941225074639,0.293430627176965,-0.51543428528751,0,-0.130492089156179,-0.0679064150251435,-0.195553577288577,0.390390652491309,0.262474235433118,0.478544849954849,-0.566263410051322,0.823899234518642,-0.080436240241631,0.128673678619666,-0.824110388267776,-0.0645154442776494,-0.111211174928927,0.565261562283837,-0.0767777702228375,-0.0928578326841902,-0.212606456792514,0.26570867974257,0.247434684469603,0.29472807796625,0.374603229808703,0.178001070588647,-0.509773110671919,-0.49511490969531,-4.84332372106054,0.0250597511541196,-0.668565065034257,0.467786871530798,-0.0535228878302575,-0.0996539244950149,-0.0595164488381338,-0.786959095075349,-0.923613704185795,-0.706832689001764,-2.97376590453861,0.392990137390871,-0.658214827479143,-0.365507425788231,-2.00784738690986,-0.399460883254397,-0.628701934531687,-0.034414485103373,-0.399869906348212,-0.149806960513534,-0.266370565332044,-0.551157983425575,0.0634756779955959,-0.532346187551767,0.159799394479105,-0.125438975653692,-0.314630879815217,0.0448773917474142,-0.518825918053631,-0.0286464078392795,-0.3077981173465,-0.136207180056064,-0.0502396312047095,-0.387531455588471,-0.140221003401123,-1.38288123513073,-0.879224190294632,-0.294569350148137,1.2412407601504,2.19276565438699,-0.416896221154636,-1.2693469638706,-2.58282109155633,-0.877214824492114,-1.13085735972822,-1.08550389753738,-8056.60517999617
-0.0226374965098511,-0.208920174092056,-0.107255336435032,0.575438979621444,0.256971056986978,0.48777815782167,0.589197396606084,0.0450689974625952,-0.517881855792696,0.163546901273937,-0.0621929559869425,0.293430054515579,-0.515432882130962,0,-0.130500879588556,-0.0679058275382348,-0.195553819802066,0.390390286261599,0.262473427624265,0.478545870558698,-0.566263218952422,0.823895492179226,-0.0804360993941956,0.128673471672792,-0.824109902672125,-0.0645160695940434,-0.111211611566997,0.565260310397042,-0.0767841722774422,-0.0928592297061927,-0.212610314861299,0.265710001261781,0.247435720649899,0.294729678624035,0.374600334391616,0.178006883916381,-0.509773237861698,-0.495114069873264,-4.84332358655844,0.0250598381723778,-0.668565657166685,0.467786208707203,-0.0535070822281992,-0.0996551714546212,-0.0595132298961185,-0.786959910247353,-0.923613868066889,-0.706833012168155,-2.97376542486789,0.392989987857467,-0.658214822423807,-0.36550697998947,-2.00784744274678,-0.39946041733845,-0.628701539830511,-0.0344143197152476,-0.399871452676983,-0.149806741391179,-0.2663726707313,-0.551157891630252,0.0634757412661076,-0.532346094096285,0.159799049486987,-0.125438356251886,-0.314630785119613,0.0448772130063876,-0.518825765991463,-0.028646328313036,-0.307798238077376,-0.136206230804582,-0.0502125105256434,-0.387534769149564,-0.14021776262168,-1.38288117993941,-0.879224921971884,-0.294569629143312,1.24124051867869,2.19276587309809,-0.416897230354931,-1.26934795398175,-2.58282134619421,-0.877215408904161,-1.13085805606214,-1.08550358637771,-8056.60510635835
-0.0226221949764102,-0.208918179985158,-0.107194765716778,0.575437551631809,0.256972657674856,0.487780519446064,0.589201793480893,0.0450867713327474,-0.517878782663536,0.163535016292701,-0.0621859219036802,0.293426877067267,-0.515424164384154,0,-0.130507222592014,-0.0679023094768918,-0.195554162001006,0.390388389803425,0.262468566540798,0.478552453276275,-0.566263760478991,0.823874627905963,-0.0804362421752839,0.128672293290161,-0.824107712032836,-0.0645202753203787,-0.111213942078621,0.565252678249058,-0.076787114547208,-0.0928677692699646,-0.21263555701718,0.265718125667413,0.247442274645255,0.294739504945501,0.374582498228644,0.178043452021172,-0.509773931611329,-0.495108848533855,-4.84332290685412,0.0250601931760163,-0.668569211629816,0.467782253499972,-0.0535439045544071,-0.0996614046656547,-0.0594945584719299,-0.786965427571437,-0.923614825659327,-0.706834958224918,-2.973761366888,0.392988958863792,-0.658214315170223,-0.365504488020896,-2.00784732428457,-0.399457481799911,-0.628699229098287,-0.0344136845354812,-0.399883244532013,-0.149804926399657,-0.266385456763488,-0.551157358452375,0.0634761346187705,-0.532345566246333,0.159796967569515,-0.125434773243071,-0.314630098166292,0.0448760282766651,-0.518824781097547,-0.0286458225838176,-0.307799003904057,-0.136200659276279,-0.0501008146286568,-0.387555054095525,-0.140196440772719,-1.38288090540517,-0.879229358874883,-0.294571184362387,1.24123868923186,2.1927666898433,-0.416903664118817,-1.26935403047063,-2.58282274526013,-0.877219016210475,-1.13086238243344,-1.08550186472145,-8056.60506472237
-0.0226234417971498,-0.208915243546113,-0.107143808071939,0.57543608318708,0.256974348425822,0.487783013052884,0.589206288878373,0.0451051073771876,-0.517875523478634,0.163522413880202,-0.0621788145183415,0.293423857678129,-0.515414992945528,0,-0.130484251686908,-0.0679000489387764,-0.195559714162666,0.390386277561365,0.262463174512181,0.47855904585918,-0.566263326395508,0.823854477913426,-0.0804360150690835,0.12867102962265,-0.824105408986505,-0.064524648539029,-0.111216474305963,0.565244687476988,-0.0767739832198009,-0.0928762801225689,-0.212660275320483,0.26572638584463,0.247449054859196,0.29474962752542,0.374564568266144,0.178081987753011,-0.509774100500467,-0.495103461228244,-4.84332214293532,0.025060267274652,-0.668573068068363,0.467778400041784,-0.0535384977900303,-0.0996679728920865,-0.0594783250739336,-0.786971208909398,-0.92361578057222,-0.706836987328284,-2.97375733022736,0.392988061286426,-0.658213868965077,-0.365501726305711,-2.00784729528865,-0.399454262115772,-0.628696982051298,-0.0344126416175323,-0.39989546975873,-0.149803091242373,-0.266398177879298,-0.551156843352681,0.0634765313214155,-0.532345072355427,0.159794896474173,-0.125431250576627,-0.314629323837552,0.0448747465205802,-0.518823697027366,-0.0286452825446777,-0.307799822222634,-0.136194959404897,-0.0500974239587671,-0.387576003208934,-0.140172035291873,-1.38288066693147,-0.879233788031944,-0.294572521784801,1.24123605229411,2.19276664632234,-0.416910785829522,-1.26936024193011,-2.58282396522487,-0.877222856127122,-1.13086684066322,-1.08550055706852,-8056.60500068809
-0.0226089807791134,-0.208903469396271,-0.106954318308707,0.575429483968676,0.256981279475015,0.487793099550701,0.589226382213251,0.0451801515798838,-0.517860991753493,0.163468780119502,-0.0621486336584552,0.29341163333436,-0.515376471949457,0,-0.130469130462372,-0.0678896191664112,-0.195578541332964,0.390376836737588,0.262440005472518,0.478586709421778,-0.566260233522175,0.823767136887664,-0.0804345286435878,0.128665292029766,-0.824095135016158,-0.0645427759985387,-0.111227304765717,0.565212199157487,-0.0768393587440331,-0.0929105474492066,-0.21274784715043,0.265761025740284,0.247477447482014,0.294792022106303,0.374490061889217,0.178241672976503,-0.509773803821369,-0.495081070558234,-4.84331869126233,0.0250603737043123,-0.668589292192313,0.467761974515396,-0.0535347198764464,-0.0996942539503027,-0.059412753920423,-0.786995587205206,-0.923619892049351,-0.706845793627034,-2.97374040786057,0.392983423146868,-0.658212207294934,-0.365490214240922,-2.00784719270035,-0.399440616810949,-0.628687360545273,-0.0344088327273123,-0.399943914525501,-0.149796167615533,-0.266450568158536,-0.551154628426699,0.0634782416000549,-0.532342864810766,0.159785933733191,-0.125416129945932,-0.314626201046852,0.0448693718958804,-0.518819340576944,-0.0286429932274773,-0.307803252713365,-0.136170506592197,-0.0501289029707712,-0.387663878267125,-0.140070048933872,-1.38287975986728,-0.87925257977816,-0.294578163498787,1.24122479149902,2.19276620370122,-0.416941006111953,-1.26938641447876,-2.58282906625298,-0.87723921877507,-1.13088571646694,-1.08549539046441,-8056.60492743593
-0.0226123021197317,-0.208896308752377,-0.106875660737654,0.57542399864789,0.256985916218253,0.487799351876672,0.589242155564696,0.0452286792119159,-0.517849501796466,0.163430991744901,-0.0621289146367948,0.29340460400046,-0.515349766228084,0,-0.130536071199482,-0.0678814008031227,-0.195585823323217,0.390369713081623,0.262423450358702,0.478605896273751,-0.566257128311976,0.823705642625853,-0.0804333447098829,0.128660595923977,-0.824085555281153,-0.0645556613544933,-0.111235542892352,0.565190368152143,-0.0768139418071705,-0.0929323087025117,-0.212796140043884,0.265784555676312,0.247496791412727,0.294820971708191,0.374440985646566,0.178347870226933,-0.509772307079242,-0.495065563167474,-4.84331670372136,0.025060035136381,-0.668600262568757,0.467750862420583,-0.0535484282340587,-0.0997094595278508,-0.0593774944901235,-0.787012728732786,-0.923622915207259,-0.706852320530501,-2.97372834758188,0.392979299558609,-0.658211115820668,-0.365482385993596,-2.00784728391204,-0.399430738359722,-0.62868072390516,-0.0344067217550798,-0.399974187250089,-0.149792525296863,-0.266483498087181,-0.551153105709619,0.063479461938371,-0.53234122031931,0.159779497172698,-0.125405607460982,-0.314624240994749,0.0448656361868588,-0.518816305986492,-0.0286414911887368,-0.307805678335299,-0.136153275458404,-0.0501589620913869,-0.387723336713403,-0.140004823616432,-1.38287926349715,-0.879265961828331,-0.294582336327351,1.24121713097581,2.19276582185328,-0.416962165366066,-1.26940469970858,-2.58283271253268,-0.87725076809817,-1.13089904749037,-1.08549205727961,-8056.60490666354
-0.0226146421289822,-0.208878505306349,-0.106973926282413,0.575406276058004,0.256996299408481,0.48781231650991,0.589288299437854,0.0453366499383813,-0.517815598461667,0.163337557189346,-0.0620852127758389,0.293392997196648,-0.515284555417068,0,-0.130534826345185,-0.0678676247263012,-0.195613456451509,0.390353612897518,0.262381861087324,0.478651484868325,-0.566248365217095,0.823560979964491,-0.0804307453826615,0.128649196065339,-0.824058757103108,-0.0645887824065078,-0.111257713198177,0.565137267847068,-0.0768175792575588,-0.0929742305676276,-0.212821939839746,0.265838379515651,0.247542516000055,0.294890100995486,0.37433475188972,0.17857637474635,-0.509760773048878,-0.495028749963534,-4.84331214159706,0.0250570702418056,-0.668625211004916,0.467724421495744,-0.0535484896379525,-0.0997314803623547,-0.059360516772709,-0.787055958179938,-0.923630125545742,-0.706869085673513,-2.97369823983298,0.392969952571823,-0.658208545933014,-0.365463174188692,-2.0078465370611,-0.399404552262009,-0.628664812118812,-0.0344006483429535,-0.400037107967472,-0.149787361239866,-0.266543263961534,-0.5511500125006,0.0634823644647897,-0.532337634725868,0.159764554548131,-0.125384033252868,-0.314618996873928,0.0448558238137217,-0.518808583261915,-0.0286376804130805,-0.307811929863087,-0.136112507856598,-0.0501503977601827,-0.387856930254974,-0.139882331198278,-1.38287841370157,-0.879300827414174,-0.294593620518919,1.24119868297655,2.1927663089609,-0.417015324221078,-1.26945046382277,-2.58284213800914,-0.87727999092535,-1.13093319966167,-1.08548395977305,-8056.60471089569
-0.0226148807257925,-0.20887437536662,-0.106963026916796,0.575391561396659,0.257005234387044,0.48782526334671,0.589330500764411,0.0453961380472227,-0.517788944750282,0.163258746129576,-0.0620508787884672,0.293385379359193,-0.515230910007704,0,-0.13052615226078,-0.0678707362868091,-0.195522708722073,0.39034235911496,0.26234723109957,0.478687473551151,-0.566241587577928,0.823467115727681,-0.0804304984564683,0.128638995239613,-0.824034018830268,-0.0646202674011258,-0.111275794941355,0.565090313368831,-0.0768110320644068,-0.0929671000764982,-0.212706030721327,0.265874961248052,0.247575101230558,0.294940938290273,0.374280424164139,0.178676909256372,-0.509731869745266,-0.494996889752147,-4.84331120259621,0.0250537518716514,-0.668646267314927,0.467706934686498,-0.0535454474521497,-0.0997282054179203,-0.0593969321450042,-0.78709396375328,-0.923636481986988,-0.706883516443105,-2.97367457410296,0.392963176373114,-0.658206942402937,-0.365448223292893,-2.00784293453668,-0.399381094692958,-0.628649004038518,-0.0343962180315877,-0.400059618436235,-0.149790986987458,-0.26654349932204,-0.551148806227118,0.0634844450198084,-0.532335396962439,0.159753761112666,-0.125374839203482,-0.314613546377668,0.0448460199029712,-0.518802137076161,-0.0286336962533249,-0.307818172590434,-0.13608221233011,-0.050150382536907,-0.387935473502143,-0.13984950972357,-1.38288026368098,-0.879334134371913,-0.294605509003629,1.2411843899832,2.19276922478835,-0.417063266210574,-1.26948987366747,-2.5828497688673,-0.877307716206472,-1.13096600930049,-1.08547844279402,-8056.60463733323
