"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","class_intercept_4","b_Price_5","b_Acceleration_5","b_OpCost_5","b_hev_5","b_phev20_5","b_phev40_5","b_bev_5","b_bevRangeRel_5","b_noBEVFC_5","b_american_5","b_chinese_5","b_japanese_5","b_skorean_5","class_intercept_5","b_Price_6","b_Acceleration_6","b_OpCost_6","b_hev_6","b_phev20_6","b_phev40_6","b_bev_6","b_bevRangeRel_6","b_noBEVFC_6","b_american_6","b_chinese_6","b_japanese_6","b_skorean_6","class_intercept_6"
5,87,-8072.64676479984,137.382873289054,-0.0347142701495721,-0.185936209125928,-0.136114373969167,0.144527867920488,0.158215479733913,0.656529440391991,1.15390290362578,0.604349241277183,-0.308136385841477,0.124900354462874,0.00124435737406314,0.353447342998325,-0.210441959639346,-0.167411612198131,-0.200651058124732,-0.220279603112265,0.319703272456262,0.280839681429711,0.167547909581592,0.0341814010292992,0.47664498669258,-0.23348577367141,0.0853272483741326,-0.919973896504021,-0.179492595840791,-0.327156978790882,0.495663082856898,-0.0888719820083599,-0.098970889903474,-0.266464724073468,0.345843086030869,0.405026061071169,0.362599319050672,0.60578797520647,0.304702247923029,-0.655364927572672,-0.17310250593847,-5.29183483020607,0.249121040252963,-0.41971194872215,0.397338619976898,-0.103973629141935,0.0192998259094292,-0.130032702203472,-0.134989732814655,-0.204432417308538,0.0920716136301234,-2.42742995791948,0.968178307005788,-0.0481014278128509,0.329459444568002,-0.933867919670865,0.174710653902,0.248714176806129,0.133602805358814,-0.02085274559841,-0.139174360642146,-0.00955476619681257,-0.0570787415050775,-0.633256031968015,-0.315554105495965,-1.36578660086846,0.0647803548130282,-0.409513940653879,-0.707537045511989,-1.90975153602884,-0.619196420979752,-1.33743293214608,0.0699791365353093,-1.13590316220914,-0.0299541782323774,-0.5010362693484,-0.514890313158487,0.424567454196316,-0.966486148637625,0.222814027689694,-0.40100605372707,0.242176690016618,0.273102736607528,-0.717254518713582,0.918431690941819,-0.18711602413887,-0.74197777938673
5,88,-8067.3140717582,203.40112954441,-0.0513562191090405,-0.0532095798548518,0.0398746198519361,0.0755850321634848,-0.670114264257701,-0.0758481609633526,-0.964237979671882,0.113085553718638,0.177309587291268,-1.25309223699043,-3.85419588338831,-0.262862093062741,-2.42512242251758,-0.128689015317277,-0.110270269418188,-0.176938977842301,0.365235395166754,0.247942709168875,0.37966947200391,-0.328819366742945,0.760392871898442,-0.0688533504474287,0.0404201265916377,-1.03102712149521,-0.107094937048069,-0.198320657126632,1.2262264586779,-0.021611413376147,-0.185214645927907,-0.120212906660263,0.421706280718343,0.335875799650991,0.643769826472529,0.904021577913764,0.329946340738337,-0.527321013404937,0.280062334935673,-0.0926157951709243,0.220661919587773,-0.41677443189599,0.531090809569061,-0.0907369900315261,-0.139054820536738,-0.356032119567981,0.381197273345763,0.549765292114156,0.385327343911523,0.866263238683561,0.285025216945701,-0.820344847522176,-0.398191761009172,-6.46103985310565,0.175537878064499,-0.231092529428493,0.500944841253552,-0.0539487620005201,-0.112118284868529,-0.0978064467820482,-0.845776794133404,-0.639757074986476,-0.559445784001884,-3.24197986483646,0.537255739825495,-0.504511350509592,-0.172956978828534,-1.5402801200117,-0.274784507475552,-0.167326457055056,0.275546915012754,-0.49850568325076,-0.0951218284153718,-0.32616446243158,-0.700961817674044,-0.108882012720075,-0.514183256242179,-0.07731873931668,-0.240478635874018,-0.220616614828347,-0.0198185434186556,-0.555859940515297,-0.0723733652119031,-0.394023850360803,0.17931505924217
5,89,-8085.20494030178,233.982973977805,-0.0199074044405384,-0.17568318595259,-0.0426643496558205,0.252448962787947,0.157415388495493,0.541412134615955,0.665817085753039,0.431496759152343,-0.287862673078147,-0.0534861722727468,-0.386806995384553,0.222550969360444,-0.662708697247925,-0.0789335411717855,-0.0948196501237311,-0.224992973460542,0.222916600908143,0.194094332599281,0.22771225861331,0.397360832183838,0.246438899361011,-0.511520573432794,-0.500563641891121,-5.1157359470464,-0.0438356164035794,-0.713888757998085,0.322092995957491,-0.139105625678645,-0.0267927854687461,-0.123555565764828,0.331896583154128,0.129477326261148,0.475920790909865,-1.02311096356077,0.817381644774999,0.0849956723662292,0.292473748743453,-1.30848873664432,-0.069790312175338,-0.106702951416712,0.31844530728305,-0.0464523267609466,-0.138588038494785,-0.0689267246381414,-0.859522934826367,-0.94551549149384,-0.745002559074187,-3.00903354570327,0.385547444098597,-0.783378787772077,-0.459136822704091,-1.9359250772191,-0.477699947960013,-0.690416636386417,-0.197957395198744,-0.108185436771973,-0.334561150243957,-0.413973444449027,0.483878104669233,0.380606118971394,0.346527400948428,0.792196900509932,0.21364284555671,-0.592349651770304,0.0715401737379785,0.062710579162677,0.0528468641624734,-0.0930351544913727,-0.317971774438781,-0.517968743008113,-0.0704512096956034,-0.28627751778409,-0.933123426290522,-0.174690753723695,-0.620720681458805,-0.293742241345918,-0.253804789840956,-0.169409862223555,-0.0314948108105142,-0.762616646419131,-0.111122755459963,-0.444558515347599,-0.441933950467034
5,90,-8072.5233115057,271.951528949174,-0.22848836070251,-0.150988833631382,-0.143975136166742,1.03564394344825,0.531070268561451,1.04185969277148,0.0879865666887186,0.548421425942784,-0.0714486356692486,0.135112367242951,-3.53535827291253,0.0308476845420089,-0.405495633776388,-0.0537498340226255,-0.189501040638992,-0.174657007440726,0.226540547185361,0.220793111029546,0.459166054899883,0.921452628739224,0.593072772853832,-0.310348408870664,0.0957412957062371,0.0266902977175808,0.241946808418522,-0.281530613553112,0.40509988122426,-0.108681358055872,-0.0217838635887477,-0.132997849793898,-0.268972003207885,-0.290393907884624,-0.0453834208924778,-2.4016827471236,0.947032489868902,-0.0687929841188583,0.310789123364632,-0.809649202990769,0.137242553309386,0.240132559243504,0.232279763762091,-0.0788314043431138,-0.122729270836561,-0.344332683258313,0.258373970954638,0.483494494456662,0.362947950078215,0.748733875643085,0.31374234506966,-0.774199342606698,-0.329157386888717,-5.42935952898797,0.277756464766407,-0.292945664402207,0.136106886973727,-0.0200288629337673,-0.128522649120931,-0.0216682609030429,-0.121825922832272,-0.679925917915966,-0.346626268705941,-1.27617062314746,0.071311840220535,-0.468813026577389,-0.573465492370524,-1.95039957538705,-0.515637334029996,-1.34285797560376,0.11173019505523,-0.483811611184348,-0.0592770890310785,-0.327326599312476,-0.725842836396915,-0.0816559873081783,-0.573485564985496,-0.0247865319488342,-0.174494320924627,-0.2637275171498,-0.0511960530849541,-0.478410287868275,-0.0692227176412936,-0.430114944206365,-0.242339488672621
5,91,-8073.9638359995,450.209600357837,-0.133145061847632,-0.0758446474990179,-0.165468498250513,0.283725947007688,0.122294102626279,0.325543317908355,-0.785809103502871,0.813611751304608,-0.0525795569403062,0.109802968361413,-1.25503627673806,-0.195202505147845,-0.198549482714636,-0.093403801250164,-0.163463588818825,-0.325791699276697,0.391412795008285,0.428190642328718,0.395804570872101,0.796770725412962,0.267275186139514,-0.71330357960756,-0.356464166672162,-5.26751023516401,0.199199453953729,-0.209244476161011,-0.360101448128217,-0.0363774933494286,-0.180730115797625,-0.153897347495877,0.341419065191196,0.248424743133581,0.555681568101101,0.984343218519098,0.490826945790368,-0.265641832389443,0.13939791226961,0.107440351071622,0.218946255041482,-0.166141681548202,-0.395376139055064,-0.0410516907281309,-0.19682099018353,-0.0803944049363457,-0.681955646869446,-0.654368503200495,-0.558639931979263,-2.82763178278131,0.460749798382613,-0.805224609530466,-0.187089566554183,-1.27247943592637,-0.380669944863005,-0.265694785680081,-0.715188791858234,-0.444027127066322,-0.11249219897243,-0.296966551951287,-0.647707581223212,-0.0419768676588981,-0.526018235652039,0.0301683139441306,-0.195459278454098,-0.309449694304513,-0.000393917391409693,-0.538652972628121,-0.0522499613839048,-0.376112481908081,-0.767539854269658,-0.0323844303201117,-0.0358781358379815,0.0124065506380895,0.0472149566797277,-0.452667460620946,-0.0189690477968566,-0.606846017479333,0.0823918236395147,-0.196413112110605,-0.76371529753651,-2.99385766945082,-0.178878181575579,-2.17455835156115,-0.87619739159094
5,92,-8662.88260621874,895.480624648637,-0.0309344156295574,-0.151578933797633,-0.127986881617734,0.0320677661732964,-0.0118240607773142,0.241042339267659,0.764484486416589,0.348751566339068,-0.294167619294101,-0.0526972142071721,-0.61020940501049,0.106702942097003,-0.390412303551372,-0.0601556617282158,-0.0201973644155842,-0.142385196440555,-0.385356378279324,-0.270681065221198,-0.148918012461533,-1.48491612882396,0.262643496878933,-0.143347199190058,-0.416128904210821,-2.18474183057976,-0.0547146735295815,-0.644776596986937,0.487333224982105,-0.197924462021152,-0.0502903516995049,-0.197236741570888,0.0328088904895158,0.143893034602021,-0.251576885866878,-0.154921298113642,0.390798833497695,-0.0110252274363782,-0.152809814518774,-1.30651734815642,-0.140632483078499,-0.332854696473098,-0.107220742494546,-1.51588595569054,-5.02943940507104,-0.983010692637755,0.37968804123868,-3.30396288319368,5.17223238562087,0.852692788153826,7.31790972016685,-0.332441965067642,2.47120090039074,0.753690047827803,1.97139530843939,-1.01026301022591,-2.39180527232793,-0.0277449412139852,-0.561175656026237,0.0891753592231631,-0.185456538657085,-0.461767716351345,0.569821973120792,0.353785762307056,0.467153917355365,-1.23281322620809,0.512347561571903,-0.448340867844323,0.685744475654603,0.206863492606103,-4.54681379968577,6.74564847044147,0.0373266336093051,0.416363820342871,0.0847187136441586,-0.32890099386728,-0.362165928687275,-0.584815546725647,0.157735607725387,0.756026154038464,0.311270170201463,-0.28624068967361,0.768362809951705,-0.18738565877518,-4.64414287900633
5,93,-8619.41812371246,1318.11467004543,-0.025532754865432,-0.110012020028738,-0.0731671303685585,0.861544067001567,0.726457980044317,0.904351140344672,1.3315191721642,0.342067808063337,-0.501096970954278,0.0329499627115027,-1.06877965116654,0.454312990382953,-0.545694167830471,-0.0597658056886864,-0.0683270007308922,-0.149488263699185,-0.217071928463663,-0.189822424497786,-0.143583681885122,-1.30062371915529,0.342166989262604,-0.394823436288554,-0.470891938417854,-2.19280289336951,-0.328514240129972,-0.624293080204363,0.613043644829532,-0.190794085247282,-0.132757848480999,-0.201158040669672,0.20526733448116,0.280247139527472,0.054961885292827,0.0746204295273837,0.433340641355838,-0.045670303890821,0.0159715730717944,-0.980070347519597,-0.141048914138102,-0.292604210069014,0.493964737296639,-0.0348051644236154,-0.396383942888634,-0.406208006645375,0.0589264174174012,-1.06070478978938,-0.24125908553058,0.154047918321464,-0.328949334867208,-1.1376700818887,0.70206672518841,0.326594638629032,-1.56270935220241,-1.01987286134183,-1.8532113661941,0.804216951356708,1.05490303009353,-0.46048489564467,-0.282956386888266,-0.0981584246599353,0.317753092853368,-0.163789392220585,-0.553178575212534,0.113790567735378,-0.410167251549048,0.262032683927543,0.0127439715616004,-0.407581103547003,-5.72820407319021,1.85847078538463,-0.946426073180232,0.121341539707171,0.565334411752996,0.351062395540028,0.103549686406279,0.480149535570007,0.443024019696277,0.199248047637096,0.0257304149772012,0.243896138311931,-0.729191405902135,0.977721297348216,-5.72826454365585
5,94,-8211.48524204667,995.461789044963,-0.75042593427704,-0.0836285070767303,-0.430818136742474,-0.185905366744947,0.547015364001029,-0.718255459485338,0.0532215647034395,-0.351274729579673,0.321973866454447,0.190768912053792,-0.716646374513346,0.777430364168889,-0.224554062165373,-0.143813953723301,-0.118979805543227,-0.171566709641127,0.256299792332497,0.170354017847397,0.282008698270413,-0.181817917720161,0.678816885910987,-0.217614597161312,-0.0472157501738811,-0.846113739300349,-0.263905655866323,-0.346248097728606,1.40794428698329,-0.0815196319032261,-0.126366563586895,-0.253965535315986,-0.0377198687498632,0.0429069209436302,0.0278221563590666,0.252261064202931,0.13575409206254,-0.364780228466116,-0.575809116765199,-4.84538036020452,-0.0881896405236566,-0.73067991934329,1.15222531653288,-0.0151733906004493,-0.217338259956891,-0.0831549323537723,0.223560506393226,0.0755373892640712,0.428484203823473,0.632692749955478,0.32432399915309,-0.375840887223187,0.0196940598737677,-0.247596659637263,0.26301958226943,-0.57661740488198,0.85761579022382,-0.0502063122324179,-0.00647537064881527,-0.0454193336031911,-0.443388858083181,-0.609345769915762,-0.341370124307346,-2.76570947540876,0.610920177906379,-0.548998497956825,0.0233401104633907,-1.4954085967328,-0.0888560988559742,-0.223461909907526,0.787778303550399,0.809975053474307,-0.00768593960718507,-0.0716879151798973,0.966237995710453,-0.281504619988057,-0.0457924126724664,-0.51678260169677,-0.225623947560175,0.77963680102952,0.0657291223187678,-0.162462420930246,-0.356734657308402,0.311316890247529,-4.75152114558161
5,95,-8400.61547229347,272.986178271267,-0.501453963519432,-0.0337792454436177,-0.311581678137341,-0.875211965682111,-0.238635346693162,-0.597969558026714,0.106497958659679,-0.196970230412133,-0.610327346124804,0.0472025943035758,-0.564750215204033,-0.0158728354126395,-0.349363263915081,-0.0412468189813989,-0.111510877915385,-0.153990707450321,0.148817908204787,0.135892192281163,0.235642211133674,0.51981101071386,0.21282938892742,-0.362427661814311,-0.201992052179592,-1.76830374618633,0.125888330725975,-0.48229526847922,1.31166973591664,-0.131620000218813,-0.0721708429221929,-0.187193036863367,0.330242538603368,0.0865500205995733,0.298147643427341,-0.557768970801004,0.826153445175622,-0.0923662381923691,0.0443055095048263,-0.932823901938309,-0.0420958038341787,-0.230781457845248,0.991228030076545,-0.0441478441807521,-0.137120409914464,-0.0154429037309886,-0.524538934572594,-0.726215313325351,-0.466274220871127,-2.63455626949111,0.329742131632563,-0.528429616885683,-0.211414340364505,-1.60287706958614,-0.421758765688745,-0.50164262764073,0.319474771664076,-1.4211585776987,-3.30055585915656,-1.14760046438572,0.524201151290904,-0.356624950299738,-0.901957943627143,0.10499741039848,-1.56330714580909,0.580931171919613,1.12729422356022,-3.29249011178026,1.70458965543328,0.99263545548713,-1.62889066557143,0.476808860630043,0.686558491700187,-0.109395878523451,-0.22501139649615,0.778617445996834,0.605655864201129,-0.460864539588647,-0.425188156836677,0.420054386413861,0.421973221236478,0.207592459824586,0.275614624063127,0.234768670053177,-5.55258459243081
5,96,-8405.02037173585,935.160666378415,-0.0728138733496738,-0.381216341094956,-0.640473906580864,0.37664424056919,-0.92671048525649,-0.608366820092222,0.256364611792478,-0.0343777805421318,-0.972874332880627,0.899134546778675,0.458674078484164,-1.14039075693119,-0.206115998242871,-0.0465492272647687,-0.0784326936140162,-0.114557719890421,0.103094677043556,0.180222852195457,0.279606229361875,0.394842764799127,0.296183967759205,-0.45060843116279,-0.319033010605302,-2.415480559372,0.18194260909338,-0.587386530734332,2.25870770515759,-0.184575260486838,-0.12125309473241,-0.165489352325904,0.440216606904438,0.522117179817424,0.266419826530728,0.294779660532461,0.372199852916367,-0.201178077635431,0.082778621008697,-0.751776146614049,-0.048619949194874,-0.314782625705638,2.18358760860947,-0.0688629630952695,-0.0158961064077029,-0.120744255274424,-0.711052731790209,-0.912392132619276,-0.600146481455561,-2.7161439958879,0.658850389946099,-0.119087250654037,0.0364326533994662,-1.44230558213915,-0.0988324317989405,-0.327704347674626,1.87468978743951,-0.00287459417458528,-0.967255563201702,-0.0220754353833705,2.20171699823534,0.517900563703156,1.06772588603174,1.40914601240345,0.674132412860973,-1.49155129176839,0.129121494207992,0.61010764431372,-1.01380641053038,-1.19076140236913,0.550836034849955,-0.0145560236710904,-0.00300276295611446,-0.0661668986872491,0.0162642341909959,-0.1004228123611,0.0610563722441132,-1.26032872225999,-0.162429949134803,-0.0630999643455001,0.799289758305026,0.0455279477985285,-1.35659144360585,-0.576348497575832,-0.402688872015016
