"mu_b_Price","sigma_b_Price","mu_b_Acceleration","sigma_b_Acceleration","mu_b_OpCost","sigma_b_OpCost","mu_b_hev","sigma_b_hev","mu_b_phev20","sigma_b_phev20","mu_b_phev40","sigma_b_phev40","mu_b_bev","sigma_b_bev","mu_b_bevRangeRel","sigma_b_bevRangeRel","mu_b_noBEVFC","sigma_b_noBEVFC","mu_b_american","sigma_b_american","mu_b_chinese","sigma_b_chinese","mu_b_japanese","sigma_b_japanese","mu_b_skorean","sigma_b_skorean","logLike"
-0.12427203355465,0.0857380103548801,-0.137363874037632,-0.179990401508865,-0.19080810677142,-0.15260723189658,0.0910032022911457,0.460282498009767,0.0403546415674783,-0.183409001965614,0.198607078290197,0.14653938089788,-0.239919993365051,-1.49083729347871,0.485778169984174,-0.53705204867381,-0.399058697348865,0.225661965842964,-0.143756119160637,0.853651717217179,-2.11516162083351,-2.12043368372298,-0.0722488731315235,0.743088204604626,-0.524247853069548,-0.111068853089259,-8048.72153807014
-0.12427203355465,0.0857380103548801,-0.137363874037632,-0.179990401508865,-0.19080810677142,-0.15260723189658,0.0910032022911457,0.460282498009767,0.0403546415674783,-0.183409001965614,0.198607078290197,0.14653938089788,-0.239919993365051,-1.49083729347871,0.485778169984174,-0.53705204867381,-0.399058697348865,0.225661965842964,-0.143756119160637,0.853651717217179,-2.11516162083351,-2.12043368372298,-0.0722488731315235,0.743088204604626,-0.524247853069548,-0.111068853089259,-8048.72153807014
-0.123000599752329,0.0918677211968041,-0.138028977274311,-0.181119992345219,-0.192077556286223,-0.154732990562659,0.0910242411358615,0.46037773310047,0.0403677939493492,-0.183388330609144,0.198751000608436,0.146364180681408,-0.240277628952039,-1.49091412431985,0.486232643654281,-0.538250149961983,-0.399320091655882,0.225702058592951,-0.14378879289022,0.853768489736138,-2.1151917997129,-2.12026189161162,-0.0720885128767105,0.74341815561527,-0.524411962200404,-0.111249378119269,-8046.12722978164
-0.13643555676765,0.100232982131409,-0.14306769149542,-0.189181321041231,-0.20064776127275,-0.169484312960905,0.0912366665274701,0.461194445697833,0.0404406486148085,-0.183266644860091,0.199719256981714,0.145168077488715,-0.242842827307982,-1.49173673886368,0.4895442266313,-0.546757218051105,-0.401249878432137,0.225984404118686,-0.143809013126244,0.854697020131726,-2.11545844575877,-2.11902525926023,-0.0708068979369834,0.745663767822564,-0.52575368282774,-0.112694863524683,-8043.91696132318
-0.133583197645776,0.0981857332714321,-0.15046414318151,-0.201439351656798,-0.211433472833307,-0.188432981949937,0.0916191972426617,0.462505342363939,0.0406450629063024,-0.18315539561417,0.201181429832692,0.143417200034241,-0.246885454065557,-1.49342302173343,0.495011628687927,-0.560229182889941,-0.40440307876084,0.226520537260819,-0.143749974445449,0.85634684389369,-2.11608187220114,-2.11735447827516,-0.0687360664422079,0.749350366317245,-0.52794220661129,-0.11500611853885,-8039.37836957976
-0.134945882925973,0.0995011743316407,-0.156875052352033,-0.231773850113862,-0.199279359604387,-0.188391256304558,0.0932242391326798,0.467667616678782,0.041937053701604,-0.182972713316663,0.205883999517129,0.137345683835459,-0.261264718254311,-1.50197542177449,0.513470781920161,-0.604144495226256,-0.415669097521081,0.229053015411225,-0.142781504510762,0.862468906544181,-2.11911404548435,-2.11288062035975,-0.0615383188534494,0.763410863953619,-0.536476894112824,-0.124201240912753,-8033.62980643149
-0.136836418527673,0.100908566475292,-0.14715285526786,-0.242204209958004,-0.222723424602531,-0.169848851659856,0.0959645389966529,0.477159644949623,0.0438188770756685,-0.182600602959234,0.212571422740751,0.126427414684546,-0.284588402771996,-1.51872213615427,0.540382643992141,-0.669179965719351,-0.433980028669493,0.234067066702129,-0.140701370911161,0.873980971010498,-2.12471187615817,-2.10610808824829,-0.0502044040760897,0.788064858566032,-0.551145250958789,-0.141754834895644,-8029.74356670964
-0.137597679956162,0.101666993795338,-0.138610365508121,-0.217326662220105,-0.218682700555904,-0.179121714777488,0.0986173936920419,0.487578978790083,0.0454984455141072,-0.182278029964599,0.218256641918975,0.114277625447774,-0.306939332605922,-1.53806875951335,0.560866097029733,-0.721616833599535,-0.451098776173296,0.239964713560023,-0.139080731549212,0.886958344359598,-2.13130889775601,-2.10049863608505,-0.0401728917747108,0.813847182613043,-0.564899496760436,-0.162005252806383,-8025.37477250251
-0.138021988881307,0.102277629406806,-0.1537191261017,-0.21034114153747,-0.219904241347541,-0.175923541511602,0.0996001610508509,0.493517295900978,0.045830788060803,-0.182246500409258,0.219549591537294,0.107506842313428,-0.315474814524768,-1.54879047710294,0.56207636620399,-0.727732384442832,-0.456565572968246,0.243489400562191,-0.138858948443378,0.894328834883377,-2.13579451797549,-2.09925902870284,-0.0375958905226611,0.826080126146903,-0.568710070120816,-0.175535186146957,-8024.22084875924
-0.138811097264963,0.103981073481872,-0.15264572812891,-0.220382796498647,-0.223369444357811,-0.180161447988392,0.103655850645309,0.53587861175013,0.046297020822862,-0.182908471546099,0.222742640163263,0.0599855325545375,-0.36336087312658,-1.62300733588842,0.546641321673574,-0.71318198966653,-0.481926874171399,0.268601611585765,-0.138711298839075,0.946049044212969,-2.17061228338254,-2.09688339716082,-0.0295335798674117,0.902912032336625,-0.583611299032435,-0.280599413714033,-8017.40124919835
