"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_b_Price",-0.133976380344082,NA,NA,NA,NA
"sigma_b_Price",0.104333906700236,NA,NA,NA,NA
"mu_b_Acceleration",-0.193114555013173,NA,NA,NA,NA
"sigma_b_Acceleration",-0.266646156898905,NA,NA,NA,NA
"mu_b_OpCost",-0.231918346591739,NA,NA,NA,NA
"sigma_b_OpCost",-0.209429661701815,NA,NA,NA,NA
"mu_b_hev",0.145319833192211,NA,NA,NA,NA
"sigma_b_hev",0.85885152182562,NA,NA,NA,NA
"mu_b_phev20",-0.0252750461565314,NA,NA,NA,NA
"sigma_b_phev20",0.318462234379931,NA,NA,NA,NA
"mu_b_phev40",0.144222642739013,NA,NA,NA,NA
"sigma_b_phev40",-0.217761859256693,NA,NA,NA,NA
"mu_b_bev",-0.386140390233375,NA,NA,NA,NA
"sigma_b_bev",-1.8168033456759,NA,NA,NA,NA
"mu_b_bevRangeRel",0.664422089016987,NA,NA,NA,NA
"sigma_b_bevRangeRel",-0.717611291209485,NA,NA,NA,NA
"mu_b_noBEVFC",-0.54843054385047,NA,NA,NA,NA
"sigma_b_noBEVFC",0.260396662926489,NA,NA,NA,NA
"mu_b_american",-0.219178361421855,NA,NA,NA,NA
"sigma_b_american",1.10476029179911,NA,NA,NA,NA
"mu_b_chinese",-2.51426248933854,NA,NA,NA,NA
"sigma_b_chinese",-2.44145742887669,NA,NA,NA,NA
"mu_b_japanese",-0.141263066044035,NA,NA,NA,NA
"sigma_b_japanese",0.904136565731421,NA,NA,NA,NA
"mu_b_skorean",-0.650263469851989,NA,NA,NA,NA
"sigma_b_skorean",-0.872185390878687,NA,NA,NA,NA
