"mu_scalingFactor","sigma_scalingFactor","mu_wtp_Acceleration","sigma_wtp_Acceleration","mu_wtp_OpCost","sigma_wtp_OpCost","mu_wtp_hev","sigma_wtp_hev","mu_wtp_phev20","sigma_wtp_phev20","mu_wtp_phev40","sigma_wtp_phev40","mu_wtp_bev","sigma_wtp_bev","mu_wtp_bevRangeRel","sigma_wtp_bevRangeRel","mu_wtp_noBEVFC","sigma_wtp_noBEVFC","mu_wtp_american","sigma_wtp_american","mu_wtp_chinese","sigma_wtp_chinese","mu_wtp_japanese","sigma_wtp_japanese","mu_wtp_skorean","sigma_wtp_skorean","logLike"
0.123180987455236,0.0576503030808361,-1.35775607541818,1.37404319929758,-1.75522262968413,-1.34506988030135,1.3792176446245,-3.89698292253593,0.295776458884828,2.56881221212943,1.30280534319888,2.43874463804393,-3.86111751377275,14.2611626532161,4.84350627355917,5.61994114208436,-2.73859968952185,-1.22651551222698,-1.09346177510823,3.73668011308788,-20.900615903756,-19.3014426957614,-0.0687996120551712,-4.68281607328594,-3.67260712601232,4.52291647831439,-8303.59685397054
0.123180987455236,0.0576503030808361,-1.35775607541818,1.37404319929758,-1.75522262968413,-1.34506988030135,1.3792176446245,-3.89698292253593,0.295776458884828,2.56881221212943,1.30280534319888,2.43874463804393,-3.86111751377275,14.2611626532161,4.84350627355917,5.61994114208436,-2.73859968952185,-1.22651551222698,-1.09346177510823,3.73668011308788,-20.900615903756,-19.3014426957614,-0.0687996120551712,-4.68281607328594,-3.67260712601232,4.52291647831439,-8303.59685397054
0.127536265810305,0.0610994784479679,-1.35755173942689,1.37428099077063,-1.75526122618291,-1.34537883445829,1.37920556904943,-3.89699200991596,0.295786740872316,2.56882019626473,1.30279325188446,2.43873461042392,-3.86112221029279,14.2611726574832,4.84351944001565,5.61997091490711,-2.73862574699616,-1.22651237637074,-1.09344845600797,3.73673848407949,-20.9005861267656,-19.3014523966036,-0.0688045487400255,-4.68282831836172,-3.67264835887577,4.52297181601166,-8301.96619281507
0.128071102129287,0.06058276108139,-1.35731506255894,1.37452823601806,-1.7552647613572,-1.34569481482007,1.3791923167203,-3.89700197453799,0.295798914018757,2.56882852384357,1.30277655292146,2.43872559925593,-3.86112401174915,14.2611789672227,4.84352807161692,5.61999922511472,-2.73864946142555,-1.22650856955312,-1.0934341446168,3.73680206327119,-20.9005530968214,-19.3014638892589,-0.0688132119884848,-4.68284020040436,-3.67268651084841,4.52303090520945,-8301.96260814889
0.129312450760705,0.0609992910632868,-1.15233114363932,1.58922970439045,-1.75730289679258,-1.61971568893569,1.36766251507915,-3.90573286266818,0.306349326025695,2.57606082133101,1.2882891971992,2.43103362244596,-3.8626373663771,14.2666046136756,4.85072823039423,5.64465482896281,-2.75916478852626,-1.22317463309536,-1.08108221029897,3.79201559270572,-20.8719152243762,-19.3113278075407,-0.0763018806939819,-4.69322429391676,-3.70570587538997,4.57448213716324,-8294.10146234748
0.129506711845702,0.0605704789577897,-1.04486575486405,2.19356212536193,-1.97640315781934,-1.4446181223908,1.32430445085606,-3.94819318913395,0.343796258070378,2.6089613709594,1.22573657742179,2.39892877944231,-3.86348802202796,14.297012514153,4.87487369824658,5.74203527294549,-2.83018842742171,-1.20810208102552,-1.03261746731559,4.05041755225853,-20.7546867612252,-19.3533826640653,-0.0982604349811535,-4.75271711630567,-3.85478453458182,4.78907398434363,-8293.95737123885
0.131265272382827,0.060876389868239,-1.21790172945063,2.54917404570352,-1.71684626044423,-1.41957226084127,1.27231011481522,-4.00976001929317,0.38975494676474,2.66438791262722,1.13839263634426,2.35412621376126,-3.86858388202723,14.3530149864415,4.90661095024341,5.87554187362728,-2.91871230377394,-1.18336021580505,-0.980651526636848,4.42406812061292,-20.5954246455871,-19.4081105345287,-0.119537442810251,-4.84619094667658,-4.05861793951559,5.0866860551483,-8293.8673958556
0.13091914757675,0.0600659212107576,-1.38144759450933,2.54912732546411,-1.80378596254036,-1.52995156876624,1.2074405580645,-4.10923539947354,0.443385638409732,2.74362062141528,1.02295109664495,2.29289316561966,-3.88375530866472,14.4407151153887,4.94474331622042,6.03038850532708,-3.03403054483083,-1.14689305648096,-0.92691306228231,4.95373987068106,-20.3762761329833,-19.4788834483347,-0.139361428448781,-4.98939688121484,-4.33137294532724,5.50105788203874,-8288.1328943427
0.133717081171436,0.0616546824632185,-1.12104275582056,2.25953571205047,-1.7317963387919,-1.44845855332697,1.0333346894399,-4.42763970397546,0.568064606999425,2.98171558055406,0.711415552605435,2.12733440333929,-3.93908725385269,14.73416442962,5.09891906106238,6.41302321275169,-3.36362052810965,-1.03014374268842,-0.808503908061835,6.52827183873876,-19.7473949633806,-19.6740028183201,-0.197629570658694,-5.42270373843528,-5.08874658567937,6.72984228684611,-8275.56825742329
0.134740863599571,0.0622102410375253,-1.13489667598276,2.20179782020978,-1.74247429913037,-1.49433211983843,1.02187022468455,-4.8176619078562,0.19691429163459,3.23257742497116,0.87973544101616,2.22939759873839,-3.97129671111041,15.0682444748576,5.1549535700407,5.85724418199299,-3.26457274947012,-0.866133672638898,-1.18774056686495,7.45115184484832,-19.5044053898455,-19.6464844343605,-0.336988695888752,-5.69075427060254,-4.86836816711909,7.43713773881254,-8270.34028349183
