"Class_1","Class_2","Class_3","Class_4","model"
-6.20617061207052,-4.10017009227965,-2.39349414239535,-6.88423614741773,-3.01039853127131
-10.6959215707878,-18.8944626341737,-11.8273586015172,-6.92463475050545,-7.66598564969652
-18.6457602305822,-43.2114998052482,-34.0510638261241,-39.9006715541428,-21.6024792403663
-34.5038627736757,-41.19544681381,-39.9921347926675,-23.8384477261945,-26.1789752245162
-7.40185192373875,-7.27919737158666,-8.74828076563071,-5.06407089583481,-5.59162582155035
-3.98158830181378,-1.39174123969717,-4.95981624004788,-3.23087413586677,-1.63304322171183
-9.79379952519004,-14.2523646812931,-28.6421090698056,-16.0734276773128,-11.1559461784663
-87.6111840731232,-66.0672207309284,-36.9916158722564,-53.0726074621949,-42.9081802300904
-6.44538911589419,-7.50526580651845,-10.6177172846246,-4.25381824934407,-4.57574066164957
-21.8040963789769,-32.7567354060247,-12.217915169585,-10.6547067104152,-11.9748175794351
-3.63019636296904,-3.39209029925165,-6.29020660543928,-4.18558883157245,-3.62746180540212
-2.97030058695705,-1.48444077837951,-2.54687242266619,-2.67380994219115,-1.71780327285352
-2.08181027324641,-1.11113955259221,-4.95732594800506,-2.95369448663189,-1.34446019707124
-42.7570750660784,-45.0735320518058,-26.4651162751446,-44.1630684258506,-31.2334884086904
-4.57382597322834,-6.64166839894577,-12.0577229640692,-6.84752218820404,-5.18238410623057
-4.90275159224821,-5.97161686261519,-3.54040065129272,-5.35416716802788,-4.14022846611109
-2.3395825307958,-3.82692204219033,-2.05667153897521,-2.66292336987766,-2.29771804016906
-12.7046826251274,-12.5356677427361,-9.33059549383479,-16.5889750116116,-10.8210961561454
-14.8370075195553,-8.53817742010005,-11.4353483862343,-10.7645681475403,-9.26995306982281
-9.15320896607885,-5.87381287802842,-23.9746942058944,-10.5502923115948,-6.98701499136198
-8.41731093946836,-9.54117207885371,-12.8921582826706,-6.0881766469614,-6.74760713463222
-2.13727250369667,-3.20304139552445,-15.8767893695189,-4.86816080808949,-2.49736409470152
-3.24433376691573,-2.59205734744528,-4.38415328819072,-3.32753197888755,-2.87065062495143
-2.70785961693078,-1.29248756574145,-5.37556029385872,-4.08174123570227,-1.59562392449528
-17.6271881036806,-18.2466460630967,-60.4892984802617,-15.2172791709351,-16.7444754035411
-7.84852203245673,-2.66585726723702,-9.80369048827372,-6.88613571216143,-3.17654748384189
-6.4511545595529,-7.02510140349381,-17.4999004683101,-3.89074947491252,-4.41916220433253
-4.71566090610245,-2.43545101710595,-2.98176206891395,-5.21890160603949,-2.74735433830451
-12.5487551568863,-16.3818594420886,-36.1831649757145,-9.79704335847224,-10.5855177551434
-12.7975867563002,-10.7256839395178,-23.3832839601226,-9.46946201794542,-10.2965338430354
-49.5868284753511,-59.0300771442104,-130.536980538031,-29.1652432915528,-32.4480899394447
-6.72568303326214,-5.00486308809792,-7.25367223760703,-3.86358975693771,-4.26493051445281
-32.7427680646094,-50.7473277079776,-19.7852949718619,-23.3843292905004,-21.5013405648668
