"stage","candidate","LL","gradNorm","b_Price_1","b_Acceleration_1","b_OpCost_1","b_hev_1","b_phev20_1","b_phev40_1","b_bev_1","b_bevRangeRel_1","b_noBEVFC_1","b_american_1","b_chinese_1","b_japanese_1","b_skorean_1","lambda_ICE_1","lambda_PHEV_1","lambda_BEV_1","b_Price_2","b_Acceleration_2","b_OpCost_2","b_hev_2","b_phev20_2","b_phev40_2","b_bev_2","b_bevRangeRel_2","b_noBEVFC_2","b_american_2","b_chinese_2","b_japanese_2","b_skorean_2","lambda_ICE_2","lambda_PHEV_2","lambda_BEV_2","class_intercept_2","b_Price_3","b_Acceleration_3","b_OpCost_3","b_hev_3","b_phev20_3","b_phev40_3","b_bev_3","b_bevRangeRel_3","b_noBEVFC_3","b_american_3","b_chinese_3","b_japanese_3","b_skorean_3","lambda_ICE_3","lambda_PHEV_3","lambda_BEV_3","class_intercept_3","b_Price_4","b_Acceleration_4","b_OpCost_4","b_hev_4","b_phev20_4","b_phev40_4","b_bev_4","b_bevRangeRel_4","b_noBEVFC_4","b_american_4","b_chinese_4","b_japanese_4","b_skorean_4","lambda_ICE_4","lambda_PHEV_4","lambda_BEV_4","class_intercept_4"
3,39,-8321.5149524271,1035.5180686487,-0.0928226740582534,-0.00623809421009414,-0.123235591444791,-0.247169187231817,-0.246217054788864,-0.201889402735343,-1.41082152907208,0.537946997296824,-0.17557792344319,-0.0277882441573228,-0.888418595907958,-0.0834146798123555,-0.0932734410361409,0.851682245477496,0.41213500309637,0.603182150031727,-0.0740705744183014,-0.114038887770974,-0.176727613895131,0.130748334422734,-0.0180630015082768,0.0736463279867136,0.108119812466553,0.324785301785404,-0.442394710639183,-0.451765918073153,-4.77744086705198,-0.00286969271202611,-0.634484447987411,0.30930677016648,0.683332542947946,1.05469111100158,-0.181637253469576,-0.0245767845242066,-0.17626412386893,-0.115740318012689,0.27275117773798,0.256339746460171,0.498599955932742,0.331987297373266,0.278508371593507,-0.36644304594686,-0.129575185447961,-0.495255933802919,-0.0592833707833067,-0.649964808220466,1.07964204890883,0.450838195226973,0.956871696880873,-0.210466680281148,-0.275049647110076,-0.138556465278012,-0.243647689699128,-0.196851833216332,0.221484323553807,-0.163792645629729,0.285072561400677,-0.00870095933524982,-0.312719228616799,0.250849863251794,-0.733923212312608,0.1464345148482,-0.0447664290568658,0.723895296800052,0.812300031420103,0.989413056254609,-0.696394939863705
3,40,-8552.18181127865,1399.72200605773,-0.0217164606549962,-0.434941981311783,0.0496727694881905,0.140727765612412,-0.0567718848980494,0.230087711714285,-0.258512735077946,0.132742530352261,-0.573497591680269,-0.166692270721416,-3.2722466712613,0.244667074740285,-1.13563463703324,0.77105242957496,0.859603315490746,0.756510272268169,-0.0388758999855182,-0.0710895520113048,-0.0745666968037201,-0.143786875489579,-0.105785231968643,-0.0303496116620496,-0.65848715220104,0.395865245094233,-0.309970947268131,-0.00724616377291386,-0.606152517081437,-0.0214154334844035,-0.31694868495797,0.730189263808963,0.48043386332787,0.722945516837707,4.57614449717304,-0.194679288756794,-0.0813845184696434,-0.154681336368661,0.389293412902569,0.359064571373351,0.131924682585848,-0.0691047011861076,0.283181088583029,0.0823168111670058,0.132491064252022,-1.11896327616261,-0.0283233711626723,-0.275813631528638,0.895847593550292,0.389082106480441,0.976553351307005,4.25837162069236,-0.0777135359574779,-0.193744122431464,-0.273313311542051,-0.332383793533543,-0.159812923467387,-0.2464998595035,-0.0631428004657131,0.094890494265884,-0.499980114334004,-1.07005394813602,-5.63545037036581,-0.456248945459342,-1.03634020635817,0.296074671431068,0.338560184014446,1.32335407222181,3.66941231749107
3,41,-8546.47431206905,983.754023859046,0.0153364567747662,-0.486225650193758,0.0774700149689209,0.161589966503533,-0.00403420642393952,0.258745330135211,-0.70324646683106,0.526964750788,-0.615901810098244,-0.0446209164367882,-0.681078239809722,0.00341736107771124,-0.0145783578795726,0.660893867741371,0.874132355421135,0.484403224759291,-0.0355299372134427,-0.078192982056049,-0.122945226429135,0.212882152704267,0.143798564314038,0.324529841534827,0.468413518362101,0.217316716483877,-0.388145122619152,-0.20402563315228,-1.56095786417547,0.047704923492657,-0.551656242555244,0.832423181353907,0.667542287785543,0.884756990053981,4.41124154647194,-0.0820639128417735,-0.0616883079303711,-0.103103375613883,-0.124801386761633,-0.121317931144172,-0.0593965448899188,-1.30794240627955,0.62166440694765,-0.163831712272961,0.00793535013227201,-0.99129193926131,-0.0829152268172466,-0.108384252791544,0.853812975229393,0.447406532520941,0.725558821952702,4.3446674118611,-0.362870645192552,-0.150160124799839,-0.280540197967158,-0.404620140794755,0.224678520372645,-0.308391868101763,0.0252514752368138,0.0256574943403279,-0.177150994427934,0.0945904935500406,-1.03875213756463,0.0228878254042004,-0.259888252991191,1.16334998039012,0.605297454435619,1.21833612118766,3.59301722962311
3,42,-8308.94491120615,1762.71146870225,-0.160670719303218,-0.134975748593217,-0.196510352609535,0.244923151374242,0.340575032012449,0.168098329693514,0.0915167541813003,0.371326190065831,-0.0623087902785692,0.0750510288782887,-0.737854654345819,-0.00401224999802182,-0.146265011715688,0.7685174240921,0.528864784645318,0.801038610869541,-0.0733812733108247,-0.0427886068616255,-0.0733839228120069,-0.53063649150709,-0.565798854527317,-0.564369856810153,-2.30085400031671,0.478509420316174,-0.0893192996436016,0.0913325707739855,-0.927263683802517,0.0172852206070252,-0.0260697755740095,0.803576516869754,0.433426935406525,0.667197758304032,-0.267811092566208,-0.0619090961756497,-0.0669871890805151,-0.177696589003594,0.262314734621818,0.277614177558669,0.422204683347584,0.447226294075348,0.266787717143725,-0.669629989586937,-0.498775996583314,-5.56209988378008,-0.157064084200275,-0.779783677972924,0.405561594051548,0.589994431898046,0.980935153830516,-0.311524314135236,-0.0146196244743914,-0.126800251214859,-0.117545152277054,0.218880144787188,0.184468606014962,0.449123208434823,0.537258872512756,0.322878121126541,-0.472158134353043,-0.0752908067634265,-0.576967555128773,0.0752023693310725,-0.768446451947335,0.905300352111349,0.601439504931496,0.876934169487941,-0.421854296885861
3,43,-8329.98930501015,2288.37374039808,-0.178980004102825,-0.132883911732964,-0.15741093509991,0.280178321342679,0.367710147009561,0.195150887658236,-0.0502869111901504,0.219880410733988,0.01037254468487,0.106573051060699,-0.938264199473539,0.00260390086847113,-0.106491745093378,0.790661272839313,0.463655660424521,0.7395186356995,-0.0437329884987553,-0.0188503760257897,-0.0405808492410142,-0.416492984011948,-0.605154139412961,-0.386043216593779,-2.10605106694102,0.377416108968006,-0.375898121153868,-0.16118913551642,-1.25428096615728,-0.268514664514075,-0.36604783028963,0.679628928738858,0.563673332158504,0.971584036456108,-0.199632400661029,-0.0718053494921701,-0.0178346307931448,-0.18917501014615,-0.00499526751401833,0.115858381323999,0.0819233642113101,0.265753618221417,0.227035798013865,-0.591091054861372,-0.567120630736108,-5.47762878664657,-0.0490470306079878,-0.634028132802629,0.3614978075984,0.942550203707658,1.17391822656514,-0.208424818580893,-0.0200744316856579,-0.162688036729083,-0.0985978840236127,0.255452311098255,0.233617021570524,0.544180829836664,0.729049988368589,0.409311720041153,-0.402548572802693,0.0409119299845758,-0.258640575402321,0.217270949581894,-0.60650855326472,0.521127488162226,0.583666008455213,1.11469153152088,-0.392697072570486
3,44,-8291.77031250096,1946.51922878555,-0.0737452060612826,-0.134713281991132,-0.212552521021956,-0.0514707718707266,0.0923196205418877,0.00741443557536427,0.236239873327464,0.195031770615577,-0.583109914687395,-0.647914663151211,-5.48639403468482,-0.175080096207071,-0.647373778679935,0.317128520891489,0.402687929832826,1.04329964758129,-0.208538979064682,-0.0928327548366876,-0.196923948477676,0.242844373025244,0.349769798057901,0.135366383267733,0.0392256976643025,0.376755211633898,-0.0634202755297606,0.069659954878671,-0.919462313092804,-0.0223207265389268,-0.179030506080164,0.667556803932131,0.543385142403675,0.810418632301218,0.399269339005352,-0.0188061727045454,-0.119075367429686,-0.0831706326279061,0.405124567825314,0.414379387347591,0.71199623024776,0.728213384780054,0.37822088002901,-0.337202878614901,0.0288951380300622,-0.419145927254273,0.208756881053002,-0.579429604784009,1.13723946819166,0.650910628808582,0.820393142958055,0.263443818384643,-0.0725845800348007,-0.0600820840572331,-0.0534101206629445,-0.541253383677314,-0.728911301732061,-0.514899506254457,-2.50378222123899,0.421525154062006,-0.222954969976188,-0.0646102673954939,-1.41102504547165,-0.202285763904869,-0.214599872294978,0.994740115694437,0.628918361388834,0.834517221907241,0.0950326683536805
3,45,-8321.33194790168,1621.94024905364,-0.0897971145904098,-0.0109953177007144,-0.129959387963509,-0.0733060898122263,-0.123172363257597,0.015224266450825,-1.25149863190614,0.510053862105652,-0.177027654088592,0.141019369883726,-0.901308545010464,-0.0206789905282335,-0.0176724137291248,0.720769561858032,0.397077117477038,0.717060648564902,-0.0163090577695948,-0.171438934700587,-0.102857016625552,0.311966756253639,0.326253488253647,0.47250147808451,0.30980947828004,0.273603699831241,-0.384037111745663,0.00956997626746487,-0.485651455207713,0.0844012370915811,-0.467403607274428,1.04044982996182,0.529790577484655,0.844701986475246,-0.0766610318259456,-0.0788045334358001,-0.0424577756452537,-0.178790101948017,0.0223584587455392,-0.0985925850662384,0.058992879386562,0.146524503629131,0.214469996662899,-0.420857855929491,-0.631989351066005,-4.87669929514612,-0.177131705833658,-0.709982261542972,0.231543443392733,0.571471624365514,1.01391333822471,-0.248425856818755,-0.45270826232811,-0.171093112568186,-0.356890794874862,-0.385192108284781,0.061477355156645,-0.44469630838754,0.191307974903965,-0.19715278632262,-0.340181191044757,-0.0626856237775631,-0.61817234260371,-0.0759625459331065,-0.400140031512315,1.38057800127398,0.912313906379055,1.3703697757993,-0.764225191058865
3,46,-8325.29841644575,2166.60125195689,-0.0624892319797951,-0.0497436014644693,-0.0698040162427662,-0.539896262159891,-0.525688352869686,-0.38615763562062,-2.18824950394655,0.498681252811595,-0.296124954532924,-0.274595984700626,-1.35172611836152,-0.277433287077122,-0.352755466131624,0.78272358039603,0.560107388713277,0.504525995756499,-0.168241915234997,-0.0506095450550933,-0.164771667525833,-0.0295235318427521,0.0302709874166055,-0.108618813932874,-0.264213702903957,0.391227106606588,-0.00453668271244936,0.115783444955988,-0.980972073353951,-0.11115947313634,-0.227170155762018,0.791929778265138,0.573264207349106,0.925213876007925,0.359467123259979,-0.0284628926694729,-0.134769348087299,-0.0786164361253701,0.263943410835641,0.070178261705772,0.610098743697839,0.626175580254682,0.299425096827636,-0.3564403117519,0.0386472310732711,-0.372037604057401,0.204019016092393,-0.55668549899391,0.880632272616327,0.544740048718033,1.00476543309225,0.0216106658249262,-0.101411012281227,-0.0490422541927712,-0.285513733940265,0.214861163935538,0.329890894270028,0.186835137854375,0.589928430331768,0.238037365824156,-0.651944126057888,-0.699090852690181,-6.34098769481673,-0.180314995415835,-0.859501383257125,0.390622961863318,0.892239954929208,1.43276873856961,-0.105137375273857
3,47,-8370.64828993257,1986.44564050629,-0.113775096466144,-0.139117145272613,-0.227119795814036,0.789435835831466,0.722399307896107,0.877133657288398,1.1527208516581,0.217546146008545,-0.560289665164171,-0.149894588491145,-5.33083964378324,0.0172649521267678,-0.35610180364083,0.484924999855179,0.773313916046528,1.19673075486614,-0.0323876515535312,-0.19765338327637,-0.130312853106315,0.0216126572417916,0.0126978657072372,0.26138693101812,0.238974757859438,0.486243764274737,-0.27917760317634,-0.325121399271652,-0.573012221873082,0.121362734840262,-0.656205178534229,1.0089124352522,0.698962787519344,0.988858110698709,0.422115449967576,-0.0771376945935774,-0.0743690871286567,-0.0740468566985131,-0.373705754607192,-0.350996733506923,-0.242024253440367,-2.20810626959204,0.406225908453408,-0.256506069651274,-0.175566229054499,-1.47008968517033,-0.303865543082761,-0.422562612068144,0.829812315061213,0.717025636585791,0.805112791258065,0.376535856279105,-0.186564235134152,-0.120899192003217,-0.135284247190631,0.24975906177103,0.39308549640944,0.284981845762535,0.0947071499314326,0.340828847048799,-0.0875364117741355,0.245702925826557,-0.43583830120886,0.120321776033683,0.0150087226249101,0.417247137147549,0.461133847604969,0.614413238096211,0.23900156678867
3,48,-8715.90271104029,1051.88833615227,-0.04147785164307,-0.0262844923730613,-0.112194235588121,-0.182307622672062,-0.369828750070924,-0.246567700269881,-0.717338956161036,0.098847168160442,-0.404814649522642,-0.216706802070899,-1.51726794169041,-0.102617799011187,-0.486337689397558,0.976664191166575,0.585848420833169,0.840397501878278,-0.171245822154999,-0.049739142276691,-0.184478991045156,0.49083655646259,0.452567062498468,0.423924305438736,-0.0377393878385083,0.362704300431309,-0.0351334591711363,-0.0368895862039406,-1.08381890074739,-0.259090891637129,-0.369582780295673,0.835780526287543,0.652529816967962,0.810349946459216,-0.426271980633785,-0.0340554104089751,-0.214592705396789,-0.0283173130290353,1.07693073454169,1.34006817190409,1.71191656955346,1.64853658473124,0.622919284015722,-0.330828490452542,-0.0201260468983511,-0.251088485802614,-0.0482165407768324,-0.212859843828559,0.358930984560625,0.209245987398231,0.649870097393573,-1.68788333154444,0.954394930238483,1.4998546144427,-1.55917361226641,-0.065510190761217,0.0810428229194236,0.0551768140880313,-0.566309268993364,0.895164347586194,-0.164579011263253,-0.228420394565351,-2.24002703154945,-0.0708686714689037,-0.459543170110984,0.86325094427642,0.660521148710106,1.23715858305345,-6.47171104821806
