"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.15840691907231,NA,NA,NA,NA
"b_Acceleration_1",-0.131043235952093,NA,NA,NA,NA
"b_OpCost_1",-0.18946512743801,NA,NA,NA,NA
"b_hev_1",0.531613488344034,NA,NA,NA,NA
"b_phev20_1",0.317669013672044,NA,NA,NA,NA
"b_phev40_1",0.671962990545179,NA,NA,NA,NA
"b_bev_1",0.457907520823907,NA,NA,NA,NA
"b_bevRangeRel_1",0.405279390612155,NA,NA,NA,NA
"b_noBEVFC_1",-0.664889783117108,NA,NA,NA,NA
"b_american_1",0.736081754671402,NA,NA,NA,NA
"b_chinese_1",-6.3132830796597,NA,NA,NA,NA
"b_japanese_1",0.671622763367775,NA,NA,NA,NA
"b_skorean_1",-0.431031130753199,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.140894735181186,NA,NA,NA,NA
"b_Acceleration_2",-0.122347539979364,NA,NA,NA,NA
"b_OpCost_2",-0.204919729715194,NA,NA,NA,NA
"b_hev_2",0.306642839400464,NA,NA,NA,NA
"b_phev20_2",0.22804693696206,NA,NA,NA,NA
"b_phev40_2",0.244177613117348,NA,NA,NA,NA
"b_bev_2",0.261623332017133,NA,NA,NA,NA
"b_bevRangeRel_2",0.607906026252117,NA,NA,NA,NA
"b_noBEVFC_2",-0.390844305851257,NA,NA,NA,NA
"b_american_2",0.0948327413824258,NA,NA,NA,NA
"b_chinese_2",-0.355481163452746,NA,NA,NA,NA
"b_japanese_2",-0.0764880294510095,NA,NA,NA,NA
"b_skorean_2",-0.324504905490489,NA,NA,NA,NA
"class_intercept_2",0.402866005824265,NA,NA,NA,NA
"b_Price_3",-0.0753826358270962,NA,NA,NA,NA
"b_Acceleration_3",-0.0840877545448501,NA,NA,NA,NA
"b_OpCost_3",-0.128456875350348,NA,NA,NA,NA
"b_hev_3",-0.35888818328183,NA,NA,NA,NA
"b_phev20_3",-0.451591252709427,NA,NA,NA,NA
"b_phev40_3",-0.0486566041380306,NA,NA,NA,NA
"b_bev_3",-2.58923891311064,NA,NA,NA,NA
"b_bevRangeRel_3",0.651630154865076,NA,NA,NA,NA
"b_noBEVFC_3",-0.319412362011902,NA,NA,NA,NA
"b_american_3",0.14731733596163,NA,NA,NA,NA
