"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Price_1",-0.156751678970511,NA,NA,NA,NA
"b_Acceleration_1",-0.108622530396135,NA,NA,NA,NA
"b_OpCost_1",-0.152835171625145,NA,NA,NA,NA
"b_hev_1",0.54551187932792,NA,NA,NA,NA
"b_phev20_1",0.171845081078373,NA,NA,NA,NA
"b_phev40_1",0.514118753434389,NA,NA,NA,NA
"b_bev_1",0.213065930931258,NA,NA,NA,NA
"b_bevRangeRel_1",0.418193844427022,NA,NA,NA,NA
"b_noBEVFC_1",-0.502281964026656,NA,NA,NA,NA
"b_american_1",0.542625729336969,NA,NA,NA,NA
"b_chinese_1",-4.26690523133848,NA,NA,NA,NA
"b_japanese_1",0.229924424179804,NA,NA,NA,NA
"b_skorean_1",-0.338707984488301,NA,NA,NA,NA
"class_intercept_1",0,NA,NA,NA,NA
"b_Price_2",-0.169467690083296,NA,NA,NA,NA
"b_Acceleration_2",-0.206512900575716,NA,NA,NA,NA
"b_OpCost_2",-0.243678970479159,NA,NA,NA,NA
"b_hev_2",0.172606686291273,NA,NA,NA,NA
"b_phev20_2",0.213428914358305,NA,NA,NA,NA
"b_phev40_2",0.128856748528537,NA,NA,NA,NA
"b_bev_2",0.0598409882745515,NA,NA,NA,NA
"b_bevRangeRel_2",0.514220786918299,NA,NA,NA,NA
"b_noBEVFC_2",-0.436349692809373,NA,NA,NA,NA
"b_american_2",-0.188202349844846,NA,NA,NA,NA
"b_chinese_2",-0.359311331833063,NA,NA,NA,NA
"b_japanese_2",-0.336793205958773,NA,NA,NA,NA
"b_skorean_2",-0.503536448319197,NA,NA,NA,NA
"class_intercept_2",0.105807365122659,NA,NA,NA,NA
"b_Price_3",-0.0807006722375907,NA,NA,NA,NA
"b_Acceleration_3",-0.0433121599654086,NA,NA,NA,NA
"b_OpCost_3",-0.116167423314447,NA,NA,NA,NA
"b_hev_3",-0.350331656748889,NA,NA,NA,NA
"b_phev20_3",-0.504431753546516,NA,NA,NA,NA
"b_phev40_3",-0.282782126212413,NA,NA,NA,NA
"b_bev_3",-2.61670834457219,NA,NA,NA,NA
"b_bevRangeRel_3",0.669766027879431,NA,NA,NA,NA
"b_noBEVFC_3",-0.0415221397536603,NA,NA,NA,NA
"b_american_3",0.225381840552579,NA,NA,NA,NA
