"model_name","cores","inter_draws","intra_draws","batch_number","sys_elapsed_seconds","proc_user_seconds","proc_system_seconds","proc_elapsed_seconds","proc_total_cpu_seconds","timestamp"
"MXL100_none_wtp",1,100,0,1,0.218694400787354,0.214999999999998,0.00250000000000021,0.21869999999999,0.217499999999998,"2025-11-10 13:56:22.327"
"MXL100_none_wtp",1,100,0,2,0.200383305549622,0.199200000000002,0,0.200400000000081,0.199200000000002,"2025-11-10 13:56:24.515"
"MXL100_none_wtp",1,100,0,3,0.200361728668213,0.199199999999999,0,0.200400000000081,0.199199999999999,"2025-11-10 13:56:26.519"
"MXL100_none_wtp",1,100,0,4,0.224356317520142,0.213899999999998,0.00919999999999987,0.22440000000006,0.223099999999998,"2025-11-10 13:56:28.524"
"MXL100_none_wtp",1,100,0,5,0.200301766395569,0.199100000000001,0.000100000000000122,0.200299999999879,0.199200000000002,"2025-11-10 13:56:30.768"
"MXL100_none_wtp",1,100,0,6,0.200035524368286,0.198899999999998,0,0.2,0.198899999999998,"2025-11-10 13:56:32.772"
"MXL100_none_wtp",1,100,0,7,0.202150869369507,0.1995,0.0014999999999997,0.202100000000064,0.201,"2025-11-10 13:56:34.773"
"MXL100_none_wtp",1,100,0,8,0.220017743110657,0.213800000000001,0.00500000000000007,0.219999999999891,0.218800000000001,"2025-11-10 13:56:36.796"
"MXL100_none_wtp",1,100,0,9,0.202849435806274,0.199199999999999,0.00259999999999998,0.202900000000045,0.201799999999999,"2025-11-10 13:56:38.997"
"MXL100_none_wtp",1,100,0,10,0.200156259536743,0.199000000000001,0,0.200200000000041,0.199000000000001,"2025-11-10 13:56:41.026"
"MXL100_none_wtp",1,100,0,11,0.217888379096985,0.1993,0.0174,0.217900000000009,0.216699999999999,"2025-11-10 13:56:43.028"
"MXL100_none_wtp",1,100,0,12,0.206402277946472,0.199699999999999,0.00560000000000009,0.206400000000031,0.205299999999999,"2025-11-10 13:56:45.208"
"MXL100_none_wtp",1,100,0,13,0.21007227897644,0.199700000000001,0.00919999999999987,0.210000000000036,0.208900000000001,"2025-11-10 13:56:47.273"
