"b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_BEV","alpha_PHEV_ICE_logistic","logLike"
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770740485921,-0.07248217764577,-0.102440425157674,0.0571859216984172,0.0299505667620858,0.134574700867636,-0.236188403120547,0.261736505622171,-0.230454553306659,-0.098341346693165,-1.01788111359491,-0.035528517519437,-0.323840634391668,0.701572504809959,0.78037809375106,3.03942504582932,-9285.91618511744
-0.0551770418872297,-0.0724821773840684,-0.102440426291093,0.0571859202250648,0.0299505675052812,0.134574701591273,-0.236188402478866,0.261736504578158,-0.230454552559739,-0.098341346496656,-1.01788111275485,-0.0355285178277048,-0.323840634946737,0.70157250239504,0.780378091665829,3.03942504592898,-9285.91618511585
-0.0551769594582305,-0.072481807392219,-0.102440542574736,0.0571849594535852,0.0299510301307249,0.134575163313702,-0.236187945461997,0.26173566370437,-0.230454021755964,-0.0983412723659569,-1.01788045656657,-0.0355287473221707,-0.323840991391865,0.701570505699745,0.780376454279012,3.03942510452966,-9285.91618509401
-0.0551769196867876,-0.07248179283341,-0.102440236452578,0.0571846015676107,0.0299512164692439,0.134575346919617,-0.236187795161179,0.261735395941961,-0.230453828575356,-0.0983412570698422,-1.01788017890496,-0.0355288425574085,-0.323841116556892,0.701569778018932,0.780375812653794,3.03942512721321,-9285.91618508517
-0.0551769003419163,-0.0724822431503404,-0.102440269549796,0.0571843443700413,0.0299514357147309,0.134575550021967,-0.236187810468481,0.261735493898505,-0.230453708845302,-0.0983413443161151,-1.01787971432738,-0.035528980143538,-0.323841146363993,0.701569271709408,0.780375070985111,3.03942514866038,-9285.91618508002
-0.0551768182775077,-0.0724815917905557,-0.102440076215243,0.0571837365854667,0.0299524141234746,0.134576385816851,-0.23618843934654,0.261736905810336,-0.23045348836904,-0.0983420564782313,-1.01787715033829,-0.0355296702408073,-0.323840861443132,0.701568320383772,0.780372089433713,3.03942523234623,-9285.91618507787
-0.0551767975863137,-0.0724815545454356,-0.102440042655584,0.0571837747341113,0.02995267585873,0.134576539633148,-0.236188535790125,0.261736278962093,-0.230453278349341,-0.0983425226960512,-1.01787576087752,-0.0355298737666748,-0.323840405190264,0.701568514468413,0.780371502973115,3.03942526155937,-9285.91618507375
-0.0551767709631616,-0.0724815189819176,-0.102439984555793,0.0571847462606913,0.0299525988842063,0.134576236495545,-0.236187973624152,0.26173652897426,-0.230452371650125,-0.0983418678074866,-1.01787390421766,-0.0355289309383279,-0.323839239269872,0.701567728251889,0.780371577627487,3.03942530007367,-9285.91618507223
-0.0551767528780594,-0.0724814911831975,-0.102439950390675,0.0571857214867668,0.029952963500122,0.13457655417833,-0.236188395803395,0.261736130129252,-0.230452652610548,-0.0983400242161669,-1.0178726586565,-0.0355274016153479,-0.323838006609601,0.701567388141693,0.780371000757445,3.03942534739676,-9285.9161850716
-0.0551767590897487,-0.0724814970562813,-0.102439959372087,0.0571852244025526,0.0299532503606425,0.134576901130278,-0.236187977726725,0.26173620116385,-0.230452683934888,-0.0983394682095394,-1.01787237295278,-0.0355269477879304,-0.32383742398931,0.701567652693015,0.78037101081789,3.03942536668941,-9285.91618507141
