"row_num","gen_method","b_Price","b_Acceleration","b_OpCost","b_hev","b_phev20","b_phev40","b_bev","b_bevRangeRel","b_noBEVFC","b_american","b_chinese","b_japanese","b_skorean","lambda_ICE","lambda_BEV","alpha_PHEV_ICE_logistic","LL1","LL2","LL3","LL4","LL5","LL6","gradNorm1","gradNorm2","gradNorm3","gradNorm4","gradNorm5","gradNorm6","stop_ef","stop_status","pruned_optima_row","end_conv","end_LL","end_ef","end_outcome_status","end_index"
24,"logit_random",-0.113667792760491,0.0208501648210444,-0.156386249681062,0.0555012563981592,0.0355288951295535,-0.0672618613524734,-0.323823796885421,0.653918300164178,-0.37289934639035,-0.129083813895681,-1.28153437728993,0.0140469578581673,0.554362600001555,0.563009774871171,0.418306049727835,0.230035016197302,-13486.9416376905,-9287.51719557003,NA,NA,NA,NA,NA,517.100722039537,NA,NA,NA,NA,0,"pruned_test1_too_close",4,1,-9285.91618511744,1,"best",4
25,"logit_random",0.0444264677224167,0.0602784986077976,0.0452990206001027,0.161298455889508,-0.00757001227390251,0.228796754429988,-0.563250699928185,0.123772991046785,-0.0913145276052806,-0.186989250167275,-1.12053594816673,-0.0447159208476775,-0.357184557581327,0.0485966433258727,0.541452436181717,-0.355918590301858,-35450.7318843332,-9382.41907921125,-9285.92250830472,-9285.92237049496,NA,NA,NA,1007.33955091148,18.6208992241136,10.3847187516254,NA,NA,3,"test0_worse_conv",0,1,-9285.92237049496,3,"test0_worse_conv",25
26,"logit_random",-0.105257688336533,-0.0431626151098643,-0.0805579141274165,0.0496742553093281,0.00391442842133349,0.30427355624124,-0.56364359765081,0.36695942339149,-0.175641769108593,-0.295090602964937,-1.00191815366485,-0.0653311247650884,-0.504779674896986,0.747878790972754,0.753702301522717,-0.532073493933975,-10432.0183336456,-9285.92066869096,NA,NA,NA,NA,NA,11.6024867767949,NA,NA,NA,NA,0,"pruned_test1_too_close",1,1,-9285.91618511744,1,"best",4
27,"logit_random",0.0105434649198022,-0.0577903453934501,-0.0814339722316185,0.0941664457812733,-0.000907872686507015,0.153017424576948,-0.39179244222157,0.12836776123638,-0.323720099820599,-0.108375727589746,-2.00624005776818,0.0059964901443898,0.00481198054458298,0.891290236748755,0.649886972974055,-0.216989400944609,-13163.0547223309,-9286.55908177698,NA,NA,NA,NA,NA,189.005662141093,NA,NA,NA,NA,0,"pruned_test1_too_close",46,1,-9285.92252182874,3,"test0_worse_conv",94
28,"logit_random",-0.0582157285720307,-0.130797855062492,0.0342639380188395,0.0050624891620356,0.0380201742653392,0.0478670469255921,-0.461453644585763,0.565499469753155,-0.25555701080225,-0.285299843487795,-1.06685907292447,-0.148637457242313,-0.0136369334986451,0.876834738329053,0.401165138054639,-0.422045214388287,-11868.5859890581,-9289.6454309691,NA,NA,NA,NA,NA,466.084583684417,NA,NA,NA,NA,0,"pruned_test1_too_close",90,1,-9285.91618511744,1,"best",4
29,"logit_random",-0.0488625218021596,-0.118867165565008,-0.167937818385093,0.131608044211609,0.0408066413134838,0.147593820753496,-0.199677109665978,0.0307352390385724,-0.278054344274375,0.0995260657554874,-1.56613429521995,0.00252861051571992,-0.584276993681493,0.328423199541867,0.672523477170616,0.470995245141017,-10433.5816781007,-9285.93143194192,NA,NA,NA,NA,NA,6.47048382144376,NA,NA,NA,NA,0,"pruned_test1_too_close",7,1,-9285.91618511744,1,"best",4
30,"logit_random",-0.0407400330325382,0.0441117166680573,-0.0512726595739479,0.070754312567901,-0.00497573370422317,0.173897905685952,-0.218235231098253,1.06313128916867,-0.253109243140937,-0.225138421335186,-1.92088323986802,0.00844485327724143,-0.904181713506512,0.341455218982883,0.947242575157434,0.437067154018259,-11665.2841157496,-9286.38335776809,NA,NA,NA,NA,NA,99.4666263080483,NA,NA,NA,NA,0,"pruned_test1_too_close",40,1,-9285.91618511744,1,"best",4
31,"logit_random",-0.112891101508832,-0.0910280877972711,0.0316799301587887,-0.0350021581580139,0.0128790508336882,0.315928662012579,-0.164601614101839,0.382643318846126,0.178930737869829,-0.140982376110231,-0.50897473425789,-0.0351968022011762,-0.369688282608968,0.825676954202354,0.860774386990815,0.902134578188158,-11075.0852119396,-9285.9384543403,NA,NA,NA,NA,NA,4.14077963263531,NA,NA,NA,NA,0,"pruned_test1_too_close",29,1,-9285.91618511744,1,"best",4
32,"logit_random",-0.143634736046879,0.0331075855874772,-0.165994009210147,0.11313103388947,-0.0119074139596556,0.0523370704066813,-0.0669557625279741,0.394497239557636,-0.667629029901515,-0.409222760972012,-0.879242848192543,0.0044647859829029,0.226739813400724,0.401425308245234,0.0368639501789585,0.318998968127756,-70983.9404012737,-9611.78333409372,-9325.51742495739,-9325.51741984095,NA,NA,NA,830.889433398349,4.08359226351604,3.73021760586298,NA,NA,3,"test0_worse_conv",0,1,-9325.51741984095,3,"test0_worse_conv",32
33,"logit_random",-0.129294605863711,-0.047790963321511,-0.279296892979448,0.0804873423433059,-0.00909033225705459,0.0607733617942073,0.230040525824407,0.483525005232411,-0.140379528488125,-0.19173478202128,-0.441693387093132,-0.0387075510050695,-0.456565182072894,0.726129382001236,0.798678785897791,-0.364002004384393,-11860.6085045735,-9285.9296794853,-9285.92957593265,NA,NA,NA,NA,16.1452641656118,8.97173502730722,NA,NA,NA,3,"test0_worse_conv",0,1,-9285.92957593265,3,"test0_worse_conv",33
34,"logit_random",-0.123937628671425,-0.0999333030577616,-0.0386622619922269,0.0533573993025893,-0.00666007780656073,0.276383323408484,-0.0912036644372,0.26263412964184,-0.437293966476413,0.0696461813487758,-1.96563419007391,-0.078086929426934,-0.805567719187758,0.866726754261181,0.876879775319248,-0.646517233082054,-10752.6975409387,-9285.97899433099,NA,NA,NA,NA,NA,17.1643026487687,NA,NA,NA,NA,0,"pruned_test1_too_close",66,1,-9285.91618511744,1,"best",4
35,"logit_random",-0.300527464203764,-0.0642372299697145,-0.129373527035116,0.233952581017301,0.041240808743521,0.134940545009954,-0.241321035489195,0.447191605923056,-0.424854086137348,-0.0637136612372308,-1.56555799744586,-0.0683580622463312,-0.527147306074735,0.744026414952241,0.103018557359464,-0.366704025145432,-59057.1322846043,-9391.65606253274,-9285.91623283119,NA,NA,NA,NA,565.312442302462,2.02389988275806,NA,NA,NA,0,"pruned_test1_too_close",4,1,-9285.91618511744,1,"best",4
36,"logit_random",-0.159411313715219,-0.22647204672111,-0.168036563221071,0.0781192792187482,-0.0111383308672378,-0.00047769647941745,-0.112305048912854,0.0668937032671993,-0.185695912574097,-0.0719729828718366,-1.68842188797697,-0.0473170620433407,-0.182539654498934,0.491129684126936,0.960222019422799,0.192422613378906,-12338.2693278916,-9325.46597176003,-9325.46589569831,NA,NA,NA,NA,21.9672123114493,20.0374876515253,NA,NA,NA,3,"test0_worse_conv",0,1,-9325.46589569831,3,"test0_worse_conv",36
37,"logit_random",-0.0955623159147192,-0.260949677254639,0.0176001222263773,0.0900216891050512,0.0316561647506414,-0.0963415475577671,-0.0200010282703163,0.0468760067899792,0.299458382950453,0.071401052884289,-0.515974148142009,0.0582089077480289,-0.529551508868999,0.851189223555848,0.344119722368196,0.72397248593726,-13532.1259244205,-9290.53829166247,NA,NA,NA,NA,NA,307.491527307955,NA,NA,NA,NA,0,"pruned_test1_too_close",28,1,-9285.91618511744,1,"best",4
38,"logit_random",-0.117144662660394,-0.260118446311958,0.0133096713957547,0.186067235811776,0.0159089321075122,-0.0306200399001182,-0.0624420128338702,0.227199171948379,0.0660732255745611,-0.0431448345200215,-1.33972203099704,-0.0945841590497237,-1.25079411453717,0.105763487070799,0.980704872226343,0.443985965509157,-16446.7322288022,-9558.51934184517,-9285.94822909317,NA,NA,NA,NA,3628.35074763866,38.0054813601079,NA,NA,NA,0,"pruned_test1_too_close",3,1,-9285.92252182874,3,"test0_worse_conv",94
39,"logit_random",-0.120829268761915,-0.0762271540455742,-0.10176334816113,0.084388693707756,0.00387031711247403,0.0153070122487665,-0.344743114950914,0.312191003305413,0.124147340991699,-0.0494520135452367,-0.40717259301066,0.0109382502667209,0.0340540335106084,0.157098903539591,0.157955951439217,-0.847760515037384,-25159.0463885122,-9503.9059514802,-9286.03114149237,NA,NA,NA,NA,1736.6113087631,106.110194333392,NA,NA,NA,0,"pruned_test1_too_close",58,1,-9285.92252182874,3,"test0_worse_conv",94
40,"logit_random",-0.0625422640340241,-0.106670468822296,-0.102985782799454,0.139144138369585,0.0232711433203639,0.267243815960071,-0.429096306119953,0.0910437909249451,0.297915137750491,-0.209938029972599,-1.38575186727286,0.0251791681580647,-0.180856883894903,0.734073960692622,0.804379433402792,1.02885118021317,-9645.02448268034,-9285.92031488228,NA,NA,NA,NA,NA,13.2208109106721,NA,NA,NA,NA,0,"pruned_test1_too_close",1,1,-9285.91618511744,1,"best",4
41,"logit_random",-0.106629392782575,-0.277439968145796,-0.128159943111727,0.11415494917983,0.0293873268280281,0.0881662391629593,-0.237869044232662,0.0396461453620152,-0.601888695908459,-0.0309892725469309,-3.22284201074186,-0.1419142081841,-1.09605668859862,0.543627531598322,0.505576451695524,0.45305592325692,-13705.0330347691,-9285.99193508001,-9285.99174057217,NA,NA,NA,NA,3.88859561087174,14.4834848558645,NA,NA,NA,3,"test0_worse_conv",0,1,-9285.99174057217,3,"test0_worse_conv",41
42,"logit_random",-0.0491807597714779,-0.23505835354312,0.0577884045777039,0.219511989858199,0.0214548883909724,0.21235071012558,-0.635226082424086,0.345226858002844,-0.5179368096408,-0.116561418335862,-0.613496436479942,-0.0076006603678155,0.0442762218383429,0.057935357587412,0.76130588142667,-0.595583589362229,-15056.3934450131,-9682.89814000562,-9286.1346796298,NA,NA,NA,NA,4242.32332575882,228.054055899793,NA,NA,NA,0,"pruned_test1_too_close",17,1,-9285.92252182874,3,"test0_worse_conv",94
43,"logit_random",-0.0878284637654204,-0.0671021490632055,-0.164200959871222,0.0923076633545622,0.0204381781903257,0.0592146828260812,-0.373568703267639,0.195138102227347,-0.487476599624027,-0.147813232584619,-0.853436150659576,-0.0209551427657548,-0.48315893262604,0.966876622163691,0.931857897094451,-0.221261754152033,-9675.28972257484,-9285.92209250331,NA,NA,NA,NA,NA,11.4612291228671,NA,NA,NA,NA,0,"pruned_test1_too_close",1,1,-9285.91618511744,1,"best",4
44,"logit_random",-0.0795700669041592,-0.0042624781674544,-0.182976663649602,0.109172265866806,-0.0156205617362328,0.281094452178381,-0.230530437468423,0.228805095862794,0.043762739102487,-0.363705354283371,-1.76810405834797,-0.0788003763299671,-0.753693674965121,0.238284362507984,0.537353491196409,0.479260001853115,-11743.7750512936,-9286.94070078136,NA,NA,NA,NA,NA,229.323412519127,NA,NA,NA,NA,0,"pruned_test1_too_close",4,1,-9285.91618511744,1,"best",4
45,"logit_random",0.0142038564446635,0.0961265898570262,-0.18299144104117,0.0676489644570201,0.0449065342179587,0.0773833537231807,0.0621281234871981,0.505469077100747,-0.0750399277459452,0.0624968963960097,-2.26023276473326,-0.0937301974122556,0.193695743701452,0.752764041237533,0.626277578519657,0.692638789389372,-15036.4419310966,-9286.25775986058,NA,NA,NA,NA,NA,181.574836408552,NA,NA,NA,NA,0,"pruned_test1_too_close",69,1,-9285.92252182874,3,"test0_worse_conv",94
46,"logit_random",0.0588409619886122,-0.1405997472582,0.170314650791761,0.171500531654391,0.0441447741890399,0.110133442551657,0.174850874720386,0.511428485613607,-0.298057624571977,-0.0588581119387727,-0.845144249979349,-0.0982343246302312,-1.09442032174759,0.469415761008859,0.864378981986083,1.18645348931238,-22149.0256355945,-9286.48632096337,NA,NA,NA,NA,NA,126.85300379883,NA,NA,NA,NA,0,"pruned_test1_too_close",12,1,-9285.92252182874,3,"test0_worse_conv",94
47,"logit_random",-0.0610671507781778,0.0047392641917483,0.0373334474039135,-0.0176263690099173,-0.023215250985742,0.193902418902264,-0.534845608803258,-0.210041635814544,-0.298277666671263,-0.101531039831185,0.0115897569048242,-0.177129245494844,-0.170725714256734,0.0244289296073839,0.501636163643561,-0.673703024122989,-23008.8372081794,-9904.8939125396,-9294.60160614384,-9285.91618539296,NA,NA,NA,19072.2979433239,815.392455561337,0.0299603235361356,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
48,"logit_random",0.0495826550866543,-0.228866313641488,-0.182388852308357,0.052730514118771,-0.00235833667856967,0.209547035402518,-0.333678229020013,0.574986388309125,0.142478985948362,-0.0449681558499136,-0.657594558536645,-0.143763765465487,0.0689829585366623,0.238823549835943,0.333828787906095,-0.262327079982935,-29222.0187721541,-9678.20147262683,-9286.05484427662,-9286.05484393464,NA,NA,NA,1578.53983763469,0.924410322281412,0.525724958196082,NA,NA,3,"test0_worse_conv",0,1,-9286.05484393464,3,"test0_worse_conv",48
49,"logit_random",-0.0812301822235289,-0.0137906252023595,-0.00494789118866579,0.152141844921865,0.0015050920545718,0.163490328188909,-0.247844464947184,0.0418367040066326,-0.433558884892815,-0.188218434097391,-2.55684019053505,-0.123807208514638,-0.511667701736183,0.287013449245133,0.46598767049145,-0.432624329249023,-13208.1856761995,-9287.3565879378,NA,NA,NA,NA,NA,406.493973850023,NA,NA,NA,NA,0,"pruned_test1_too_close",12,1,-9285.92252182874,3,"test0_worse_conv",94
50,"logit_random",-0.030114345262182,-0.132295790118077,-0.0978449576311355,0.0230007027746239,-0.0101896725855441,0.309782669429445,-0.134201256782,0.379749331496118,0.150491220934365,-0.235645689832181,-1.35948388406682,-0.114170372447176,-0.154292726806916,0.621857265471481,0.241960825934075,0.331414406590811,-11795.519037493,-9287.48848869182,-9285.91618517973,NA,NA,NA,NA,255.563476822291,0.0864246669937187,NA,NA,NA,4,"dup_best_test0_conv",4,1,-9285.91618511744,1,"best",4
51,"logit_random",-0.13119658507087,-0.081186235753874,-0.334462199329324,0.028243978952294,0.00350111159374758,0.0620088878801135,-0.556826887752561,1.0674095987207,-0.111007472160606,0.0353577241011347,-1.27574397084113,-0.0536614320449658,-0.783647638577179,0.812537107928656,0.160298613528721,-0.478517207499982,-27840.9936894513,-9292.13097848487,NA,NA,NA,NA,NA,718.740873869367,NA,NA,NA,NA,0,"pruned_test1_too_close",27,1,-9285.92252182874,3,"test0_worse_conv",94
52,"logit_random",-0.0451482510161962,-0.126934263826414,-0.161004486160589,-0.0482485611364341,-0.0269046540170078,0.392796449958251,-0.0658754680730587,1.03363209612108,-0.0416328797029812,-0.0943596984288917,-1.06387816718422,-0.122781261122786,-0.786234375620397,0.830101586584933,0.169089631852694,-0.223259839845868,-21625.966875795,-9311.77168877329,-9285.91619194105,NA,NA,NA,NA,2671.59196693264,0.983151812616342,NA,NA,NA,0,"pruned_test1_too_close",4,1,-9285.91618511744,1,"best",4
53,"logit_random",0.0951374080220994,-0.0293956666079211,-0.330446171229379,0.0747406873406,0.0371349317976486,0.101474698683826,-0.273117881112238,0.514313593631528,-0.542646237211453,-0.0331701370047139,-0.803654765429875,-0.0740113613759717,0.142910915579633,0.14734029726591,0.726072094119154,1.11699433733938,-41025.0445508951,-9389.80598448198,-9285.96209173182,NA,NA,NA,NA,2429.15391594545,68.3751366068818,NA,NA,NA,0,"pruned_test1_too_close",33,1,-9285.92957593265,3,"test0_worse_conv",33
54,"logit_random",-0.0297027235710127,-0.124881821740024,-0.0731873732517184,0.109426945424476,0.0268360110549623,0.104818799158506,-0.178030303454656,0.317503370551468,-0.322199111213025,-0.126996311224751,0.493607936233462,-0.127677845630683,-0.671025063151016,0.749287427230738,0.614430673317984,0.578514514030863,-11693.5123479906,-9286.09245077361,NA,NA,NA,NA,NA,39.313345054234,NA,NA,NA,NA,0,"pruned_test1_too_close",19,1,-9285.91618511744,1,"best",4
